aquele	Aquele	DD0MS0	aquele
amiguo	amigo	NCMS000	amigo
da	da	SPS00+DA0FS0	de+o
morariia	Mouraria	NP00000	mouraria
vei	veio	VMIS3S0	vir
aqui	aqui	RG	aqui
com	com	SPS00	com
a	a	DA0FS0	o
man	mão	NCFS000	mão
direita	direita	AQ0FS0	direito
muito	muito	RQ	muito
doente	doente	AQ0CS0	doente
	,	Fc	,
emchada	inchada	VMP00SF	inchar
	,	Fc	,
por	por	SPS00	por
donde	onde	PA000000	onde
não	não	RN	não
podiia	podia	VMII0S0	poder
escrever se	escrever-se	VMN0000+P00CN000	escrever+se
	.	Fp	.
me	Me	PP1CS000	me
dixe	disse	VMIS3S0	dizer
que	que	CS	que
ou	o	DA0MS0	o
neguosia	negócio	NCMS000	negócio
de	de	SPS00	de
madril	Madrid	NP00000	madrid
estava	estava	VMII0S0	estar
em	em	SPS00	em
muitos	muitos	DI0MP0	muito
bõs	bons	AQ0MP0	bom
termos	termos	NCMP000	termo
e	e	CC	e
que	que	CS	que
aguora	agora	RG	agora
partia	partia	VMII0S0	partir
um	um	DI0MS0	um
omen	homem	NCMS000	homem
pera	para	SPS00	para
madirl	Madrid	NP00000	madrid
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
ou	o	DA0MS0	o
neguosio	negócio	NCMS000	negócio
	.	Fp	.
ate	Até	SPS00	até
guora	agora	RG	agora
esperrei	esperei	VMIS1S0	esperar
por	por	SPS00	por
ha	a	DA0FS0	o
reisposta	resposta	NCFS000	resposta
do	do	SPS00+DA0MS0	de+o
trasto	trasto	NCMS000	trasto
porue	porque	CS	porque
lhe	lhe	PP3CSD00	lhe
mandie	mandei	VMIS1S0	mandar
mandaur	mandar	VMN0000	mandar
otra	outra	DI0FS0	outro
a	a	DA0FS0	o
pitisam	petição	NCFS000	petição
porque	porque	CS	porque
dixe	disse	VMIS3S0	dizer
qu	que	CS	que
não	não	RN	não
tinha	tinha	VMII0S0	ter
resposta	resposta	NCFS000	resposta
vosa	vossa	DP2FSP	vosso
carta	carta	NCFS000	carta
	.	Fp	.
