Ontẽ	Ontem	RG	ontem
a	à	SPS00+DA0FS0	a+o
tarde	tarde	NCFS000	tarde
	,	Fc	,
estive	estive	VMIS1S0	estar
emte	até	SPS00	até
hũa	uma	DI0FS0	um
ora	hora	NCFS000	hora
di	de	SPS00	de
noite	noite	NCFS000	noite
esperamdovos	esperando-vos	VMG0000+PP2CP000	esperar+vos
pa	para	SPS00	para
aquele	aquele	DD0MS0	aquele
negosio	negócio	NCMS000	negócio
com	com	SPS00	com
ho	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
homẽ	homem	NCMS000	homem
	,	Fc	,
e	e	CC	e
espantado	espantado	VMP00SM	espantar
de	de	SPS00	de
faltardes	faltardes	VMSF2P0	faltar
	.	Fp	.
e	E	CC	e
fui	fui	VMIS1S0	ir
ter	ter	VMN0000	ter
com	com	SPS00	com
fernãodo	Fernando	NP00000	fernando
nunes	Nunes	NP00000	nunes
e	e	CC	e
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
que	que	CS	que
não	não	RN	não
avieis	havíeis	VAII2P0	haver
ido	ido	VMP0000	ir
la	lá	RG	lá
	,	Fc	,
o	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
mto	muito	DI0MS0	muito
cuidado	cuidado	NCMS000	cuidado
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
tratei	tratei	VMIS1S0	tratar
que	que	CS	que
mandasẽ	mandassem	VMSI3P0	mandar
a	a	SPS00	a
vosa	vossa	DP2FSP	vosso
pousada	pousada	NCFS000	pousada
saber	saber	VMN0000	saber
de	de	SPS00	de
vos	vós	PP2CP000	vós
	,	Fc	,
que	que	CS	que
	,	Fc	,
como	como	CS	como
vos	vós	PP2CP000	vós
recolheis	recolheis	VMIP2P0	recolher
tarde	tarde	RG	tarde
e	e	CC	e
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
não	não	RN	não
sabia	sabia	VMII0S0	saber
	,	Fc	,
por	por	SPS00	por
iso	isso	PD0NN000	isso
não	não	RN	não
fui	fui	VMIS1S0	ir
eu	eu	PP1CSN00	eu
mesmo	mesmo	AQ0MS0	mesmo
=	.	Fp	.
oje	Hoje	RG	hoje
	,	Fc	,
pela	pela	SPS00+DA0FS0	por+o
menha	manhã	NCFS000	manhã
	,	Fc	,
logo	logo	RG	logo
fui	fui	VMIS1S0	ir
ter	ter	VMN0000	ter
com	com	SPS00	com
fernãodo	Fernando	NP00000	fernando
nunes	Nunes	NP00000	nunes
e	e	CC	e
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
como	como	PA000000	como
estaveis	estáveis	VMII2P0	estar
preso	preso	AQ0MSP	preso
