Recebi	Recebi	VMIS1S0	receber
o	o	DA0MS0	o
voso	vosso	DP2MSP	vosso
papel	papel	NCMS000	papel
	,	Fc	,
que	que	CS	que
estimei	estimei	VMIS1S0	estimar
	.	Fp	.
vos	Vos	PP2CP000	vos
afirmo	afirmo	VMIP1S0	afirmar
ali	ali	RG	ali
duas	duas	Z	duas
ou	ou	CC	ou
tres	três	Z	três
veses	vezes	NCFP000	vez
pa	para	SPS00	para
me	me	PP1CS000	me
faser	fazer	VMN0000	fazer
capas	capaz	AQ0CS0	capaz
dele	dele	SPS00+PP3MS000	de+ele
	.	Fp	.
e	E	CC	e
o	o	PP3MSA00	o
foi	foi	VMIS3S0	ir
amostrar	mostrar	VMN0000	mostrar
a	a	SPS00	a
fernãodo	Fernando	NP00000	fernando
e	e	CC	e
aquela	àquela	SPS00+DD0FS0	a+aquele
senhora	Senhora	NCFS000	senhor
que	que	CS	que
tãobem	também	RG	também
o	o	PP3MSA00	o
estimam	estimam	VMIP3P0	estimar
e	e	CC	e
tãobem	também	RG	também
que	que	CS	que
não	não	RN	não
seja	seja	VSSP0S0	ser
nada	nada	PI0NN00N	nada
o	o	DA0MS0	o
voso	vosso	DP2MSP	vosso
negocio	negócio	NCMS000	negócio
=	.	Fp	.
tratando	Tratando	VMG0000	tratar
do	do	SPS00+DA0MS0	de+o
lesenseado	licenciado	NCMS000	licenciado
	,	Fc	,
não	não	RN	não
ha	há	VMIP3S0	haver
vimdo	vindo	VMP00SM	vir
	.	Fp	.
a	À	SPS00+DA0FS0	a+o
ora	hora	NCFS000	hora
que	que	PR0CN000	que
chegar	chegar	VMN0000	chegar
	,	Fc	,
volo	vo-lo	PP2CP000+PP3MSA00	vos+o
avisarei	avisarei	VMIF1S0	avisar
	,	Fc	,
suposto	suposto	VMP00SM	supor
que	que	CS	que
	,	Fc	,
pa	para	SPS00	para
vos	vos	PP2CP000	vos
ajudar	ajudar	VMN0000	ajudar
	,	Fc	,
não	não	RN	não
hera	era	VSII0S0	ser
nesesairo	necessário	AQ0MS0	necessário
vir	vir	VMN0000	vir
ele	ele	PP3MS000	ele
	,	Fc	,
pois	pois	CS	pois
sabeis	sabeis	VMIP2P0	saber
me	me	PP1CS000	me
tẽdes	tendes	VMIP2P0	ter
serto	certo	NCMS000	certo
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
ele	ele	PP3MS000	ele
nẽ	nem	CC	nem
a	a	SPS00	a
outro	outro	DI0MS0	outro
algum	algum	DI0MS0	algum
darei	darei	VMIF1S0	dar
vẽtagem	vantagem	NCFS000	vantagem
em	em	SPS00	em
saber	saber	VMN0000	saber
diser	dizer	VMN0000	dizer
e	e	CC	e
obrar	obrar	VMN0000	obrar
.	,	Fc	,
com	com	SPS00	com
o	o	DA0MS0	o
que	que	PR0CN000	que
vos	vos	PP2CP000	vos
digo	digo	VMIP1S0	dizer
tudo	tudo	PI0NN000	tudo
.	,	Fc	,
e	e	CC	e
asim	assim	RG	assim
dispomde	disponde	VMM02P0	dispor
	.	Fp	.
e	E	CC	e
se	se	CS	se
he	é	VSIP3S0	ser
que	que	CS	que
sabeis	sabeis	VMIP2P0	saber
ou	ou	CC	ou
temeis	temeis	VMIP2P0	temer
	,	Fc	,
como	como	CS	como
diseis	dizeis	VMIP2P0	dizer
	,	Fc	,
que	que	CS	que
tomas	Tomás	NP00000	tomás
rodriges	Rodrigues	NP00000	rodrigues
he	é	VSIP3S0	ser
a	a	DA0FS0	o
causa	causa	NCFS000	causa
	,	Fc	,
eu	eu	PP1CSN00	eu
sou	sou	VSIP1S0	ser
bom	bom	AQ0MS0	bom
amigo	amigo	NCMS000	amigo
	.	Fp	.
sem	Sem	SPS00	sem
embargo	embargo	NCMS000	embargo
que	que	CS	que
asim	assim	RG	assim
eu	eu	PP1CSN00	eu
como	como	SPS00	como
fernando	fernando	NCMS000	fernando
e	e	CC	e
aquela	aquela	DD0FS0	aquele
senhora	senhora	NCFS000	senhor
hemos	havemos	VMIP1P0	haver
sospeitado	suspeitado	VMP0000	suspeitar
que	que	PR0CN000	que
voso	vosso	DP2MSP	vosso
sobrinho	sobrinho	NCMS000	sobrinho
	,	Fc	,
com	com	SPS00	com
o	o	DA0MS0	o
piquaro	pícaro	NCMS000	pícaro
que	que	PR0CN000	que
malcinou	malsinou	VMIS3S0	malsinar
a	a	SPS00	a
fernando	Fernando	NP00000	fernando
	,	Fc	,
vos	vos	PP2CP000	vos
fiserão	fizeram	VMIS3P0	fazer
o	o	DA0MS0	o
mal	mal	NCMS000	mal
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
temdes	tendes	VMIP2P0	ter
memoria	memória	NCFS000	memória
	,	Fc	,
acordaivos	acordai-vos	VMIS1S0+PP2CP000	acordai-vos
que	que	CS	que
diante	diante	RG	diante
de	de	SPS00	de
mi	mim	PP1CSO00	mim
e	e	CC	e
de	de	SPS00	de
fernãodo	Fernando	NP00000	fernando
vos	vos	PP2CP000	vos
ameasou	ameaçou	VMIS3S0	ameaçar
est	este	DD0MS0	este
outro	outro	DI0MS0	outro
dia	dia	NCMS000	dia
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
maior	maior	AQ0CS0	maior
sospeita	suspeita	NCFS000	suspeita
que	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
he	é	VSIP3S0	ser
que	que	CS	que
o	o	DA0MS0	o
não	não	RN	não
tenho	tenho	VMIP1S0	ter
visto	visto	VMP00SM	ver
a	há	VMIP3S0	haver
dois	dois	Z	dois
dias	dias	NCMP000	dia
	.	Fp	.
avisaime	Avisai-me	VMM02P0+PP1CS000	avisar+me
com	com	SPS00	com
claridade	claridade	NCFS000	claridade
de	de	SPS00	de
amigo	amigo	NCMS000	amigo
se	se	CS	se
este	este	DD0MS0	este
picaro	pícaro	NCMS000	pícaro
de	de	SPS00	de
voso	vosso	DP2MSP	vosso
sobrinho	sobrinho	NCMS000	sobrinho
soube	soube	VMIS1S0	saber
do	do	SPS00+DA0MS0	de+o
negocio	negócio	NCMS000	negócio
de	de	SPS00	de
sogovea	Segóvia	NP00000	segóvia
ou	ou	CC	ou
se	se	CS	se
se	se	P00CN000	se
achou	achou	VMIS3S0	achar
nele	nele	SPS00+PP3MS000	em+ele
e	e	CC	e
o	o	DA0MS0	o
que	que	PR0CN000	que
sabe	sabe	VMIP3S0	saber
do	do	SPS00+DA0MS0	de+o
causo	caso	NCMS000	caso
e	e	CC	e
de	de	SPS00	de
outras	outras	DI0FP0	outro
cousas	coisas	NCFP000	coisa
em	em	SPS00	em
voso	vosso	DP2MSP	vosso
particular	particular	NCMS000	particular
de	de	SPS00	de
que	que	PR0CN000	que
vos	vos	PP2CP000	vos
posa	possa	VMSP0S0	poder
faser	fazer	VMN0000	fazer
mal	mal	RG	mal
	,	Fc	,
pa	para	SPS00	para
que	que	PR0CN000	que
se	se	P00CN000	se
posa	possa	VMSP0S0	poder
atalhar	atalhar	VMN0000	atalhar
	,	Fc	,
porque	porque	CS	porque
ho	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
da	dá	VMIP3S0	dar
sospeita	suspeita	NCFS000	suspeita
ser	ser	VSN0000	ser
ele	ele	PP3MS000	ele
e	e	CC	e
não	não	RN	não
ser	ser	VSN0000	ser
o	o	DA0MS0	o
tomas	Tomás	NP00000	tomás
rodriges	Rodrigues	NP00000	rodrigues
he	é	VSIP3S0	ser
o	o	DA0MS0	o
ver	ver	VMN0000	ver
	,	Fc	,
como	como	CS	como
vos	vós	PP2CP000	vós
desieis	dizíeis	VMII2P0	dizer
	,	Fc	,
que	que	CS	que
andava	andava	VMII0S0	andar
morto	morto	NCMS000	morto
por	por	SPS00	por
vos	vos	PP2CP000	vos
falar	falar	VMN0000	falar
e	e	CC	e
	,	Fc	,
sabemdo	sabendo	VMG0000	saber
vos	vós	PP2CP000	vós
seus	seus	DP3MP0	seu
podres	podres	AQ0CP0	podre
	,	Fc	,
não	não	RN	não
avia	havia	VMII0S0	haver
de	de	SPS00	de
querer	querer	VMN0000	querer
bolir	bulir	VMN0000	bulir
comnosco	connosco	SPS00+PP1CPO00	com+nós
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
parese	parece	VMIP3S0	parecer
ser	ser	VSN0000	ser
voso	vosso	DP2MSP	vosso
sobrinho	sobrinho	NCMS000	sobrinho
	.	Fp	.
e	E	CC	e
da	da	SPS00+DA0FS0	de+o
sospeita	suspeita	NCFS000	suspeita
	,	Fc	,
porem	porém	RG	porém
	,	Fc	,
bem	bem	RG	bem
he	é	VSIP3S0	ser
tela	tê-la	VMN0000+PP3FSA00	ter+o
de	de	SPS00	de
hũ	um	DI0MS0	um
e	e	CC	e
outro	outro	DI0MS0	outro
	.	Fp	.
sobre	Sobre	SPS00	sobre
o	o	DA0MS0	o
referido	referido	VMP00SM	referir
ariba	arriba	RG	arriba
	,	Fc	,
me	me	PP1CS000	me
avisai	avisai	VMM02P0	avisar
clara	clara	AQ0FS0	claro
e	e	CC	e
abertamte	abertamente	RG	abertamente
	,	Fc	,
pois	pois	CS	pois
ho	o	DA0MS0	o
portador	portador	NCMS000	portador
he	é	VSIP3S0	ser
seguro	seguro	NCMS000	seguro
e	e	CC	e
onrado	honrado	AQ0MS0	honrado
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
eu	eu	PP1CSN00	eu
trate	trate	VMSP0S0	tratar
do	do	SPS00+DA0MS0	de+o
remedio	remédio	NCMS000	remédio
=	.	Fp	.
eu	Eu	PP1CSN00	eu
creio	creio	VMIP1S0	crer
que	que	CS	que
o	o	DA0MS0	o
fidalgo	fidalgo	NCMS000	fidalgo
portuges	português	NCMS000	português
sabe	sabe	VMIP3S0	saber
que	que	CS	que
estais	estais	VMIP2P0	estar
preso	preso	NCMS000	preso
	.	Fp	.
a	Há	VMIP3S0	haver
de	de	SPS00	de
faser	fazer	VMN0000	fazer
mto	muito	NCMS000	muito
por	por	SPS00	por
vos	vos	PP2CP000	vos
soltar	soltar	VMN0000	soltar
logo	logo	RG	logo
=	.	Fp	.
no	No	SPS00+DA0MS0	em+o
que	que	PR0CN000	que
toqua	toca	VMIP3S0	tocar
a	a	SPS00	a
noso	nosso	DP1MSP	nosso
negosio	negócio	NCMS000	negócio
	,	Fc	,
espera	espera	NCFS000	espera
emte	até	SPS00	até
o	o	DA0MS0	o
fim	fim	NCMS000	fim
da	da	SPS00+DA0FS0	de+o
somana	semana	NCFS000	semana
e	e	CC	e
não	não	RN	não
tenhais	tenhais	VMSP2P0	ter
cuidado	cuidado	NCMS000	cuidado
	,	Fc	,
porque	porque	CS	porque
vos	vos	PP2CP000	vos
juro	juro	VMIP1S0	jurar
	,	Fc	,
como	como	SPS00	como
quẽ	quem	PR0CN000	quem
sou	sou	VSIP1S0	ser
	,	Fc	,
que	que	CS	que
sem	sem	SPS00	sem
vos	vós	PP2CP000	vós
se	se	CS	se
não	não	RN	não
a	há	VMIP3S0	haver
de	de	SPS00	de
faser	fazer	VMN0000	fazer
nada	nada	PI0NN00N	nada
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
o	o	DA0MS0	o
que	que	PR0CN000	que
comvem	convém	VMIP3S0	convir
agora	agora	RG	agora
he	é	VSIP3S0	ser
tratar	tratar	VMN0000	tratar
de	de	SPS00	de
vosa	vossa	DP2FSP	vosso
liberda	liberdade	NCFS000	liberdade
	,	Fc	,
pa	para	SPS00	para
o	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
avisai	avisai	VMM02P0	avisar
logo	logo	RG	logo
por	por	SPS00	por
meudo	miúdo	NCMS000	miúdo
e	e	CC	e
se	se	CS	se
vos	vos	PP2CP000	vos
am	hão	VMIP3P0	haver
tomado	tomado	VMP0000	tomar
alguma	alguma	DI0FS0	algum
declarasão	declaração	NCFS000	declaração
ou	ou	CC	ou
perguntas	perguntas	NCFP000	pergunta
	.	Fp	.
e	E	CC	e
se	se	CS	se
quereis	quereis	VMIP2P0	querer
algum	algum	DI0MS0	algum
favor	favor	NCMS000	favor
pa	para	SPS00	para
o	o	DA0MS0	o
alcaide	alcaide	NCMS000	alcaide
	,	Fc	,
tenho	tenho	VMIP1S0	ter
hũ	um	DI0MS0	um
amigo	amigo	NCMS000	amigo
meu	meu	DP1MSS	meu
e	e	CC	e
seu	seu	DP3MS0	seu
dele	dele	SPS00+PP3MS000	de+ele
grande	grande	AQ0CS0	grande
	.	Fp	.
eu	Eu	PP1CSN00	eu
não	não	RN	não
vos	vos	PP2CP000	vos
vou	vou	VMIP1S0	ir
ver	ver	VMN0000	ver
porque	porque	CS	porque
fora	fora	RG	fora
servẽ	servem	VMIP3P0	servir
os	os	DA0MP0	o
amigos	amigos	NCMP000	amigo
	.	Fp	.
fernãodo	Fernando	NP00000	fernando
tẽ	tem	VMIP3S0	ter
mtas	muitas	DI0FP0	muito
saudades	saudades	NCFP000	saudade
vosas	vossas	DP2FPP	vosso
e	e	CC	e
que  la	aquela	DD0FS0	aquele
senhora	senhora	NCFS000	senhor
e	e	CC	e
vos	vos	PP2CP000	vos
bejão	beijam	VMIP3P0	beijar
as	as	DA0FP0	o
maos	mãos	NCFP000	mão
	.	Fp	.
casa	Casa	NP00000	casa
	,	Fc	,
4	4	Z	4
de	de	SPS00	de
novembro	novembro	NCMS000	novembro
de	de	SPS00	de
1630	1630	Z	1630
	.	Fp	.
voso	Vosso	DP2MSP	vosso
amigo	amigo	NCMS000	amigo
	,	Fc	,
o	o	DA0MS0	o
capitão	Capitão	NP00000	capitão
	,	Fc	,
Manuel	Manuel	NP00000	manuel
fragoso	Fragoso	NP00000	fragoso
avisaime	Avisai-me	VMM02P0+PP1CS000	avisar+me
nas	nas	SPS00+DA0FP0	em+o
mesmas	mesmas	AQ0FP0	mesmo
costas	costas	NCFP000	costa
	,	Fc	,
que	que	CS	que
o	o	DA0MS0	o
outro	outro	DI0MS0	outro
ja	já	RG	já
o	o	DA0MS0	o
rompi	rompi	NCMS000	rompi
	.	Fp	.
