chegou	Chegou	VMIS3S0	chegar
hoje	hoje	RG	hoje
a	a	SPS00	a
verme	ver-me	VMN0000+PP1CS000	ver+me
hum	um	DI0MS0	um
homem	homem	NCMS000	homem
de	de	SPS00	de
fora	fora	RG	fora
e	e	CC	e
renovoume	renovou-me	VMIS3S0+PP1CS000	renovar+me
hua	uma	DI0FS0	um
memoria	memória	NCFS000	memória
ou	ou	CC	ou
escrupulo	escrúpulo	NCMS000	escrúpulo
passado	passado	VMP00SM	passar
,	,	Fc	,
q	que	PR0CN000	que
quisera	quisera	VMIM0S0	querer
depor	depor	VMN0000	depor
com	com	SPS00	com
VM	VM	NP00000	VM
	,	Fc	,
levandoho	levando-o	VMG0000+PP3MSA00	levar+o
tambem	também	RG	também
a	a	SPS00	a
elle	ele	PP3MS000	ele
	,	Fc	,
para	para	SPS00	para
o	o	DA0MS0	o
q	que	PR0CN000	que
peço	peço	VMIP1S0	pedir
a	a	SPS00	a
VM	VM	NP00000	VM
me	me	PP1CS000	me
dee	dê	VMSP0S0	dar
licença	licença	NCFS000	licença
pa	para	SPS00	para
amenham	amanhã	RG	amanhã
	,	Fc	,
4a fra	4.ª-feira	NCFS000	quarta-feira
	,	Fc	,
4	4	Z	4
do	do	SPS00+DA0MS0	de+o
presente	presente	NCMS000	presente
,	,	Fc	,
mea	meia	AQ0FS0	mau
hora	hora	NCFS000	hora
despois	depois	RG	depois
de	de	SPS00	de
anoitecido	anoitecido	VMP00SM	anoitecer
,	,	Fc	,
ir	ir	VMN0000	ir
a	a	SPS00	a
casa	casa	NCFS000	casa
de	de	SPS00	de
VM	VM	NP00000	VM
	.	Fp	.
e	E	CC	e
estimaria	estimaria	VMIC0S0	estimar
tivesse	tivesse	VMSI0S0	ter
VM	VM	NP00000	VM
la	lá	RG	lá
os	os	DA0MP0	o
secretos	secretários	NCMP000	secretário
	,	Fc	,
pa	para	SPS00	para
se	se	P00CN000	se
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
ratificação	ratificação	NCFS000	ratificação
.	.	Fp	.
e	E	CC	e
peço	peço	VMIP1S0	pedir
a	a	SPS00	a
VM	VM	NP00000	VM
me	me	PP1CS000	me
perdoe	perdoe	VMSP0S0	perdoar
tantos	tantos	DI0MP0	tanto
enfadamtos	enfadamentos	NCMP000	enfadamento
e	e	CC	e
trabalhos	trabalhos	NCMP000	trabalho
	,	Fc	,
pois	pois	CS	pois
soo	só	RG	só
pa	para	SPS00	para
elles	eles	PP3MP000	ele
presto	presto	VMIP1S0	prestar
	.	Fp	.
e	E	CC	e
Deos	Deus	NP00000	deus
dará	dará	VMIF3S0	dar
a	a	SPS00	a
VM	VM	NP00000	VM
larga	larga	AQ0FS0	largo
retribuição	retribuição	NCFS000	retribuição
de	de	SPS00	de
qtos	quantos	DT0MP0	quanto
servicos	serviços	NCMP000	serviço
lhe	lhe	PP3CSD00	lhe
faz	faz	VMIP3S0	fazer
de	de	SPS00	de
presente	presente	NCMS000	presente
	,	Fc	,
com	com	SPS00	com
tanta	tanta	DI0FS0	tanto
caridade	caridade	NCFS000	caridade
	,	Fc	,
secreto	secreto	NCMS000	secreto
e	e	CC	e
benignidade	benignidade	NCFS000	benignidade
.	.	Fp	.
e	E	CC	e
fico	fico	VMIP1S0	ficar
esperando	esperando	VMG0000	esperar
de	de	SPS00	de
VM	VM	NP00000	VM
esta	esta	DD0FS0	este
licença	licença	NCFS000	licença
	.	Fp	.
gde	Guarde	VMSP0S0	guardar
ds	Deus	NP00000	deus
a	a	SPS00	a
VM	VM	NP00000	VM
	.	Fp	.
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
4	4	Z	4
de	de	SPS00	de
Dezbro	dezembro	NCMS000	dezembro
	,	Fc	,
1630	1630	Z	1630
Vicente	Vicente	NP00000	vicente
Nogueira	Nogueira	NP00000	nogueira
