hoferesese	Oferece-se	VMIP3S0+P00CN000	oferecer+se
este	este	DD0MS0	este
portador	portador	NCMS000	portador
serto	certo	AQ0MS0	certo
por	por	SPS00	por
que	que	CS	que
pudese	pudesse	VMSI0S0	poder
saber	saber	VMN0000	saber
da	da	SPS00+DA0FS0	de+o
saude	saúde	NCFS000	saúde
de	de	SPS00	de
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
peso	peço	VMIP1S0	pedir
me	me	PP1CS000	me
mãde	mande	VMSP0S0	mandar
por	por	SPS00	por
ser	ser	VSN0000	ser
mto	muito	RQ	muito
serto	certo	AQ0MS0	certo
e	e	CC	e
acharme	achar-me	VMN0000+PP1CS000	achar+me
por	por	SPS00	por
mto	muito	RQ	muito
ditozo	ditoso	AQ0MS0	ditoso
prestar	prestar	VMN0000	prestar
este	este	DD0MS0	este
seu	seu	PX3MS000	seu
pa	para	SPS00	para
isso	isso	PD0NN000	isso
.	.	Fp	.
sor	Senhor	NP00000	senhor
	,	Fc	,
dipois	depois	RG	depois
que	que	CS	que
me	me	PP1CS000	me
vi	vi	VMIS1S0	ver
cõ	com	SPS00	com
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
não	não	RN	não
fui	fui	VMIS1S0	ir
mais	mais	RC	mais
a	a	SPS00	a
montragil	Montargil	NP00000	montargil
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
que	que	CS	que
peso	peço	VMIP1S0	pedir
mto	muito	RQ	muito
a	a	SPS00	a
v	Vossa	DP2FSP	vosso
m	Mercê	NP00000	mercê
ma	me	PP1CS000	me
fasa	faça	VMSP0S0	fazer
demãdar	demandar	VMN0000	demandar
a	à	SPS00+DA0FS0	a+o
minha	minha	DP1FSS	meu
custa	custa	NCFS000	custa
aho	ao	SPS00+DA0MS0	a+o
ho	o	DA0MS0	o
casal	casal	NCMS000	casal
pa	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
page	pague	VMSP0S0	pagar
as	as	DA0FP0	o
hobrigasois	obrigações	NCFP000	obrigação
dessa	dessa	SPS00+DD0FS0	de+esse
igreja	igreja	NCFS000	igreja
porque	porque	CS	porque
me	me	PP1CS000	me
acho	acho	VMIP1S0	achar
mto	muito	RQ	muito
caregado	carregado	VMP00SM	carregar
cõ	com	SPS00	com
cuidar	cuidar	VMN0000	cuidar
que	que	CS	que
Amdre	André	NP00000	andré
mateus	Mateus	NP00000	mateus
ficou	ficou	VMIS3S0	ficar
de	de	SPS00	de
mãdar	mandar	VMN0000	mandar
hou	ou	CC	ou
trazer	trazer	VMN0000	trazer
ho	o	DA0MS0	o
