jhus	Jesus	NP00000	jesus
	,	Fc	,
ma	Maria	NP00000	maria
	,	Fc	,
jose	José	NP00000	josé
	.	Fp	.
Snra	Senhora	NP00000	senhor
fca	Francisca	NP00000	francisca
das	das	SPS00+DA0FP0	de+o
neves	Neves	NP00000	neves
	.	Fp	.
Com	Com	SPS00	com
mto	muito	RQ	muito
semtimento	sentimento	NCMS000	sentimento
e	e	CC	e
dor	dor	NCFS000	dor
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
corasão	coração	NCMS000	coração
	,	Fc	,
Escrevo	escrevo	VMIP1S0	escrever
esta	esta	PD0FS000	este
a	a	SPS00	a
VM	VM	NP00000	VM
por	por	SPS00	por
ser	ser	VSN0000	ser
tã	tão	RC	tão
ma	má	AQ0FS0	mau
nova	nova	NCFS000	novo
como	como	CS	como
he	é	VSIP3S0	ser
esta	esta	PD0FS000	este
	,	Fc	,
aimda	ainda	RG	ainda
q	que	CS	que
são	são	VSIP3P0	ser
couzas	coisas	NCFP000	coisa
de	de	SPS00	de
des	Deus	NP00000	deus
	.	Fp	.
sabera	Saberá	VMIF3S0	saber
vM	VM	NP00000	VM
que	que	CS	que
domingos	Domingos	NP00000	domingos
monteiro	Monteiro	NP00000	monteiro
	,	Fc	,
marido	marido	NCMS000	marido
de	de	SPS00	de
vM	VM	NP00000	VM
	,	Fc	,
he	é	VSIP3S0	ser
morto	morto	VMP00SM	morrer
e	e	CC	e
morreo	morreu	VMIS3S0	morrer
n	na	SPS00+DA0FS0	em+o
armada	armada	NCFS000	armada
de	de	SPS00	de
que	que	PR0CN000	que
ja	já	RG	já
so	só	RG	só
sabera	saberá	VMIF3S0	saber
Em	em	SPS00	em
pertugal	Portugal	NP00000	portugal
	.	Fp	.
E	É	VSIP3S0	ser
serto	certo	AQ0MS0	certo
que	que	CS	que
he	é	VSIP3S0	ser
lastima	lástima	NCFS000	lástima
di	de	SPS00	de
dizer	dizer	VMN0000	dizer
o	o	DA0MS0	o
coceco	sucesso	NCMS000	sucesso
de	de	SPS00	de
que	que	PR0CN000	que
modo	modo	NCMS000	modo
socodeo	sucedeu	VMIS3S0	suceder
	,	Fc	,
q	que	CS	que
de	de	SPS00	de
uma	uma	DI0FS0	um
escoadra	esquadra	NCFS000	esquadra
de	de	SPS00	de
navios	navios	NCMP000	navio
não	não	RN	não
escapou	escapou	VMIS3S0	escapar
nehũ	nenhum	PI0MS00N	nenhum
	,	Fc	,
nem	nem	CCN	nem
ce	se	P00CN000	se
calvou	salvou	VMIS3S0	salvar
nehuã	nenhuma	DI0FS0	nenhum
gemte	gente	NCFS000	gente
mais	mais	RC	mais
que	que	CS	que
dois	dois	Z	dois
omes	homens	NCMP000	homem
	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
fui	fui	VSIS1S0	ser
um	um	DI0MS0	um
dellez	deles	SPS00+PP3MP000	de+ele
	,	Fc	,
e	e	CC	e
caimos	caímos	VMIS1P0	cair
em	em	SPS00	em
umas	umas	DI0FP0	um
taboas	tábuas	NCFP000	tábua
e	e	CC	e
a	a	SPS00	a
nado	nado	NCMS000	nado
	,	Fc	,
couza	coisa	NCFS000	coisa
milagroza	milagrosa	AQ0FS0	milagroso
	,	Fc	,
e	e	CC	e
caimos	caímos	VMIS1P0	cair
numa	numa	SPS00+DI0FS0	em+um
terra	terra	NCFS000	terra
donde	onde	PA000000	onde
Chamão	chamam	VMIP3P0	chamar
coichim	Cochim	NP00000	cochim
	.	Fp	.
esta	Esta	DD0FS0	este
desgracia	desgraça	NCFS000	desgraça
cocedeo	sucedeu	VMIS3S0	suceder
a	a	SPS00	a
des	dez	Z	dez
de	de	SPS00	de
marco	março	NCMS000	março
no	no	SPS00+DA0MS0	em+o
ano	ano	NCMS000	ano
de	de	SPS00	de
seissemtos	seiscentos	Z	seiscentos
e	e	CC	e
trimta	trinta	Z	trinta
e	e	CC	e
tres	três	Z	três
.	.	Fp	.
e	E	CC	e
llogo	logo	RG	logo
me	me	PP1CS000	me
fui	fui	VMIS1S0	ir
	,	Fc	,
por	por	SPS00	por
terra	terra	NCFS000	terra
	,	Fc	,
a	à	SPS00+DA0FS0	a+o
cidade	cidade	NCFS000	cidade
de	de	SPS00	de
goa	Goa	NP00000	goa
	,	Fc	,
jornada	jornada	NCFS000	jornada
de	de	SPS00	de
sem	cem	Z	cem
legoas	léguas	NCFP000	légua
	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
tive	tive	VMIS1S0	ter
mto	muito	RQ	muito
travalho	trabalho	NCMS000	trabalho
por	por	SPS00	por
ser	ser	VSN0000	ser
teras	terras	NCFP000	terra
fragozas	fragosas	AQ0FP0	fragoso
	.	Fp	.
estas	Estas	DD0FP0	este
comtas	contas	NCFP000	conta
dou	dou	VMIP1S0	dar
a	a	SPS00	a
VM	VM	NP00000	VM
por	por	SPS00	por
q	que	CS	que
saiba	saiba	VMSP0S0	saber
o	o	DA0MS0	o
travalho	trabalho	NCMS000	trabalho
dos	dos	SPS00+DA0MP0	de+o
omes	homens	NCMP000	homem
e	e	CC	e
por	por	SPS00	por
ser	ser	VSN0000	ser
molher	mulher	NCFS000	mulher
de	de	SPS00	de
meu	meu	DP1MSS	meu
amigo	amigo	NCMS000	amigo
domingos	Domingos	NP00000	domingos
monteiro	Monteiro	NP00000	monteiro
	,	Fc	,
q	que	PR0CN000	que
des	Deus	NP00000	deus
tem	tem	VMIP3S0	ter
no	no	SPS00+DA0MS0	em+o
ceo	céu	NCMS000	céu
	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
VM	VM	NP00000	VM
não	não	RN	não
deixara	deixará	VMIF3S0	deixar
de	de	SPS00	de
semtir	sentir	VMN0000	sentir
suã	sua	DP3FS0	seu
morte	morte	NCFS000	morte
	,	Fc	,
como	como	SPS00	como
sua	sua	DP3FS0	seu
molher	mulher	NCFS000	mulher
	,	Fc	,
e	e	CC	e
a	a	DA0FS0	o
obrigasão	obrigação	NCFS000	obrigação
perciza	precisa	AQ0FS0	preciso
que	que	PR0CN000	que
ce	se	P00CN000	se
deve	deve	VMIP3S0	dever
e	e	CC	e
	,	Fc	,
tãbem	também	RG	também
	,	Fc	,
ja	já	RG	já
que	que	CS	que
se	se	P00CN000	se
não	não	RN	não
lembrou	lembrou	VMIS3S0	lembrar
delle	dele	SPS00+PP3MS000	de+ele
em	em	SPS00	em
portugal	Portugal	NP00000	portugal
emquãto	enquanto	CS	enquanto
esteve	esteve	VMIS3S0	estar
neca	nessa	SPS00+DD0FS0	em+esse
terra	terra	NCFS000	terra
	,	Fc	,
aimda	ainda	RG	ainda
que	que	CS	que
não	não	RN	não
foi	foi	VSIS3S0	ser
por	por	SPS00	por
culpa	culpa	NCFS000	culpa
de	de	SPS00	de
VM	VM	NP00000	VM
	,	Fc	,
comforme	conforme	CS	conforme
me	me	PP1CS000	me
elle	ele	PP3MS000	ele
comtou	contou	VMIS3S0	contar
	,	Fc	,
lembrece	lembre-se	VMSP0S0+P00CN000	lembrar+se
agora	agora	RG	agora
de	de	SPS00	de
sua	sua	DP3FS0	seu
alma	alma	NCFS000	alma
	,	Fc	,
que	que	CS	que
o	o	PP3MSA00	o
deve	deve	VMIP3S0	dever
fazer	fazer	VMN0000	fazer
	.	Fp	.
e	E	CC	e
cabe	sabe	VMIP3S0	saber
des	Deus	NP00000	deus
quãto	quanto	PA000000	quanto
simto	sinto	VMIP1S0	sentir
dar	dar	VMN0000	dar
esta	esta	DD0FS0	este
nova	nova	NCFS000	novo
a	a	SPS00	a
vM	VM	NP00000	VM
	,	Fc	,
mas	mas	CC	mais
comcolesse	console-se	VMSP0S0+P00CN000	consolar+se
em	em	SPS00	em
cudar	cuidar	VMN0000	cuidar
que	que	CS	que
são	são	VSIP3P0	ser
couzas	coisas	NCFP000	coisa
do	do	SPS00+DA0MS0	de+o
seo	céu	NCMS000	céu
	.	Fp	.
e	E	CC	e
aci	aqui	RG	aqui
não	não	RN	não
tenho	tenho	VMIP1S0	ter
q	que	CS	que
me	me	PP1CS000	me
largar	largar	VMN0000	largar
em	em	SPS00	em
novidades	novidades	NCFP000	novidade
destas	destas	SPS00+DD0FP0	de+este
terras	terras	NCFP000	terra
	,	Fc	,
q	que	CS	que
as	as	DA0FP0	o
naus	naus	NCFP000	nau
	,	Fc	,
levandoas	levando-as	VMG0000+PP3FPA00	levar+o
des	Deus	NP00000	deus
a	a	SPS00	a
portugal	Portugal	NP00000	portugal
	,	Fc	,
darão	darão	VMIF3P0	dar
Rolasão	relação	NCFS000	relação
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
a	a	SPS00	a
vM	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
esta	esta	DD0FS0	este
nova	nova	NCFS000	novo
he	é	VSIP3S0	ser
tãto	tanto	RC	tanto
de	de	SPS00	de
semtir	sentir	VMN0000	sentir
q	que	CS	que
bastara	bastará	VMIF3S0	bastar
pa	para	SPS00	para
vM	VM	NP00000	VM
	.	Fp	.
porque	Porque	CS	porque
me	me	PP1CS000	me
veigo	vejo	VMIP1S0	ver
tã	tão	RC	tão
emfadado	enfadado	VMP00SM	enfadar
nesta	nesta	SPS00+DD0FS0	em+este
tera	terra	NCFS000	terra
que	que	CS	que
nem	nem	CCN	nem
tinha	tinha	VMII0S0	ter
lugar	lugar	NCMS000	lugar
pa	para	SPS00	para
escrever	escrever	VMN0000	escrever
	,	Fc	,
porque	porque	CS	porque
não	não	RN	não
nos	nos	PP1CP000	nos
deixa	deixa	VMIP3S0	deixar
el Rei	El-Rei	NP00000	el-rei
com	com	SPS00	com
suas	suas	DP3FP0	seu
armadas	armadas	NCFP000	armada
	.	Fp	.
e	E	CC	e
aci	aqui	RG	aqui
não	não	RN	não
estive	estive	VMIS1S0	estar
aposzemtado	aposentado	VMP00SM	aposentar
	,	Fc	,
nesta	nesta	SPS00+DD0FS0	em+este
cidade	cidade	NCFS000	cidade
de	de	SPS00	de
goa	Goa	NP00000	goa
	,	Fc	,
mais	mais	RC	mais
que	que	CS	que
simquo	cinco	Z	cincar
comanas	semanas	NCFP000	semana
depois	depois	RG	depois
de	de	SPS00	de
minha	minha	DP1FSS	meu
perdisão	perdição	NCFS000	perdição
	.	Fp	.
e	E	CC	e
não	não	RN	não
tive	tive	VMIS1S0	ter
llugar	lugar	NCMS000	lugar
pa	para	SPS00	para
conhecer	conhecer	VMN0000	conhecer
gemte	gente	NCFS000	gente
deca	dessa	SPS00+DD0FS0	de+esse
cidade	cidade	NCFS000	cidade
snão	senão	CC	senão
