Mui	Muito	RQ	muito
sr	Senhor	NP00000	senhor
João	João	NP00000	joão
duarte	Duarte	NP00000	duarte
Ribro	Ribeiro	NP00000	ribeiro
	.	Fp	.
quando	Quando	CS	quando
seja	seja	VSSP0S0	ser
nesçesario	necessário	AQ0MS0	necessário
a	a	DA0FS0	o
tuniqua	túnica	NCFS000	túnica
et	e	CC	e
dro	dinheiro	NCMS000	dinheiro
de	de	SPS00	de
fr	frei	NP00000	frei
frco	Francisco	NP00000	francisco
Calia	Calia	NP00000	calia
de	de	SPS00	de
Bari	Bari	NP00000	bari
	,	Fc	,
o	o	PP3MSA00	o
pode	pode	VMIP3S0	poder
vm	VM	NP00000	VM
mandar	mandar	VMN0000	mandar
buscar	buscar	VMN0000	buscar
a	à	SPS00+DA0FS0	a+o
Camararia	camararia	NCFS000	camararia
	,	Fc	,
porq	porque	CS	porque
deixo	deixo	VMIP1S0	deixar
entregue	entregue	VMP0000	entregar
tudo	tudo	PI0NN000	tudo
ao	ao	SPS00+DA0MS0	a+o
Pe	padre	NCMS000	padre
Camario	camarário	AQ0MS0	camarário
Dom	dom	NP00000	dom
Mel	Manuel	NP00000	manuel
das	das	SPS00+DA0FP0	de+o
Chagas	Chagas	NP00000	chagas
	,	Fc	,
adonde	onde	PA000000	onde
Vm	VM	NP00000	VM
	,	Fc	,
por	por	SPS00	por
hum	um	DI0MS0	um
Rol	rol	NCMS000	rol
	,	Fc	,
podera	poderá	VMIF3S0	poder
to-mar	tomar	VMN0000	tomar
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
conta	conta	NCFS000	conta
et	e	CC	e
tambem	também	RG	também
ficar	ficar	VMN0000	ficar
as	às	SPS00+DA0FS0	a+o
tenções	tenções	NCFP000	tenção
das	das	SPS00+DA0FP0	de+o
missas	missas	NCFP000	missa
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
devia	devia	VMII0S0	dever
;	.	Fp	.
et	E	CC	e
Vm	VM	NP00000	VM
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
athe	até	SPS00	até
vista	vista	NCFS000	vista
e	e	CC	e
em	em	SPS00	em
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
obedesa	obedeça	VMSP0S0	obedecer
	,	Fc	,
q	que	CS	que
fico	fico	VMIP1S0	ficar
prompto	pronto	AQ0MS0	pronto
pa	para	SPS00	para
servir	servir	VMN0000	servir
a	a	DA0FS0	o
peço	pessoa	NCFS000	pessoa
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
q	Que	CS	que
Ds	Deus	NP00000	deus
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
como	como	CS	como
epero	espero	VMIP1S0	esperar
	.	Fp	.
Sta	Santa	NP00000	santa
Crus	Cruz	NP00000	cruz
	,	Fc	,
servo	servo	NCMS000	servo
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
Dom	Dom	NP00000	dom
João	João	NP00000	joão
da	da	SPS00+DA0FS0	de+o
Victoria	Vitória	NP00000	vitória
