pesome	Peso-me	VMIP1S0+PP1CS000	pesar+me
de	de	SPS00	de
Vm	VM	NP00000	VM
não	não	RN	não
querer	querer	VMN0000	querer
comcluir	concluir	VMN0000	concluir
comigo	comigo	SPS00+PP1CSO00	com+mim
E	e	CC	e
de	de	SPS00	de
não	não	RN	não
Estarmos	estarmos	VMN02P0	estar
Em	em	SPS00	em
parte	parte	NCFS000	parte
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
pudera	pudera	VMIM0S0	poder
respomder	responder	VMN0000	responder
a	a	SPS00	a
meu	meu	DP1MSS	meu
gosto	gosto	NCMS000	gosto
	,	Fc	,
que	que	CS	que
não	não	RN	não
Estavamos	estávamos	VMII1P0	estar
Em	em	SPS00	em
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
ter	ter	VMN0000	ter
oferensas	oferenças	NCFP000	oferença
	.	Fp	.
fasame	Faça-me	VMSP0S0+PP1CS000	fazer+me
Vm	VM	NP00000	VM
m	mercê	NCFS000	mercê
de	de	SPS00	de
mãodarme	mandar-me	VMN0000+PP1CS000	mandar+me
as	as	DA0FP0	o
corenta	quarenta	Z	quarenta
pataqãs	patacas	NCFP000	pataca
de	de	SPS00	de
minha	minha	DP1FSS	meu
tia	tia	NCFS000	tio
	,	Fc	,
pois	pois	CS	pois
Vm	VM	NP00000	VM
he	é	VSIP3S0	ser
letrado	letrado	AQ0MS0	letrado
E	e	CC	e
desqreto	discreto	AQ0MS0	discreto
	.	Fp	.
não	Não	RN	não
premita	permita	VMSP0S0	permitir
outra	outra	DI0FS0	outro
coiza	coisa	NCFS000	coisa
	,	Fc	,
que	que	CS	que
tenho	tenho	VMIP1S0	ter
conselhos	conselhos	NCMP000	conselho
de	de	SPS00	de
letrados	letrados	NCMP000	letrado
mui	muito	RQ	muito
grãodes	grandes	AQ0CP0	grande
de	de	SPS00	de
lxa	Lxa	NP00000	lisboa
E	e	CC	e
de	de	SPS00	de
mtas	muitas	DI0FP0	muito
outras	outras	DI0FP0	outro
partes	partes	NCFP000	parte
	.	Fp	.
que	Que	CS	que
	,	Fc	,
se	se	CS	se
Vm	VM	NP00000	VM
não	não	RN	não
da	dá	VMIP3S0	dar
satisfasão	satisfação	NCFS000	satisfação
deste	deste	SPS00+DD0MS0	de+este
dro	dinheiro	NCMS000	dinheiro
	,	Fc	,
ten	tem	VMIP3S0	ter
huã	uma	DI0FS0	um
grande	grande	AQ0CS0	grande
carga	carga	NCFS000	carga
a	a	SPS00	a
costas	costas	NCFP000	costa
	.	Fp	.
hi	E	CC	e
en	em	SPS00	em
fallta	falta	NCFS000	falta
de	de	SPS00	de
Vm	VM	NP00000	VM
mas	mas	PP1CS000+PP3FPA00	me+o
não	não	RN	não
mãodar	mandar	VMN0000	mandar
hoge	hoje	RG	hoje
	,	Fc	,
ficame	fica-me	VMIP3S0+PP1CS000	ficar+me
libertade	liberdade	NCFS000	liberdade
de	de	SPS00	de
amenham	amanhã	RG	amanhã
por	por	SPS00	por
diante	diante	RG	diante
cobrallo	cobrá-lo	VMN0000+PP3MSA00	cobrar+o
por	por	SPS00	por
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
Vias	vias	NCFP000	via
que	que	PR0CN000	que
poder	puder	VMSF0S0	poder
	.	Fp	.
que	Que	CS	que
Vm	VM	NP00000	VM
não	não	RN	não
tera	terá	VMIF3S0	ter
rezão	razão	NCFS000	razão
queixarse	queixar-se	VMN0000+P00CN000	queixar+se
de	de	SPS00	de
mi	mim	PP1CSO00	mim
	.	Fp	.
he	E	CC	e
ate	até	SPS00	até
gora	agora	RG	agora
Vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
poco	pouco	RQ	pouco
de	de	SPS00	de
mi	mim	PP1CSO00	mim
	,	Fc	,
que	que	CS	que
com	com	SPS00	com
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
ĩstançia	instância	NCFS000	instância
Ei	hei	VMIP1S0	haver
de	de	SPS00	de
precurar	procurar	VMN0000	procurar
cobrar	cobrar	VMN0000	cobrar
ho	o	DA0MS0	o
meu	meu	DP1MSS	meu
	.	Fp	.
E	E	CC	e
despõis	depois	RG	depois
não	não	RN	não
dira	dirá	VMIF3S0	dizer
que	que	CS	que
o	o	PP3MSA00	o
não	não	RN	não
aVisei	avisei	VMIS1S0	avisar
	.	Fp	.
con	Com	SPS00	com
tanto	tanto	RC	tanto
	,	Fc	,
noso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
E	e	CC	e
v	vosso	DP2MSP	vosso
s	servo	NCMS000	servo
	,	Fc	,
Etts	etc	NCMS000	etc
	.	Fp	.
Jorge	Jorge	NP00000	jorge
Anriqes	Henriques	NP00000	henriques
