tẽme	Tem-me	VAIP3S0+PP1CS000	ter+me
tan	tão	RC	tão
custumada	acostumada	VMP00SF	acostumar
a	a	SPS00	a
mimos	mimos	NCMP000	mimo
E	e	CC	e
a	a	SPS00	a
recados	recados	NCMP000	recado
que	que	CS	que
fiquiei	fiquei	VMIS1S0	ficar
descösoladã	desconsolada	VMP00SF	desconsolar
	.	Fp	.
digua	Diga	VMSP0S0	dizer
se	se	CSI	se
foi	foi	VMIS3S0	ir
la	lá	RG	lá
hũ	um	DI0MS0	um
snor	Senhor	NP00000	senhor
	.	Fp	.
quãdo	Quando	CS	quando
não	não	RN	não
vier	vier	VMSF0S0	vir
nada	nada	PI0NN00N	nada
	,	Fc	,
ponha	ponha	VMSP0S0	pôr
sinal	sinal	NCMS000	sinal
	.	Fp	.
p	Por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
des	Deus	NP00000	deus
se	se	P00CN000	se
não	não	RN	não
enfade	enfade	VMSP0S0	enfadar
hese	esse	DD0MS0	esse
B	B	NP00000	b
de	de	SPS00	de
algũ	algum	DI0MS0	algum
sinal	sinal	NCMS000	sinal
	.	Fp	.
noso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
lo	o	PP3MSA00	o
livre	livre	VMSP0S0	livrar
e	e	CC	e
a	a	SPS00	a
todos	todos	PI0MP000	todo
	.	Fp	.
ana	Ana	NP00000	ana
	,	Fc	,
polo	pelo	SPS00+DA0MS0	por+o
seo	seu	DP3MS0	seu
sobrenome	sobrenome	NCMS000	sobrenome
