fiquaria	Ficaria	VMIC0S0	ficar
enfadado	enfadado	VMP00SM	enfadar
cö	com	SPS00	com
ho	o	DA0MS0	o
ovo	ovo	NCMS000	ovo
partido	partido	VMP00SM	partir
estãdo	estando	VMG0000	estar
pondo	pondo	VMG0000	pôr
nele	nele	SPS00+PP3MS000	em+ele
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
abrirão	abriram	VMIS3P0	abrir
a	a	DA0FS0	o
porta	porta	NCFS000	porta
fora	fora	RG	fora
do	do	SPS00+DA0MS0	de+o
custumado	costumado	VMP00SM	costumar
	,	Fc	,
consertar	consertar	VMN0000	consertar
outro	outro	PI0MS000	outro
	.	Fp	.
quando	Quando	CS	quando
fordes	fordes	VMSF2P0	ir
	,	Fc	,
farei	farei	VMIF1S0	fazer
hũ	um	PI0MS000	um
no	no	SPS00+DA0MS0	em+o
da	da	SPS00+DA0FS0	de+o
fita	fita	NCFS000	fita
	.	Fp	.
o	O	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
faca	faça	VMSP0S0	fazer
as	às	SPS00+DA0FS0	a+o
marquesotãs	marquesotas	NCFP000	marquesota
	.	Fp	.
a	A	DA0FS0	o
piquena	pequena	AQ0FS0	pequeno
fala	fala	VMIP3S0	falar
a	a	SPS00	a
ferẽra	Ferreira	NP00000	ferreira
	.	Fp	.
cö	Com	SPS00	com
ela	ela	PP3FS000	ele
sö	sou	VSIP1S0	ser
inportuna	importuna	AQ0FS0	importuno
por	por	SPS00	por
me	me	PP1CS000	me
dizer	dizer	VMN0000	dizer
ho	o	DA0MS0	o
coracão	coração	NCMS000	coração
he	é	VSIP3S0	ser
sangue	sangue	NCMS000	sangue
que	que	PR0CN000	que
core	corre	VMIP3S0	correr
	.	Fp	.
tireme	Tire-me	VMSP0S0+PP1CS000	tirar+me
desta	desta	SPS00+PD0FS000	de+este
sospeita	suspeita	NCFS000	suspeita
	.	Fp	.
noso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
ho	o	PP3MSA00	o
livre	livre	VMSP0S0	livrar
e	e	CC	e
a	a	SPS00	a
todos	todos	PI0MP000	todo
	.	Fp	.
