Não	Não	RN	não
vos	vos	PP2CP000	vos
escrevo	escrevo	VMIP1S0	escrever
p	por	SPS00	por
o	o	DA0MS0	o
Snor	senhor	NP00000	senhor
manoel	Manuel	NP00000	manuel
soares	Soares	NP00000	soares
vos	vos	PP2CP000	vos
escrever	escrever	VMN0000	escrever
	.	Fp	.
pesovos	Peço-vos	VMIP1S0+PP2CP000	pedir+vos
q	que	CS	que
me	me	PP1CS000	me
escrevais	escrevais	VMSP2P0	escrever
mto	muito	RQ	muito
hurrgemte	urgentemente	RG	urgentemente
de	de	SPS00	de
como	como	PA000000	como
Estais	estais	VMIP2P0	estar
E	e	CC	e
de	de	SPS00	de
como	como	PA000000	como
andais	andais	VMIP2P0	andar
de	de	SPS00	de
negoceo	negócio	NCMS000	negócio
	,	Fc	,
isto	isto	PD0NN000	isto
mto	muito	RQ	muito
meudamte	miudamente	RG	miudamente
E	e	CC	e
na	na	SPS00+DA0FS0	em+o
verdade	verdade	NCFS000	verdade
	.	Fp	.
E	E	CC	e
mandaime	mandai-me	VMM02P0+PP1CS000	mandar+me
diser	dizer	VMN0000	dizer
se	se	CSI	se
vos	vos	PP2CP000	vos
derão	deram	VMIS3P0	dar
duas	duas	NCFP000	dois
q	que	PR0CN000	que
vos	vos	PP2CP000	vos
Escrevi	escrevi	VMIS1S0	escrever
p	por	SPS00	por
hũs	uns	DI0MP0	um
meus	meus	DP1MPS	meu
fregeses	fregueses	NCMP000	freguês
	.	Fp	.
cuidei	Cuidei	VMIS1S0	cuidar
q	que	CS	que
me	me	PP1CS000	me
Escreveses	escrevesses	VMSI2S0	escrever
p	por	SPS00	por
via	via	NCFS000	via
de	de	SPS00	de
Jmo	Jerónimo	NP00000	jerónimo
d	de	SPS00	de
abreu	Abreu	NP00000	abreu
	,	Fc	,
fo	filho	NCMS000	filho
de	de	SPS00	de
anto	António	NP00000	antónio
d	de	SPS00	de
abreu	Abreu	NP00000	abreu
da	da	SPS00+DA0FS0	de+o
rocha	Rocha	NP00000	rocha
de	de	SPS00	de
caminha	Caminha	NP00000	caminha
	.	Fp	.
sabei	Sabei	VMM02P0	saber
delle	dele	SPS00+PP3MS000	de+ele
	,	Fc	,
q	que	CS	que
Elle	ele	PP3MS000	ele
vos	vos	PP2CP000	vos
ordenara	ordenará	VMIF3S0	ordenar
as	as	DA0FP0	o
cartas	cartas	NCFP000	carta
pa	para	SPS00	para
q	que	CS	que
tenhamos	tenhamos	VMSP1P0	ter
de	de	SPS00	de
vos	vós	PP2CP000	vós
novas	novas	NCFP000	nova
	.	Fp	.
noso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
vos	vos	PP2CP000	vos
libre	livre	VMSP0S0	livrar
cedo	cedo	RG	cedo
como	como	CS	como
todos	todos	PI0MP000	todo
desejamos	desejamos	VMIP1P0	desejar
	.	Fp	.
de	De	SPS00	de
voso	vosso	DP2MSP	vosso
Irmão	irmão	NCMS000	irmão
	,	Fc	,
Nuno	Nuno	NP00000	nuno
de	de	SPS00	de
pasos	Passos	NP00000	passos
