Faço	Faço	VMIP1S0	fazer
estas	estas	DD0FP0	este
Regras	regras	NCFP000	regra
mais	mais	RC	mais
pa	para	SPS00	para
alivio	alívio	NCMS000	alívio
de	de	SPS00	de
hũa	uma	DI0FS0	um
saudade	saudade	NCFS000	saudade
do	do	SPS00+DA0MS0	de+o
q	que	CS	que
pa	para	SPS00	para
motivo	motivo	NCMS000	motivo
de	de	SPS00	de
hum	um	DI0MS0	um
sentimento	sentimento	NCMS000	sentimento
q	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
de	de	SPS00	de
não	não	RN	não
saber	saber	VMN0000	saber
novas	novas	NCFP000	nova
suas	suas	DP3FP0	seu
	,	Fc	,
q	que	CS	que
estimarei	estimarei	VMIF1S0	estimar
agora	agora	RG	agora
q	que	CS	que
estas	estas	DD0FP0	este
breves	breves	AQ0CP0	breve
Regras	regras	NCFP000	regra
o	o	PP3MSA00	o
achem	achem	VMSP3P0	achar
con	com	SPS00	com
a	a	DA0FS0	o
saude	saúde	NCFS000	saúde
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
desejo	desejo	VMIP1S0	desejar
e	e	CC	e
juntamte	juntamente	RG	juntamente
pa	para	SPS00	para
q	que	CS	que
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
novas	novas	NCFP000	nova
de	de	SPS00	de
sua	sua	DP3FS0	seu
saude	saúde	NCFS000	saúde
e	e	CC	e
tambem	também	RG	também
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
diser	dizer	VMN0000	dizer
se	se	CSI	se
he	é	VSIP3S0	ser
minha	minha	DP1FSS	meu
mai	mãe	NCFS000	mãe
morta	morta	VMP00SF	morrer
se	se	CS	se
viva	viva	VMSP0S0	viver
q	que	CS	que
o	o	DA0MS0	o
não	não	RN	não
ter	ter	VAN0000	ter
percurado	procurado	VMP0000	procurar
estas	estas	DD0FP0	este
novas	novas	NCFP000	nova
não	não	RN	não
he	é	VSIP3S0	ser
falta	falta	NCFS000	falta
minha	minha	DP1FSS	meu
nem	nem	CCN	nem
tam	tão	RC	tão
pouquo	pouco	DI0MS0	pouco
descuido	descuido	NCMS000	descuido
meu	meu	DP1MSS	meu
	,	Fc	,
mas	mas	CC	mais
sim	sim	RG	sim
he	é	VSIP3S0	ser
falta	falta	NCFS000	falta
de	de	SPS00	de
portadores	portadores	NCMP000	portador
	.	Fp	.
asim	Assim	RG	assim
lhe	lhe	PP3CSD00	lhe
pesso	peço	VMIP1S0	pedir
q	que	CS	que
mas	mas	PP1CS000+PP3FPA00	me+o
mande	mande	VMSP0S0	mandar
mais	mais	RC	mais
dipresa	depressa	RG	depressa
q	que	CS	que
puder	puder	VMSF0S0	poder
pa	para	SPS00	para
q	que	CS	que
eu	eu	PP1CSN00	eu
tenha	tenha	VMSP0S0	ter
o	o	DA0MS0	o
alivio	alívio	NCMS000	alívio
de	de	SPS00	de
saber	saber	VMN0000	saber
novas	novas	NCFP000	nova
de	de	SPS00	de
vms	VMs	NP00000	VM
todos	todos	DI0MP0	todo
porq	porque	CS	porque
bem	bem	RG	bem
sabe	sabe	VMIP3S0	saber
q	que	CS	que
quem	quem	PR0CN000	quem
esta	está	VMIP3S0	estar
fora	fora	RG	fora
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
terra	terra	NCFS000	terra
não	não	RN	não
tem	tem	VMIP3S0	ter
mais	mais	RC	mais
alivio	alívio	NCMS000	alívio
q	que	CS	que
saber	saber	VMN0000	saber
novas	novas	NCFP000	nova
de	de	SPS00	de
parentes	parentes	NCMP000	parente
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
con	com	SPS00	com
mais	mais	RC	mais
Resam	razão	NCFS000	razão
a	a	PP3FSA00	o
devo	devo	VMIP1S0	dever
percurar	procurar	VMN0000	procurar
pois	pois	CS	pois
tenho	tenho	VMIP1S0	ter
en	em	SPS00	em
Vm	VM	NP00000	VM
o	o	DA0MS0	o
alivio	alívio	NCMS000	alívio
todo	todo	DI0MS0	todo
	,	Fc	,
pois	pois	CS	pois
he	é	VSIP3S0	ser
pai	pai	NCMS000	pai
e	e	CC	e
mai	mãe	NCFS000	mãe
	.	Fp	.
asim	Assim	RG	assim
peso	peço	VMIP1S0	pedir
outra	outra	DI0FS0	outro
ves	vez	NCFS000	vez
q	que	CS	que
Vm	VM	NP00000	VM
	,	Fc	,
ou	ou	CC	ou
a	a	SPS00	a
quem	quem	PR0CN000	quem
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
for	for	VMSF0S0	ir
a	à	SPS00+DA0FS0	a+o
mão	mão	NCFS000	mão
	,	Fc	,
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
novas	novas	NCFP000	nova
pa	para	SPS00	para
q	que	CS	que
se	se	CS	se
forem	forem	VSSF3P0	ser
mortos	mortos	VMP00PM	morrer
eu	eu	PP1CSN00	eu
tenha	tenha	VMSP0S0	ter
mais	mais	RC	mais
cuidado	cuidado	NCMS000	cuidado
de	de	SPS00	de
os	os	PP3MSA00	o
encomendar	encomendar	VMN0000	encomendar
a	a	SPS00	a
Ds	Deus	NP00000	deus
mais	mais	RC	mais
particularmente	particularmente	RG	particularmente
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
sempre	sempre	RG	sempre
tenho	tenho	VMIP1S0	ter
	,	Fc	,
e	e	CC	e
Não	não	RN	não
me	me	PP1CS000	me
esqueso	esqueço	VMIP1S0	esquecer
	.	Fp	.
asim	Assim	RG	assim
espero	espero	VMIP1S0	esperar
eu	eu	PP1CSN00	eu
tambem	também	RG	também
de	de	SPS00	de
qualquer	qualquer	DI0CS0	qualquer
