Minha	Minha	DP1FSS	meu
Amiga	Amiga	NP00000	amigo
Luiza	Luísa	NP00000	luísa
Maria	Maria	NP00000	maria
;	,	Fc	,
Dei	dei	VMIS1S0	dar
Com	com	SPS00	com
hũ	um	DI0MS0	um
Confessor	confessor	NCMS000	confessor
empertinente	impertinente	AQ0CS0	impertinente
e	e	CC	e
	,	Fc	,
Confessandolhe	confessando-lhe	VMG0000+PP3CSD00	confessar+lhe
aquillo	aquilo	PD0NN000	aquilo
que	que	PR0CN000	que
aquella	aquela	DD0FS0	aquele
mulher	mulher	NCFS000	mulher
ensinava	ensinava	VMII0S0	ensinar
	,	Fc	,
Com	com	SPS00	com
que	que	CS	que
fes	fez	VMIS3S0	fazer
tornarlhe	tornar-lhe	VMN0000+PP3CSD00	tornar+lhe
a	a	DA0FS0	o
Caza	casa	NCFS000	casa
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
amigo	amigo	NCMS000	amigo
,	,	Fc	,
que	que	PR0CN000	que
era	era	VSII0S0	ser
não	não	RN	não
Rezar	rezar	VMN0000	rezar
o	o	DA0MS0	o
Rozario	rosário	NCMS000	rosário
,	,	Fc	,
nem	nem	CCN	nem
dizer	dizer	VMN0000	dizer
jesus	Jesus	NP00000	jesus
M	Maria	NP00000	maria
em	em	SPS00	em
quinze	quinze	Z	quinze
dias	dias	NCMP000	dia
	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
mais	mais	RC	mais
que	que	PR0CN000	que
ouvio	ouviu	VMIS3S0	ouvir
e	e	CC	e
ella	ela	PP3FS000	ele
dice	disse	VMIS3S0	dizer
,	,	Fc	,
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
dar	dar	VMN0000	dar
parte	parte	NCFS000	parte
ao	ao	SPS00+DA0MS0	a+o
sto	Santo	NP00000	santo
officio	Ofício	NP00000	ofício
;	.	Fp	.
ja	Já	RG	já
o	o	PP3MSA00	o
tenho	tenho	VAIP1S0	ter
feito	feito	VMP0000	fazer
,	.	Fp	.
e	E	CC	e
	,	Fc	,
Como	como	CS	como
vm	VM	NP00000	VM
asistio	assistiu	VMIS3S0	assistir
	,	Fc	,
me	me	PP1CS000	me
perguntarão	perguntaram	VMIS3P0	perguntar
que	que	DT0CN0	que
mais	mais	RC	mais
sabia	sabia	VMII0S0	saber
do	do	SPS00+DA0MS0	de+o
Cazo	caso	NCMS000	caso
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
dice	disse	VMIS3S0	dizer
que	que	CS	que
tambem	também	RG	também
vm	VM	NP00000	VM
ouvira	ouvira	VMIM0S0	ouvir
,	,	Fc	,
porem	porém	RG	porém
	,	Fc	,
que	que	CS	que
nenhũa	nenhuma	PI0FS00N	nenhum
de	de	SPS00	de
nos	nós	PP1CP000	nós
tal	tal	PD0CS000	tal
fize-ra	fizera	VMIM0S0	fazer
,	,	Fc	,
antes	antes	RG	antes
arnegara	arrenegara	VMIM0S0	arrenegar
tal	tal	DD0CS0	tal
diabrura	diabrura	NCFS000	diabrura
,	.	Fp	.
e	E	CC	e
	,	Fc	,
asin	assim	RG	assim
	,	Fc	,
he	é	VSIP3S0	ser
necesso	necessário	AQ0MS0	necessário
que	que	CS	que
vm	VM	NP00000	VM
va	vá	VMSP0S0	ir
Logo	logo	RG	logo
	,	Fc	,
Logo	logo	RG	logo
ao	ao	SPS00+DA0MS0	a+o
sto	Santo	NP00000	santo
officio	Ofício	NP00000	ofício
denunciar	denunciar	VMN0000	denunciar
tambem	também	RG	também
	.	Fp	.
quando	Quando	CS	quando
não	não	RN	não
	,	Fc	,
hão	hão	VMIP3P0	haver
de	de	SPS00	de
chamalla	chamá-la	VMN0000+PP3FSA00	chamar+o
,	,	Fc	,
e	e	CC	e
chamão	chamam	VMIP3P0	chamar
;	!	Fa	!
não	Não	RN	não
se	se	P00CN000	se
descuide	descuide	VMSP0S0	descuidar
e	e	CC	e
tenha	tenha	VMSP0S0	ter
paciencia	paciência	NCFS000	paciência
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
sou	sou	VSIP1S0	ser
obrigada	obrigada	VMP00SF	obrigar
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
dis	diz	VMIP3S0	dizer
o	o	DA0MS0	o
Confessor	confessor	NCMS000	confessor
,	.	Fp	.
e	E	CC	e
nestas	nestas	SPS00+DD0FP0	em+este
materias	matérias	NCFP000	matéria
de	de	SPS00	de
Nossa	Nossa	DP1FPP	nossa
Sta	Santa	NP00000	santa
fe	Fé	NP00000	fé
não	não	RN	não
ha	há	VMIP3S0	haver
amigo	amigo	NCMS000	amigo
pa	para	SPS00	para
amigo	amigo	NCMS000	amigo
,	.	Fp	.
não	Não	RN	não
se	se	P00CN000	se
asuste	assuste	VMSP0S0	assustar
	,	Fc	,
q	que	CS	que
Lá	lá	RG	lá
tudo	tudo	PI0NN000	tudo
se	se	P00CN000	se
fas	faz	VMIP3S0	fazer
Com	com	SPS00	com
piedade	piedade	NCFS000	piedade
	.	Fp	.
Deos	Deus	Fp	.
gde	guarde	Fp	.
a	a	Fp	.
vm	VM	Fp	.
mtos	muitos	Fp	.
annos	anos	Fp	.
	.	Fp	.
15	15	Fp	.
de	de	Fp	.
Janro	janeiro	Fp	.
de	de	Fp	.
1721	1721	Fp	.
Sua	Sua	Fp	.
amiga	amiga	Fp	.
	,	Fp	.
Maria	Maria	Fp	.
Clara	Clara	Fp	.
Ribeira	Ribeira	Fp	.
