Mais	Mais	RC	mais
Comfeso	confesso	VMIP1S0	confessar
que	que	CS	que
eu	eu	PP1CSN00	eu
dezia	dizia	VMII0S0	dizer
o	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
emgles	inglês	NCMS000	inglês
	,	Fc	,
a	a	SPS00	a
Respto	respeito	NCMS000	respeito
de	de	SPS00	de
huas	umas	DI0FP0	um
carttas	cartas	NCFP000	carta
que	que	PR0CN000	que
me	me	PP1CS000	me
mostrava	mostrava	VMII0S0	mostrar
	,	Fc	,
que	que	CS	que
dezia	dizia	VMII0S0	dizer
que	que	CS	que
as	as	DA0FP0	o
coais	quais	PR0CP000	qual
lhe	lhe	PP3CSD00	lhe
escreviam	escreviam	VMII3P0	escrever
os	os	DA0MP0	o
padres	padres	NCMP000	padre
da	da	SPS00+DA0FS0	de+o
Compa	Companhia	NP00000	companhia
de	de	SPS00	de
jesus	Jesus	NP00000	jesus
	,	Fc	,
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
dezia	dizia	VMII0S0	dizer
que	que	CS	que
elle	ele	PP3MS000	ele
	,	Fc	,
do	dito	VMP00SM	dizer
emgles	inglês	NCMS000	inglês
	,	Fc	,
dezia	dizia	VMII0S0	dizer
bem	bem	RG	bem
	,	Fc	,
mas	mas	CC	mas
nunca	nunca	RN	nunca
com	com	SPS00	com
tensão	tenção	NCFS000	tenção
de	de	SPS00	de
ofender	ofender	VMN0000	ofender
a	a	SPS00	a
Sta	Santa	NP00000	santa
fee	Fé	NP00000	fé
	,	Fc	,
e	e	CC	e
que	que	CS	que
tambem	também	RG	também
peço	peço	VMIP1S0	pedir
a	a	SPS00	a
VSa	VSa	NP00000	VSa
mizericordia	misericórdia	NCFS000	misericórdia
	.	Fp	.
Jozeph	José	NP00000	josé
de	de	SPS00	de
Moura	Moura	NP00000	moura
