Senhores	Senhores	NP00000	senhores
	.	Fp	.
Andando	Andando	VMG0000	andar
eu	eu	PP1CSN00	eu
doente	doente	AQ0CS0	doente
	,	Fc	,
dise	disse	VMIS3S0	dizer
a	a	SPS00	a
minha	minha	DP1FSS	meu
Mai	mãe	NCFS000	mãe
q	que	CS	que
me	me	PP1CS000	me
chamase	chama-se	PP1CS000	me
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
pa	para	SPS00	para
q	que	CS	que
me	me	PP1CS000	me
Curase	curasse	VMSI0S0	curar
da	da	SPS00+DA0FS0	de+o
espinhela	espinhela	NCFS000	de+o
e	e	CC	e
	,	Fc	,
Como	como	CS	como
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
tinha	tinha	VAII0S0	ter
ja	já	RG	já
Curado	curado	VMP00SM	curar
da	da	SPS00+DA0FS0	de+o
espinhela	espinhela	NCFS000	de+o
e	em	SPS00	em
huma	uma	DI0FS0	um
oCaziam	ocasião	NCFS000	ocasião
	,	Fc	,
fou	foi	VSIS3S0	ser
a	a	DA0FS0	o
Cauza	causa	NCFS000	causa
por	por	SPS00	por
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
a	a	PP3FSA00	o
mandei	mandei	VMIS1S0	mandar
Chamar	chamar	VMN0000	chamar
pa	para	SPS00	para
q	que	CS	que
me	me	PP1CS000	me
Curase	curasse	VMSI0S0	curar
dela	dela	SPS00+PP3FS000	de+ele
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
veio	veio	VMIS3S0	vir
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
a	a	SPS00	a
minha	minha	DP1FSS	meu
caza	casa	NCFS000	casa
	,	Fc	,
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
q	que	CS	que
eu	eu	PP1CSN00	eu
havia	havia	VMII0S0	haver
de	de	SPS00	de
mister	mister	NCMS000	mister
bem	bem	RG	bem
Curada	curada	VMP00SF	curar
e	e	CC	e
q	que	CS	que
da	da	SPS00+DA0FS0	de+o
espinhela	espinhela	NCFS000	de+o
poCo	pouco	RQ	pouco
me	me	PP1CS000	me
tinha	tinha	VAII0S0	ter
Caido	caído	VMP00SM	cair
	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
Comesandome	começando-me	Fc	,
a	a	SPS00	a
Corar	curar	VMN0000	curar
dela	dela	SPS00+PP3FS000	de+ele
	,	Fc	,
dise	disse	VMIS3S0	dizer
q	que	CS	que
tomasem	tomassem	VMSI3P0	tomar
aRuda	arruda	NCFS000	arruda
e	e	CC	e
mostarda	mostarda	NCFS000	mostarda
branCa	branca	AQ0FS0	branco
e	e	CC	e
q	que	CS	que
a	a	PP3FSA00	o
puzesem	pusessem	VMSI3P0	pôr
nos	nos	SPS00+DA0MP0	em+o
Coatros	quatro	Z	quatro
quantos	quantos	PA000000	quanto
da	da	SPS00+DA0FS0	de+o
caza	casa	NCFS000	casa
	,	Fc	,
aseza	acesa	VMP00SF	acender
	,	Fc	,
a	a	SPS00	a
defomar	defumar	VMN0000	defumar
a	a	DA0FS0	o
Caza	casa	NCFS000	casa
	,	Fc	,
e	e	CC	e
q	que	CS	que
tomasem	tomassem	VMSI3P0	tomar
mostarda	mostarda	NCFS000	mostarda
branCa	branca	AQ0FS0	branco
e	e	CC	e
aRuda	arruda	NCFS000	arruda
e	e	CC	e
q	que	CS	que
me	me	PP1CS000	me
defomase	defumasse	VMSI0S0	defumar
nela	nela	SPS00+PP3FS000	em+ele
	.	Fp	.
dizendolhe	Dizendo-lhe	VMG0000+PP3CSD00	dizer+lhe
q	que	CS	que
minha	minha	DP1FSS	meu
Irmam	irmã	NCFS000	irmão
andava	andava	VMII0S0	andar
doente	doente	AQ0CS0	doente
	,	Fc	,
Respondei	respondeu	VMIS3S0	responder
ella	ela	PP3FS000	ele
q	que	CS	que
minha	minha	DP1FSS	meu
Irmam	irmã	NCFS000	irmão
não	não	RN	não
tinha	tinha	VMII0S0	ter
nada	nada	PI0NN00N	nada
mas	mas	CC	mais
q	que	CS	que
se	se	P00CN000	se
defomase	defumasse	VMSI0S0	defumar
n	na	SPS00+DA0FS0	em+o
aRuda	arruda	NCFS000	arruda
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
mostarda	mostarda	NCFS000	mostarda
branCa	branca	AQ0FS0	branco
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
anbas	ambas	DI0FP0	ambos
nos	nos	SPS00+DA0MP0	em+o
defomavamos	defumávamos	VMII1P0	defumar
nestas	nestas	SPS00+DD0FP0	em+este
Couzas	coisas	NCFP000	coisa
	.	Fp	.
dandolhe	Dando-lhe	VMG0000+PP3CSD00	dar+lhe
eu	eu	PP1CSN00	eu
Conta	conta	NCFS000	conta
e	e	CC	e
minha	minha	DP1FSS	meu
Irmam	irmã	NCFS000	irmão
q	que	CS	que
a	a	DA0FS0	o
mostarda	mostarda	NCFS000	mostarda
e	e	CC	e
aRuda	arruda	NCFS000	arruda
em	em	SPS00	em
q	que	PR0CN000	que
minha	minha	DP1FSS	meu
Irmam	irmã	NCFS000	irmão
se	se	CS	se
defomava	defumava	VMII0S0	defumar
espirrava	espirrava	VMII0S0	espirrar
e	e	CC	e
a	a	SPS00	a
minha	minha	DP1FSS	meu
não	não	RN	não
	,	Fc	,
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
botase	botasse	VMSI0S0	botar
huma	uma	DI0FS0	um
pedra	pedra	NCFS000	pedra
piquena	pequena	AQ0FS0	pequeno
de	de	SPS00	de
ensenso	incenso	NCMS000	incenso
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
