Rdmo	Reverendíssimo	AQSMS0	reverendo
Sr	Senhor	NP00000	senhor
Abbe	Abade	NP00000	abade
	.	Fp	.
Em	Em	SPS00	em
observancia	observância	NCFS000	observância
da	da	SPS00+DA0FS0	de+o
Comissam	comissão	NCFS000	comissão
de	de	SPS00	de
vmce	VM	NP00000	VM
,	,	Fc	,
da	da	SPS00+DA0FS0	de+o
pte	parte	NCFS000	parte
do	do	SPS00+DA0MS0	de+o
sto	Santo	NP00000	santo
officio	Ofício	NP00000	ofício
,	,	Fc	,
me	me	PP1CS000	me
Informey	informei	VMIS1S0	informar
do	do	SPS00+DA0MS0	de+o
cazo	caso	NCMS000	caso
q	que	PR0CN000	que
a	a	DA0FS0	o
vmce	VM	NP00000	VM
foi	foi	VSIS3S0	ser
proposto	proposto	VMP00SM	propor
e	e	CC	e
achei	achei	VMIS1S0	achar
o	o	DA0MS0	o
seguinte	seguinte	NCMS000	seguinte
.	.	Fp	.
Franco	Francisco	NP00000	francisco
d	de	SPS00	de
Almda	Almeida	NP00000	almeida
	,	Fc	,
Soltro	solteiro	AQ0MS0	solteiro
,	,	Fc	,
fo	filho	NCMS000	filho
d	de	SPS00	de
Mel	Manuel	NP00000	manuel
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
Furtádo	Furtado	NP00000	furtado
,	,	Fc	,
já	já	RG	já
defunto	defunto	AQ0MS0	defunto
,	,	Fp	.
deste	deste	SPS00+DD0MS0	de+este
Luguar	lugar	NCMS000	lugar
de	de	SPS00	de
Contensas	Contenças	NCFP000	contença
de	de	SPS00	de
Simma	Cima	NP00000	cima
	,	Fc	,
fĩga	freguesia	NCFS000	freguesia
de	de	SPS00	de
S Thiaguo	Santiago	NP00000	santiago
de	de	SPS00	de
Cassurraens	Cassurrães	NP00000	cassurrães
,	,	Fc	,
Bispdo	bispado	NCMS000	bispado
de	de	SPS00	de
Vizeu	Viseu	NP00000	viseu
	,	Fc	,
disse	disse	VMIS3S0	dizer
que	que	CS	que
em	em	SPS00	em
o	o	DA0MS0	o
dia	dia	NCMS000	dia
tres	três	Z	três
de	de	SPS00	de
Aguosto	agosto	NCMS000	agosto
do	do	SPS00+DA0MS0	de+o
prezente	presente	NCMS000	presente
anno	ano	NCMS000	ano
de	de	SPS00	de
1765	1765	Z	1765
ouvira	ouvira	VMIM0S0	ouvir
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
Joze	José	NP00000	josé
Paẽs	Pais	NP00000	pais
do	do	SPS00+DA0MS0	de+o
mo	mesmo	AQ0MS0	mesmo
Luguar	lugar	NCMS000	lugar
q	que	CS	que
Ma	Maria	NP00000	maria
Cabral	Cabral	NP00000	cabral
,	,	Fc	,
mer	mulher	NCFS000	mulher
de	de	SPS00	de
