Mto	Muito		
Rdo	Reverendo		
Snr	Senhor		
Pe	Padre		
Fr	Frei		
Symão	Simão		
de	de		
Sta	Santa		
Anna	Ana		
	.		
Ja	Já	RG	já
vay	vai	VMIP3S0	ir
passando	passando	VMG0000	passar
de	de	SPS00	de
tres	três	Z	três
semanas	semanas	NCFP000	semana
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
achey	achei	VMIS1S0	achar
em	em	SPS00	em
huma	uma	DI0FS0	um
conversa	conversa	NCFS000	conversa
com	com	SPS00	com
tres	três	Z	três
Religiozos	religiosos	NCMP000	religioso
de	de	SPS00	de
S	São	NP00000	são
Francisco	Francisco	NP00000	francisco
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
mesmo	mesmo	AQ0MS0	mesmo
convento	convento	NCMS000	convento
e	e	CC	e
hum	um	DI0MS0	um
delles	deles	SPS00+PP3MP000	de+ele
proferio	proferiu	VMIS3S0	proferir
algumas	algumas	DI0FP0	algum
pro-poziçoens	proposições	NCFP000	proposição
,	,	Fc	,
por	por	SPS00	por
razão	razão	NCFS000	razão
das	das	SPS00+DA0FP0	de+o
quais	quais	PR0CP000	qual
quero	quero	VMIP1S0	querer
saber	saber	VMN0000	saber
se	se	CSI	se
devo	devo	VMIP1S0	dever
de-nuncia-lo	denunciá-lo	VMN0000+PP3MSA00	denunciar+o
áo	ao	SPS00+DA0MS0	a+o
Sto	Santo	NP00000	santo
Officio	Ofício	NP00000	ofício
;	,	NP00000	ofício
as	as	DA0FP0	o
quais	quais	PR0CP000	qual
eu	eu	PP1CSN00	eu
não	não	RN	não
saberei	saberei	VMIF1S0	saber
bem	bem	RG	bem
dizer	dizer	VMN0000	dizer
ou	ou	CC	ou
explicar-me	explicar-me	VMN0000+PP1CS000	explicar+me
bem	bem	RG	bem
por	por	SPS00	por
carta	carta	NCFS000	carta
;	,	NCFS000	carta
mas	mas	CC	mas
das	das	SPS00+DA0FP0	de+o
respos-tas	respostas	NCFP000	resposta
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
dava	dava	VMII0S0	dar
se	se	P00CN000	se
poderão	poderão	VMIF3P0	poder
milhor	melhor	RC	melhor
entender	entender	VMN0000	entender
:	.	VMN0000	entender
Em	Em	SPS00	em
pri-meiro	primeiro	AO0MS0	primeiro
lugar	lugar	NCMS000	lugar
;	,	NCMS000	lugar
disse	disse	VMIS3S0	dizer
elle	ele	PP3MS000	ele
q	que	CS	que
sabia	sabia	VMII0S0	saber
de	de	SPS00	de
mtas	muitas	DI0FP0	muito
pessoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
vivi-ão	viviam	VMII3P0	viver
entregues	entregues	VMP00PM	entregar
àos	aos	SPS00+DA0MP0	a+o
peccados	pecados	NCMP000	pecado
fiando-se	fiando-se	VMG0000+P00CN000	fiar+se
em	em	SPS00	em
q	que	PR0CN000	que
	,	Fc	,
se	se	CS	se
fossem	fossem	VSSI3P0	ser
pre-destinadas	predestinadas	VMP00PF	predestinar
pra	para	SPS00	para
o	o	DA0MS0	o
ceo	Céu	NP00000	céu
,	,	Fc	,
se	se	P00CN000	se
havião	haviam	VMII3P0	haver
de	de	SPS00	de
salvar	salvar	VMN0000	salvar
;	,	VMN0000	salvar
e	e	CC	e
sobre	sobre	SPS00	sobre
isto	isto	PD0NN000	isto
não	não	RN	não
me	me	PP1CS000	me
