Snr	Senhor		
Rdo	Reverendo		
Dor	Doutor		
Anto	António		
Alveres	Álvares		
Guerra	Guerra		
	.		
A	A	SPS00	a
este	este	DD0MS0	este
nosso	nosso	DP1MSP	nosso
Convto	Convento	NP00000	convento
do	do	SPS00+DA0MS0	de+o
Carmo	Carmo	NP00000	carmo
de	de	SPS00	de
Olinda	Olinda	NP00000	olinda
veyo	veio	VMIS3S0	vir
buscar me	buscar-me	VMN0000+PP1CS000	buscar+me
Anto	António	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
Costa	Costa	NP00000	costa
Gomes	Gomes	NP00000	gomes
,	,	Fc	,
conduzido	conduzido	VMP00SM	conduzir
de	de	SPS00	de
Paulla	Paula	NP00000	paula
Rodrigues	Rodrigues	NP00000	rodrigues
,	,	Fc	,
crioula	crioula	NCFS000	crioulo
forra	forra	AQ0FS0	forro
,	,	Fc	,
cazada	casada	VMP00SF	casar
,	,	Fc	,
moradora	moradora	NCFS000	morador
em	em	SPS00	em
Beberibe	Beberibe	NP00000	beberibe
e	e	CC	e
criada	criada	NCFS000	criada
em	em	SPS00	em
caza	casa	NCFS000	casa
de	de	SPS00	de
meus	meus	DP1MPS	meu
pais	pais	NCMP000	pai
,	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
batizei	batizei	VMIS1S0	batizar
hũa	uma	DI0FS0	um
filha	filha	NCFS000	filho
,	,	Fc	,
por	por	SPS00	por
nome	nome	NCMS000	nome
Ma	Maria	NP00000	maria
da	da	SPS00+DA0FS0	de+o
ConCeisam	Conceição	NP00000	conceição
;	.	NP00000	conceição
e	E	CC	e
este	este	PD0MS000	este
foi	foi	VSIS3S0	ser
o	o	DA0MS0	o
motivo	motivo	NCMS000	motivo
de	de	SPS00	de
Recorrerem	recorrerem	VMII3P0	recorrer
a	a	SPS00	a
mim	mim	PP1CSO00	mim
a	a	SPS00	a
darem me	darem-me	VMN03P0+PP1CS000	dar+me
parte	parte	NCFS000	parte
do	do	SPS00+DA0MS0	de+o
imfelix	infeliz	AQ0CS0	infeliz
estado	estado	NCMS000	estado
em	em	SPS00	em
q	que	PR0CN000	que
estava	estava	VMII0S0	estar
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
sua	sua	DP3FS0	seu
filha	filha	NCFS000	filho
e	e	CC	e
afilhada	afilhada	NCFS000	afilhado
minha	minha	DP1FSS	meu
;	.	DP1FSS	meu
pois	Pois	CS	pois
	,	Fc	,
Reputando a	reputando-a	VMG0000+PP3FSA00	reputar+o
cazada	casada	VMP00SF	casar
com	com	SPS00	com
Mel	Manuel	NP00000	manuel
de	de	SPS00	de
Andrade	Andrade	NP00000	andrade
,	,	Fc	,
Crioulo	crioulo	NCMS000	crioulo
forro	forro	AQ0MS0	forro
e	e	CC	e
filho	filho	NCMS000	filho
das	das	SPS00+DA0FP0	de+o
Alagoas	Alagoas	NP00000	alagoas
;	,	NP00000	alagoas
agora	agora	RG	agora
	,	Fc	,
pela	pela	SPS00+DA0FS0	por+o
individual	individual	AQ0CS0	individual
imformasam	informação	NCFS000	informação
q	que	PR0CN000	que
da	dá	VMIP3S0	dar
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Anto	António	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
Costa	Costa	NP00000	costa
,	,	Fc	,
morador	morador	NCMS000	morador
tambem	também	RG	também
nas	nas	SPS00+DA0FP0	em+o
Alagoas	Alagoas	NP00000	alagoas
,	,	Fc	,
vem	vem	VMIP3S0	vir
no	no	SPS00+DA0MS0	em+o
ConheCimento	conhecimento	NCMS000	conhecimento
de	de	SPS00	de
q	que	PR0CN000	que
o	o	DA0MS0	o
estado	estado	NCMS000	estado
em	em	SPS00	em
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
sua	sua	DP3FS0	seu
filha	filha	NCFS000	filho
he	é	VSIP3S0	ser
de	de	SPS00	de
amancebia	amancebia	NCFS000	amancebia
;	,	NCFS000	amancebia
porq	porque	CS	porque
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
seu	seu	DP3MS0	seu
genrro	genro	NCMS000	genro
Mel	Manuel	NP00000	manuel
de	de	SPS00	de
Andrade	Andrade	NP00000	andrade
he	é	VSIP3S0	ser
cazado	casado	VMP00SM	casar
e	e	CC	e
tem	tem	VMIP3S0	ter
a	a	DA0FS0	o
molher	mulher	NCFS000	o
viva	viva	AQ0FS0	vivo
,	,	Fc	,
como	como	CS	como
atesta	atesta	VMIP3S0	atestar
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
Costa	Costa	NP00000	costa
como	como	CS	como
testemunha	testemunha	NCFS000	testemunha
de	de	SPS00	de
vista	vista	NCFS000	vista
