Meu	Meu	DP1MSS	meu
Sor	Senhor	NP00000	senhor
Dor	Doutor	NP00000	doutor
e	e	CC	e
mto	muito	RQ	muito
Rdo	Reverendo	AQ0MS0	reverendo
Vigro	Vigário	NP00000	vigário
	,	Fc	,
Ds	Deus	NP00000	deus
lhe	lhe	PP3CSD00	lhe
conserve	conserve	VMSP0S0	conservar
a	a	DA0FS0	o
saude	saúde	NCFS000	saúde
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
mto	muito	RQ	muito
dezejo	desejo	VMIP1S0	desejar
pa	para	SPS00	para
servir	servir	VMN0000	servir
a	a	SPS00	a
Ds	Deus	NP00000	deus
e	e	CC	e
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
a	a	SPS00	a
mim	mim	PP1CSO00	mim
o	o	DA0MS0	o
q	que	PR0CN000	que
for	for	VSSF0S0	ser
servo	serviço	NCMS000	serviço
	.	Fp	.
O	O	DA0MS0	o
Portador	portador	NCMS000	portador
deste	deste	SPS00+PD0MS000	de+este
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
q	que	CS	que
VM	VM	NP0S000	VM
mandava	mandava	VMII0S0	mandar
lhe	lhe	PP3CSD00	lhe
escrevesse	escrevesse	VMSI0S0	escrever
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
dezia	dizia	VMII0S0	dizer
	,	Fc	,
e	e	CC	e
nessa	nessa	SPS00+DD0FS0	em+esse
supozição	suposição	NCFS000	suposição
escrevi	escrevi	VMIS1S0	escrever
o	o	DA0MS0	o
q	que	PR0CN000	que
vai	vai	VMIP3S0	ir
incluzo	incluso	AQ0MSP	incluso
.	.	Fp	.
no	No	SPS00+DA0MS0	em+o
mais	mais	RC	mais
q	que	PR0CN000	que
VM	VM	NP0S000	VM
me	me	PP1CS000	me
dezia	dizia	VMII0S0	dizer
o	o	PP3MSA00	o
informasse	informasse	VMSI0S0	informar
	,	Fc	,
não	não	RN	não
achei	achei	VMIS1S0	achar
nelle	nele	SPS00+PP3MS000	em+ele
maos	maus	AQ0MP0	mau
custumes	costumes	NCMP000	costume
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
desdourem	desdourem	VMIP3P0	desdourar
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
vida	vida	NCFS000	vida
,	,	Fc	,
mas	mas	CC	mais
antes	antes	RG	antes
bem	bem	RG	bem
proçedido	procedido	VMP00SM	proceder
,	,	Fc	,
com	com	SPS00	com
hum	um	DI0MS0	um
bom	bom	AQ0MS0	bom
proçedimto	procedimento	NCMS000	procedimento
commum	comum	AQ0CS0	comum
	.	Fp	.
e	E	CC	e
enqto	enquanto	CS	enquanto
ao	ao	SPS00+DA0MS0	a+o
externo	externo	AQ0MS0	externo
	,	Fc	,
não	não	RN	não
se	se	P00CN000	se
levanta	levanta	VMIP3S0	levantar
com	com	SPS00	com
excessos	excessos	NCMP000	excesso
de	de	SPS00	de
virtudes	virtudes	NCFP000	virtude
singulares	singulares	AQ0CP0	singular
,	,	Fc	,
senão	senão	CC	senão
	,	Fc	,
como	como	CS	como
tenho	tenho	VAIP1S0	ter
dito	dito	VMP0000	dizer
	,	Fc	,
com	com	SPS00	com
hum	um	DI0MS0	um
bom	bom	AQ0MS0	bom
proceder	proceder	VMN0000	proceder
	.	Fp	.
não	Não	RN	não
tenho	tenho	VMIP1S0	ter
mais	mais	RC	mais
de	de	SPS00	de
q	que	PR0CN000	que
o	o	PP3MSA00	o
fazer	fazer	VMN0000	fazer
sabedor	sabedor	NCMS000	sabedor
	.	Fp	.
a	A	SPS00	a
Ds	Deus	NP00000	deus
	,	Fc	,
q	que	CS	que
o	o	PP3MSA00	o
gde	guarde	VMSP0S0	guardar
como	como	CS	como
deza	deseja	VMIP3S0	desejar
	.	Fp	.
em	Em	SPS00	em
Va	Vila	NP00000	vila
Boa	Boa	NP00000	boa
de	de	SPS00	de
Carcão	Carcão	NP00000	carcão
	,	Fc	,
hoje	hoje	RG	hoje
	,	Fc	,
de	de	SPS00	de
Fevro	fevereiro	NCMS000	fevereiro
.	,	Fc	,
20.	20.	Z	20
de	de	SPS00	de
1712	1712	Z	1712
a	anno	Z	1712
d	domini	Z	1712
.	.	Fp	.
Servidor	Servidor	NCMS000	servidor
e	e	CC	e
Capto	cativo	NCMS000	cativo
de	de	SPS00	de
VM	VM	NP0S000	VM
	,	Fc	,
o	o	DA0MS0	o
Pe	Padre	NP00000	padre
Franco	Francisco	NP00000	francisco
Roiz	Rodrigues	NP00000	rodrigues
