Illmo	Ilustríssimo		
e	e		
Exmo	Excelentíssimo		
Snr	Senhor		
D	Dom		
João	João		
de	de		
Almeida	Almeida		
	.		
Tomo	Tomo	VMIP1S0	tomar
a	a	DA0FS0	o
liberdade	liberdade	NCFS000	o
de	de	SPS00	de
por	pôr	VMN0000	pôr
na	na	SPS00+DA0FS0	em+o
prezensa	presença	NCFS000	presença
de	de	SPS00	de
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
o	o	DA0MS0	o
motivo	motivo	NCMS000	motivo
que	que	PR0CN000	que
me	me	PP1CS000	me
obriga	obriga	VMIP3S0	obrigar
de	de	SPS00	de
tomar	tomar	VMN0000	tomar
a	a	DA0FS0	o
comfiansa	confiança	NCFS000	o
de	de	SPS00	de
escrever	escrever	VMN0000	escrever
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
.	.	Fp	.
O	O	DA0MS0	o
Exmo	Excelentíssimo	AQSMS0	excelente
Snr	Senhor	NP00000	senhor
Dom	Dom	NP00000	dom
Dio-go	Diogo	NP00000	diogo
Angeiga	Angeja	NP00000	angeja
me	me	PP1CS000	me
animou	animou	VMIS3S0	animar
a	a	SPS00	a
tomar	tomar	VMN0000	tomar
esta	esta	DD0FS0	este
ouzadia	ousadia	NCFS000	este
para	para	SPS00	para
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
meio	meio	NCMS000	meio
de	de	SPS00	de
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
	,	Fc	,
poder	poder	VMN0000	poder
haver	haver	VMN0000	haver
hum	um	DI0MS0	um
pro-tetor	protetor	NCMS000	protetor
para	para	SPS00	para
poder	poder	VMN0000	poder
proteger	proteger	VMN0000	proteger
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
cauza	causa	NCFS000	causa
	,	Fc	,
a	a	SPS00	a
qual	qual	PR0CS000	qual
he	é	VSIP3S0	ser
que	que	CS	que
	,	Fc	,
tendo	tendo	VMG0000	ter
eu	eu	PP1CSN00	eu
e	e	CC	e
minha	minha	DP1FSS	meu
molher	mulher	NCFS000	mulher
dado	dado	VMP0000	dar
a	a	SPS00	a
Mon-sieur	Monsieur	NP00000	monsieur
Labord	Laborde	NP00000	laborde
	,	Fc	,
Banqueiro	banqueiro	NCMS000	banqueiro
em	em	SPS00	em
Paris	Paris	NP00000	paris
	,	Fc	,
o	o	DA0MS0	o
meo	meu	DP1MSS	meu
dinheiro	dinheiro	NCMS000	dinheiro
com	com	SPS00	com
o	o	DA0MS0	o
Juro	juro	NCMS000	juro
de	de	SPS00	de
sinco	cinco	Z	cinco
por	por	SPS00	por
cento	cento	NCMS000	cento
por	por	SPS00	por
anno	ano	NCMS000	ano
	,	Fc	,
e	e	CC	e
tendo	tendo	VMG0000	ter
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
Labord	Laborde	NP00000	laborde
a	a	SPS00	a
sette	sete	Z	sete
pa	para	SPS00	para
outo	oito	Z	oito
annos	anos	NCMP000	ano
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
dinheiro	dinheiro	NCMS000	dinheiro
	,	Fc	,
sem	sem	SPS00	sem
eu	eu	PP1CSN00	eu
delle	dele	SPS00+PP3MS000	de+ele
ter	ter	VAN0000	ter
recebido	recebido	VMP0000	receber
hum	um	DI0MS0	um
só	só	RF	só
real	real	NCMS000	real
,	,	Fc	,
