M	Muito	RQ	muito
Rdo	Reverendo	AQ0MS0	reverendo
e	e	CC	e
Snr	Senhor	NP00000	senhor
Frco	Francisco	NP00000	francisco
Gião	Gião	NP00000	gião
Meu	Meu	DP1MSS	meu
aMo	Amigo	NP00000	amigo
e	e	CC	e
snr	Senhor	NP00000	senhor
	,	Fc	,
cudado	cuidado	NCMS000	cuidado
me	me	PP1CS000	me
tem	tem	VAIP3S0	ter
dado	dado	VMP0000	dar
o	o	DA0MS0	o
não	não	RN	não
ter	ter	VMN0000	ter
tido	tido	VMP0000	ter
Novas	novas	NCFP000	nova
suas	suas	DP3FP0	seu
ha	há	VMIP3S0	haver
tanto	tanto	DI0MS0	tanto
tenpo	tempo	NCMS000	tempo
,	.	Fp	.
estimarey	Estimarei	VMIF1S0	estimar
q	que	CS	que
não	não	RN	não
seija	seja	VSSP0S0	ser
por	por	SPS00	por
falta	falta	NCFS000	falta
de	de	SPS00	de
saude	saúde	NCFS000	saúde
	.	Fp	.
q	Que	CS	que
esta	esta	PD0FS000	este
lhe	lhe	PP3CSD00	lhe
contenue	continue	VMSP0S0	continuar
o	o	DA0MS0	o
snr	Senhor	NP00000	senhor
por	por	SPS00	por
largos	largos	AQ0MP0	largo
annos	anos	NCMP000	ano
pa	para	SPS00	para
q	que	CS	que
disponha	disponha	VMSP0S0	dispor
da	da	SPS00+DA0FS0	de+o
q	que	PR0CN000	que
me	me	PP1CS000	me
asiste	assiste	VMIP3S0	assistir
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
boa	boa	AQ0FS0	bom
	,	Fc	,
a	a	SPS00	a
Ds	Deus	NP00000	deus
grasas	graças	NCFP000	graça
	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
recomende	recomende	VMSP0S0	recomendar
a	à	SPS00+DA0FS0	a+o
snra	Senhora	NP00000	senhor
Tia	Tia	NP00000	tia
	.	Fp	.
e	E	CC	e
q	que	CS	que
estimarey	estimarei	VMIF1S0	estimar
q	que	CS	que
pase	passe	VMSP0S0	passar
milhor	melhor	RC	melhor
das	das	SPS00+DA0FP0	de+o
suas	suas	DP3FP0	seu
queyxas	queixas	NCFP000	queixa
.	.	Fp	.
Sayba	Saiba	VMSP0S0	saber
Vmce	VM	NP00000	VM
de	de	SPS00	de
Mel	Manuel	NP00000	manuel
pereyra	Pereira	NP00000	pereira
se	se	CSI	se
aquele	aquele	DD0MS0	aquele
homem	homem	NCMS000	homem
por	por	SPS00	por
nome	nome	NCMS000	nome
Anto	António	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
se	se	P00CN000	se
cazou	casou	VMIS3S0	casar
,	.	Fp	.
e	E	CC	e
no	no	SPS00+DA0MS0	em+o
cazo	caso	NCMS000	caso
