J	Jesus	NP00000	jesus
M	Maria	NP00000	maria
J	José	NP00000	josé
Asistam	assistam	VMIS3P0	assistir
a	a	SPS00	a
meo	meu	DP1MSS	meu
paizinho	paizinho	NCMS00D	pai
com	com	SPS00	com
toda	toda	DI0FS0	todo
sua	sua	DP3FS0	seu
D	divina	AQ0FS0	divino
grasa	graça	NCFS000	graça
.	.	Fp	.
pareselhe	Parece-lhe	VMIP3S0+PP3CSD00	parecer+lhe
a	a	DA0FS0	o
fenes	Fénix	NP00000	fénix
q	que	PR0CN000	que
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
ponba	pomba	NCFS000	pomba
foi	foi	VSIS3S0	ser
pa	para	SPS00	para
ella	ela	PP3FS000	ele
o	o	DA0MS0	o
seo	seu	DP3MS0	seu
jaco	Jacob	NP00000	jacob
dia	dia	NCMS000	dia
de	de	SPS00	de
nosa	Nossa	DP1FSP	nosso
snar	Senhora	NP00000	senhor
da	da	SPS00+DA0FS0	de+o
emcarnacão	Encarnação	NP00000	encarnação
.	.	Fp	.
repare	Repare	VMSP0S0	reparar
meo	meu	DP1MSS	meu
pai	pai	NCMS000	pai
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dis	diz	VMIP3S0	dizer
fenes	Fénix	NP00000	fénix
.	.	Fp	.
qdo	Quando	CS	quando
fenes	Fénix	NP00000	fénix
estava	estava	VMII0S0	estar
ouvindo	ouvindo	VMG0000	ouvir
aquelas	aquelas	DD0FP0	aquele
Stas	santas	AQ0FP0	santo
doutrinas	doutrinas	NCFP000	doutrina
q	que	PR0CN000	que
o	o	DA0MS0	o
espirito	espírito	NCMS000	espírito
da	da	SPS00+DA0FS0	de+o
ponba	pomba	NCFS000	pomba
lhe	lhe	PP3CSD00	lhe
dizia	dizia	VMII0S0	dizer
,	,	Fc	,
sentia	sentia	VMIS3S0	sentir
entrava	entrava	VMII0S0	entrar
em	em	SPS00	em
sua	sua	DP3FS0	seu
alma	alma	NCFS000	alma
hũa	uma	DI0FS0	um
grasa	graça	NCFS000	graça
q	que	PR0CN000	que
a	a	PP3FSA00	o
traiia	traía	VMII0S0	trair
toda	toda	PI0FS000	todo
a	a	SPS00	a
Des	Deus	NP00000	deus
.	.	Fp	.
e	E	CC	e
ficou	ficou	VMIS3S0	ficar
como	como	CS	como
em	em	SPS00	em
hũ	um	DI0MS0	um
saboroso	saboroso	AQ0MS0	saboroso
sono	sono	NCMS000	sono
,	,	Fc	,
como	como	SPS00	como
desacordada	desacordada	VMP00SF	desacordar
de	de	SPS00	de
si	si	PP3CNO00	si
mesma	mesma	AQ0FS0	mesmo
.	.	Fp	.
mas	Mas	CC	mas
sentia	sentia	VMIS3S0	sentir
em	em	SPS00	em
aquela	aquela	DD0FS0	aquele
madorna	madorna	NCFS000	madorna
em	em	SPS00	em
q	que	PR0CN000	que
estava	estava	VMII0S0	estar
hũ	um	DI0MS0	um
fino	fino	AQ0MS0	fino
desejo	desejo	NCMS000	desejo
de	de	SPS00	de
estar	estar	VMN0000	estar
mto	muito	RQ	muito
enfeitada	enfeitada	VMP00SF	enfeitar
pa	para	SPS00	para
apareser	aparecer	VMN0000	aparecer
ao	ao	SPS00+DA0MS0	a+o
D	divino	AQ0MS0	divino
esposo	esposo	NCMS000	esposo
Des	Deus	NP00000	deus
pe	Padre	NP00000	padre
,	,	Fc	,
q	que	CS	que
dele	dele	SPS00+PP3MS000	de+ele
queria	queria	VMII0S0	querer
comceber	conceber	VMN0000	conceber
o	o	DA0MS0	o
fo	filho	NCMS000	filho
forei	forei	X	X
o	o	DA0MS0	o
genio	génio	NCMS000	génio
.	.	Fp	.
mas	Mas	CC	mas
sentiase	sentia-se	VMII0S0+P00CN000	sentir+se
mto	muito	RQ	muito
funda	funda	AQ0FS0	funda
e	e	CC	e
Deconsentrada	desconcentrada	VMP00SF	desconcentrar
no	no	SPS00+DA0MS0	em+o
sono	sono	NCMS000	sono
,	,	Fc	,
q	que	CS	que
dis	diz	VMIP3S0	dizer
q	que	CS	que
nem	nem	RN	nem
podia	podia	VMII0S0	poder
falar	falar	VMN0000	falar
aos	aos	SPS00+DA0MP0	a+o
santos	santos	NCMP000	santo
do	do	SPS00+DA0MS0	de+o
seo	céu	NCMS000	céu
pa	para	SPS00	para
a	a	PP3FSA00	o
ornarem	ornarem	VMN03P0	ornar
.	.	Fp	.
sentia	Sentia	VMII0S0	sentir
chegava	chegava	VMII0S0	chegar
a	a	SPS00	a
elle	ele	PP3MS000	ele
aquela	aquela	DD0FS0	aquele
D	divina	AQ0FS0	divino
lus	luz	NCFS000	luz
da	da	SPS00+DA0FS0	de+o
mai	mãe	NCFS000	mãe
amavel	amável	AQ0CS0	amável
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
dezia	dizia	VMII0S0	dizer
:	:	Fd	:
«	«	Fra	«
hoje	Hoje	RG	hoje
he	é	VSIP3S0	ser
o	o	DA0MS0	o
dia	dia	NCMS000	dia
en	em	SPS00	em
q	que	PR0CN000	que
estive	estive	VMIS1S0	estar
mto	muito	RQ	muito
enfeitada	enfeitada	VMP00SF	enfeitar
pa	para	SPS00	para
o	o	DA0MS0	o
D	divino	AQ0MS0	divino
esposo	esposo	NCMS000	esposo
.	.	Fp	.
eu	Eu	PP1CSN00	eu
te	te	PP2CS000	te
quero	quero	VMIP1S0	querer
ornar	ornar	VMN0000	ornar
com	com	SPS00	com
meos	meus	DP1MPS	meu
emfeites	enfeites	NCMP000	enfeite
»	»	Frt	»
.	.	Fp	.
sentia	Sentia	VMII0S0	sentir
fenes	Fénix	NP00000	fénix
despertava	despertava	VMII0S0	despertar
seo	seu	DP3MS0	seu
espirito	espírito	NCMS000	espírito
com	com	SPS00	com
hũa	uma	DI0FS0	um
D	divina	AQ0FS0	divino
grasa	graça	NCFS000	graça
q	que	PR0CN000	que
recebia	recebia	VMII0S0	receber
desta	desta	SPS00+DD0FS0	de+este
D	divina	AQ0FS0	divino
mai	mãe	NCFS000	mãe
e	e	CC	e
ficava	ficava	VMII0S0	ficar
toda	toda	DI0FS0	todo
amor	amor	NCMS000	amor
.	.	Fp	.
e	E	CC	e
não	não	RN	não
pode	pode	VMIP3S0	poder
preceber	perceber	VMN0000	perceber
o	o	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
sentia	sentia	VMII0S0	sentir
em	em	SPS00	em
sua	sua	DP3FS0	seu
alma	alma	NCFS000	alma
.	.	Fp	.
dis	Diz	VMIP3S0	dizer
q	que	CS	que
ficou	ficou	VMIS3S0	ficar
toda	toda	DI0FS0	todo
metida	metida	VMP00SF	meter
em	em	SPS00	em
Des	Deus	NP00000	deus
e	e	CC	e
asim	assim	RG	assim
foi	foi	VMIS3S0	ir
comungar	comungar	VMN0000	comungar
e	e	CC	e
teve	teve	VMIS3S0	ter
com	com	SPS00	com
o	o	DA0MS0	o
D	divino	AQ0MS0	divino
esposo	esposo	NCMS000	esposo
seo	seu	DP3MS0	seu
materimonio	matrimónio	NCMS000	matrimónio
,	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
ficou	ficou	VMIS3S0	ficar
sastifeita	satisfeita	VMP00SF	satisfazer
concebendo	concebendo	VMG0000	conceber
