Aos	Aos	SPS00+DA0MP0	a+o
dezaseis	dezasseis	Z	dezasseis
dias	dias	NCMP000	dia
do	do	SPS00+DA0MS0	de+o
mes	mês	NCMS000	mês
de	de	SPS00	de
novenbor	novembro	NCMS000	novembro
	,	Fc	,
veio	veio	VMIS3S0	vir
manoel	Manuel	NP00000	manuel
gonsalvez	Gonçalves	NP00000	gonçalves
	,	Fc	,
morador	morador	NCMS000	morador
na	na	SPS00+DA0FS0	em+o
erdade	herdade	NCFS000	herdade
do	do	SPS00+DA0MS0	de+o
carvalha	Carvalha	NP00000	carvalha
	,	Fc	,
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
barba	barba	NCFS000	barba
	.	Fp	.
preguntando lhe	Perguntando-lhe	VMG0000+PP3CSD00	perguntar+lhe
pela	pela	SPS00+DA0FS0	por+o
symentera	sementeira	NCFS000	sementeira
	,	Fc	,
dyse	disse	VMIS3S0	dizer
samiava	semeava	VMII0S0	semear
fynlhos	filhos	NCMP000	filho
	.	Fp	.
e	E	CC	e
	,	Fc	,
dizendo lhe	dizendo-lhe	VMG0000+PP3CSD00	dizer+lhe
q	que	CS	que
mtas	muitas	DI0FP0	muito
pesoas	pessoas	NCFP000	pessoa
averam	houveram	VMIS3P0	haver
pedir	pedir	VMN0000	pedir
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
samiase	semeasse	VMSI0S0	semear
	,	Fc	,
ele	ele	PP3MS000	ele
dise	disse	VMIS3S0	dizer
q	que	CS	que
mtas	muitas	DI0FP0	muito
o	o	DA0MS0	o
ano	ano	NCMS000	ano
pasado	passado	VMP00SM	passar
samiara na	semearam-na	VMIS3P0+PP3FSA00	semear+o
mas	mas	CC	mas
não	não	RN	não
se	se	P00CN000	se
agabariam	gabariam	VMIC3P0	gabar
de	de	SPS00	de
outra	outra	PI0FS000	outro
	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
dise	disse	VMIS3S0	dizer
q	que	CS	que
saria	seria	VSIC0S0	ser
pelo	pelo	SPS00+DA0MS0	por+o
amor	amor	NCMS000	amor
de	de	SPS00	de
deos	Deus	NP00000	deus
	.	Fp	.
ele	Ele	PP3MS000	ele
dise	disse	VMIS3S0	dizer
q	que	CS	que
levase	levasse	VMSI0S0	levar
diabo	diabo	NCMS000	diabo
tamto	tanto	CC	tanto
amor	amor	NCMS000	amor
de	de	SPS00	de
deos	Deus	NP00000	deus
	.	Fp	.
este	Este	DD0MS0	este
cazo	caso	NCMS000	caso
asosedeo	sucedeu	VMIS3S0	suceder
avera	haverá	VMIF3S0	haver
des	dez	Z	dez
anos	anos	NCMP000	ano
e	e	CC	e
	,	Fc	,
por	por	SPS00	por
não	não	RN	não
sabre	saber	VMN0000	saber
	,	Fc	,
comfesyme	confessei-me	VMIS1S0+PP1CS000	confessar+me
	.	Fp	.
dyse	Disse	VMIS3S0	dizer
comfesor	confessor	NCMS000	confessor
q	que	CS	que
estava	estava	VMII0S0	estar
brigado	obrigado	VMP00SM	obrigar
a	a	SPS00	a
fazelo	fazê-lo	VMN0000+PP3MSA00	fazer+o
a	a	SPS00	a
sabre	saber	VMN0000	saber
hum	um	DI0MS0	um
Comisario	comissário	NCMS000	comissário
do	do	SPS00+DA0MS0	de+o
santo	Santo	NP00000	santo
ofisyo	Ofício	NP00000	ofício
	.	Fp	.
joão	João	NP00000	joão
pra	Pereira	NP00000	pereira
