Meu	Meu	DP1MSS	meu
amor	amor	NCMS000	amor
	.	Fp	.
tenho	Tenho	VAIP1S0	ter
acabado	acabado	VMP0000	acabar
de	de	SPS00	de
conheser	conhecer	VMN0000	conhecer
q	que	CS	que
a	a	SPS00	a
nada	nada	PI0NN00N	nada
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
escrevo	escrevo	VMIP1S0	escrever
me	me	PP1CS000	me
responde	responde	VMIP3S0	responder
em	em	SPS00	em
tremos	termos	NCMP000	termo
	,	Fc	,
pois	pois	CS	pois
so	só	RG	só
me	me	PP1CS000	me
responde	responde	VMIP3S0	responder
a	a	SPS00	a
menos	menos	RC	menos
e	e	CC	e
não	não	RN	não
a	a	SPS00	a
mais	mais	RC	mais
	.	Fp	.
o	O	DA0MS0	o
eu	eu	PP1CSN00	eu
dizer	dizer	VMN0000	dizer
pasar	passar	VMN0000	passar
tempo	tempo	NCMS000	tempo
não	não	RN	não
he	é	VSIP3S0	ser
no	no	SPS00+DA0MS0	em+o
semtido	sentido	NCMS000	sentido
q	que	PR0CN000	que
vm	VM	NP00000	VM
imedagina	imagina	VMIP3S0	imaginar
	,	Fc	,
pois	pois	CS	pois
bem	bem	RG	bem
sei	sei	VMIP1S0	saber
se	se	P00CN000	se
não	não	RN	não
fazem	fazem	VMIP3P0	fazer
as	as	DA0FP0	o
couzas	coisas	NCFP000	coisa
logo	logo	RG	logo
	,	Fc	,
mas	mas	CC	mais
nada	nada	PI0NN00N	nada
se	se	P00CN000	se
fas	faz	VMIP3S0	fazer
sem	sem	SPS00	sem
se	se	P00CN000	se
falar	falar	VMN0000	falar
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
o	o	DA0MS0	o
eu	eu	PP1CSN00	eu
mandar	mandar	VMN0000	mandar
dizer	dizer	VMN0000	dizer
hiso	isso	PD0NN000	isso
não	não	RN	não
he	é	VSIP3S0	ser
dizer	dizer	VMN0000	dizer
não	não	RN	não
quero	quero	VMIP1S0	querer
nem	nem	CCN	nem
proq	porque	CS	porque
tenha	tenha	VMSP0S0	ter
outro	outro	PI0MS000	outro
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
couza	coisa	NCFS000	coisa
q	que	PR0CN000	que
não	não	RN	não
me	me	PP1CS000	me
lembra	lembra	VMIP3S0	lembrar
	,	Fc	,
mas	mas	CC	mais
sim	sim	RG	sim
proq	porque	CS	porque
quero	quero	VMIP1S0	querer
de	de	SPS00	de
vm	VM	NP00000	VM
o	o	DA0MS0	o
ultimo	último	AO0MS0	último
dezemgano	desengano	NCMS000	desengano
	,	Fc	,
porq	porque	CS	porque
sou	sou	VSIP1S0	ser
mto	muito	RQ	muito
desscomfiada	desconfiada	VMP00SF	desconfiar
e	e	CC	e
queria	queria	VMII0S0	querer
a	a	DA0FS0	o
resposta	resposta	NCFS000	resposta
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
mandava	mandava	VMII0S0	mandar
dizer	dizer	VMN0000	dizer
	.	Fp	.
nada	Nada	PI0NN00N	nada
me	me	PP1CS000	me
responde	responde	VMIP3S0	responder
senão	senão	CC	senão
hum	um	DI0MS0	um
destempero	destempero	NCMS000	destempero
q	que	CS	que
eu	eu	PP1CSN00	eu
não	não	RN	não
tenho	tenho	VMIP1S0	ter
mto	muito	RQ	muito
presa	pressa	NCFS000	pressa
	,	Fc	,
q	que	CS	que
ainda	ainda	RG	ainda
não	não	RN	não
se	se	P00CN000	se
me	me	PP1CS000	me
prede	perde	VMIP3S0	perder
tempo	tempo	NCMS000	tempo
	,	Fc	,
mas	mas	CC	mais
sim	sim	RG	sim
proq	porque	CS	porque
queria	queria	VMII0S0	querer
viver	viver	VMN0000	viver
nesa	nessa	SPS00+DD0FS0	em+esse
serteza	certeza	NCFS000	certeza
	.	Fp	.
e	E	CC	e
qm	quem	PR0CN000	quem
quer	quer	VMIP3S0	querer
bem	bem	RG	bem
sempre	sempre	RG	sempre
descomfia	desconfia	VMIP3S0	desconfiar
	.	Fp	.
mas	Mas	CC	mas
poco	pouco	RQ	pouco
amor	amor	NCMS000	amor
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
qm	quem	PR0CN000	quem
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
dizer	dizer	VMN0000	dizer
q	que	CS	que
fasa	faça	VMSP0S0	fazer
comta	conta	NCFS000	conta
q	que	CS	que
nuca	nunca	RN	nunca
nos	nos	PP1CP000	nos
vimos	vimos	VMIS1P0	ver
	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
tal	tal	PD0CS000	tal
não	não	RN	não
farei	farei	VMIF1S0	fazer
	!	Fa	!
mas	Mas	CC	mas
vm	VM	NP00000	VM
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
uza	usa	VMIP3S0	usar
asim	assim	RG	assim
	,	Fc	,
cuda	cuida	VMIP3S0	cuidar
so	só	RG	só
lhe	lhe	PP3CSD00	lhe
poso	posso	VMIP1S0	poder
dizer	dizer	VMN0000	dizer
que	que	CS	que
vm	VM	NP00000	VM
	,	Fc	,
seu	seu	DP3MS0	seu
gosto	gosto	NCMS000	gosto
	,	Fc	,
he	é	VSIP3S0	ser
darme	dar-me	VMN0000+PP1CS000	dar+me
que	que	PR0CN000	que
sentir	sentir	VMN0000	sentir
faza	faça	VMSP0S0	fazer
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
gosto	gosto	NCMS000	gosto
	.	Fp	.
si	Se	CS	se
he	é	VSIP3S0	ser
heze	esse	PD0MS000	esse
	,	Fc	,
saba	saiba	VMSP0S0	saber
q	que	CS	que
sempre	sempre	RG	sempre
he	hei	VMIP1S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
	,	Fc	,
que	que	CS	que
so	só	RG	só
ahora	agora	RG	agora
pero	espero	VMIP1S0	esperar
pela	pela	SPS00+DA0FS0	por+o
sua	sua	DP3FS0	seu
resposta	resposta	NCFS000	resposta
me	me	PP1CS000	me
de	dê	VMSP0S0	dar
mais	mais	RC	mais
que	que	CS	que
sentir	sentir	VMN0000	sentir
	.	Fp	.
desta	Desta	SPS00+PD0FS000	de+este
q	que	PR0CN000	que
he	é	VSIP3S0	ser
so	só	RG	só
sua	sua	DP3FS0	seu
	,	Fc	,
frime	firme	AQ0CS0	firme
ete	até	SPS00	até
a	à	SPS00+DA0FS0	a+o
morte	morte	NCFS000	morte
	.	Fp	.
não	Não	RN	não
tenho	tenho	VMIP1S0	ter
mais	mais	RC	mais
que	que	PR0CN000	que
dizer	dizer	VMN0000	dizer
senão	senão	CC	senão
q	que	CS	que
me	me	PP1CS000	me
nao	não	RN	não
me	me	PP1CS000	me
dexe	deixe	VMSP0S0	deixar
de	de	SPS00	de
ver	ver	VMN0000	ver
	.	Fp	.
