Ss	Santíssima	NP00000	santo
Ma	Maria	NP00000	maria
Minha	Minha	DP1FSS	meu
mto	muito	RG	muito
amada	amada	VMP00SF	amar
Filha	filha	NCFS000	filho
,	,	Fc	,
eu	eu	PP1CSN00	eu
não	não	RN	não
sei	sei	VMIP1S0	saber
com	com	SPS00	com
que	que	PR0CN000	que
rezão	razão	NCFS000	razão
te	te	PP2CS000	te
podes	podes	VMIP2S0	poder
queixar	queixar	VMN0000	queixar
de	de	SPS00	de
mim	mim	PP1CSO00	mim
,	,	Fc	,
de	de	SPS00	de
te	te	PP2CS000	te
não	não	RN	não
escrever	escrever	VMN0000	escrever
	,	Fc	,
quando	quando	CS	quando
eu	eu	PP1CSN00	eu
parese	parece	VMIP3S0	parecer
te	te	PP2CS000	te
não	não	RN	não
tenho	tenho	VAIP1S0	ter
faltado	faltado	VMP0000	faltar
,	.	Fp	.
e	E	CC	e
se	se	CS	se
algũa	alguma	DI0FS0	algum
ves	vez	NCFS000	vez
falto	falto	VMIP1S0	faltar
he	é	VSIP3S0	ser
ou	ou	CC	ou
porq	porque	CS	porque
estou	estou	VMIP1S0	estar
fora	fora	RG	fora
,	,	Fc	,
a	a	SPS00	a
pregar	pregar	VMN0000	pregar
,	,	Fc	,
ou	ou	CC	ou
tenho	tenho	VMIP1S0	ter
que	que	CS	que
estudar	estudar	VMN0000	estudar
,	,	Fc	,
q	que	CS	que
emte	até	SPS00	até
gora	agora	RG	agora
não	não	RN	não
o	o	PP3MSA00	o
deixei	deixei	VMIS1S0	deixar
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
por	por	SPS00	por
falta	falta	NCFS000	falta
de	de	SPS00	de
saude	saúde	NCFS000	saúde
,	,	Fc	,
seja	seja	VSSP0S0	ser
Ds	Deus	NP00000	deus
louvado	louvado	VMP00SM	louvar
,	,	Fc	,
q	que	CS	que
tanto	tanto	RC	tanto
com	com	SPS00	com
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
tem	tem	VAIP3S0	ter
asistido	assistido	VMP0000	assistir
,	.	Fp	.
e	E	CC	e
agora	agora	RG	agora
com	com	SPS00	com
ella	ela	PP3FS000	ele
fico	fico	VMIP1S0	ficar
pa	para	SPS00	para
	,	Fc	,
como	como	SPS00	como
Pai	pai	NCMS000	pai
	,	Fc	,
te	te	PP2CS000	te
fazer	fazer	VMN0000	fazer
o	o	DA0MS0	o
gosto	gosto	NCMS000	gosto
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
for	for	VMSF0S0	ir
de	de	SPS00	de
tua	tua	DP2FSS	teu
concolação	consolação	NCFS000	consolação
:	.	Fp	.
eu	Eu	PP1CSN00	eu
a	a	PP3FSA00	o
tive	tive	VMIS1S0	ter
grande	grande	AQ0CS0	grande
de	de	SPS00	de
fallares	falares	VMN02S0	falar
na	na	SPS00+DA0FS0	em+o
materia	matéria	NCFS000	matéria
,	,	Fc	,
com	com	SPS00	com
dezafogo	desafogo	NCMS000	com
,	,	Fc	,
q	que	CS	que
só	só	RG	só
assim	assim	RG	assim
mostras	mostras	NCFP000	mostra
q	que	PR0CN000	que
hes	és	VSIP2S0	ser
filha	filha	NCFS000	filho
,	,	Fc	,
tambem	também	RG	também
como	como	CS	como
a	a	SPS00	a
Marga	Margarida	NP00000	margarida
q	que	CS	que
so	só	RG	só
tu	tu	PP2CSN00	tu
e	e	CC	e
ella	ela	PP3FS000	ele
tens	tens	VMIP2S0	ter
essa	essa	DD0FS0	esse
licenca	licença	NCFS000	licença
como	como	SPS00	como
filhas	filhas	NCFP000	filho
q	que	CS	que
	,	Fc	,
com	com	SPS00	com
as	as	DA0FP0	o
outras	outras	DI0FP0	outro
,	,	Fc	,
nem	nem	CC	nem
hũa	uma	DI0FS0	um
palavra	palavra	NCFS000	palavra
fallo	falo	VMIP1S0	falar
em	em	SPS00	em
tal	tal	RC	tal
materia	matéria	NCFS000	matéria
,	.	Fp	.
e	E	CC	e
só	só	RG	só
te	te	PP2CS000	te
digo	digo	VMIP1S0	dizer
q	que	CS	que
a	a	DA0FS0	o
tua	tua	DP2FSS	teu
cabeca	cabeça	NCFS000	cabeça
se	se	CS	se
há	há	VMIP3S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
temperando	temperando	NCMS000	temperando
das	das	SPS00+DA0FP0	de+o
dores	dores	NCFP000	dor
q	que	PR0CN000	que
Ds	Deus	NP00000	deus
asim	assim	RG	assim
mo	mo	PP1CS000+PP3MSA00	me+o
tem	tem	VMIP3S0	ter
mostrado	mostrado	VMP0000	mostrar
pa	para	SPS00	para
com	com	SPS00	com
a	a	DA0FS0	o
Mga	Margarida	NP00000	margarida
em	em	SPS00	em
que	que	PR0CN000	que
te	te	PP2CS000	te
falei	falei	VMIS1S0	falar
largamte	largamente	RG	largamente
;	,	Fc	,
pois	pois	CS	pois
so	só	RG	só
ella	ela	PP3FS000	ele
e	e	CC	e
tu	tu	PP2CSN00	tu
tomastes	tomastes	VMIS2P0	tomar
as	as	DA0MS0	o
couzas	coisas	NCFP000	coisa
q	que	PR0CN000	que
ainda	ainda	RG	ainda
estão	estão	VMIP3P0	estar
como	como	CS	como
vierão	vieram	VMIS3P0	vir
,	,	Fc	,
e	e	CC	e
hão	hão	VMIP3P0	haver
de	de	SPS00	de
estar	estar	VMN0000	estar
,	.	Fp	.
e	E	CC	e
não	não	RN	não
dizistas	desistas	VMSP2S0	desistir
do	do	SPS00+DA0MS0	de+o
caminho	caminho	NCMS000	caminho
da	da	SPS00+DA0FS0	de+o
oba	obediência	NCFS000	obediência
por	por	SPS00	por
mais	mais	RC	mais
q	que	CS	que
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
moso	moço	NCMS000	moço
cuide	cuide	VMSP0S0	cuidar
em	em	SPS00	em
to	to	PP2CS000+PP3MSA00	te+o
tirar	tirar	VMN0000	tirar
	.	Fp	.
e	E	CC	e
te	te	PP2CS000	te
mando	mando	VMIP1S0	mandar
continues	continues	VMSP2S0	continuar
nos	nos	SPS00+DA0MP0	em+o
teus	teus	DP2MPS	teu
exercicios	exercícios	NCMP000	exercício
como	como	CS	como
emte	até	SPS00	até
gora	agora	RG	agora
	,	Fc	,
vão se	vão-se	VMIP3P0+P00CN000	ir+se
pondo	pondo	VMG0000	pôr
diante	diante	RG	diante
qualquer	qualquer	DI0CS0	qualquer
embaraço	embaraço	NCMS000	embaraço
	,	Fc	,
asim	assim	RG	assim
pa	para	SPS00	para
me	me	PP1CS000	me
dizeres	dizeres	VMN02S0	dizer
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
pasas	passas	VMIP2S0	passar
como	como	CS	como
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
mais	mais	NCMS000	mais
,	,	Fc	,
q	que	CS	que
asim	assim	RG	assim
o	o	DA0MS0	o
q	que	PR0CN000	que
ver	ver	VMN0000	ver
Ds	Deus	NP00000	deus
a	a	SPS00	a
quem	quem	PR0CN000	quem
vive	vive	VMIP3S0	viver
debaixo	debaixo	RG	debaixo
da	da	SPS00+DA0FS0	de+o
oba	obediência	NCFS000	obediência
	.	Fp	.
tambem	Também	RG	também
sinto	sinto	VMIP1S0	sentir
a	a	DA0FS0	o
morte	morte	NCFS000	morte
da	da	SPS00+DA0FS0	de+o
mosa	moça	NCFS000	moça
pella	pela	SPS00+DA0FS0	por+o
falta	falta	NCFS000	falta
q	que	PR0CN000	que
fas	faz	VMIP3S0	fazer
,	,	Fc	,
mas	mas	CC	mais
como	como	CS	como
he	é	VSIP3S0	ser
vontade	vontade	NCFS000	vontade
de	de	SPS00	de
Ds	Deus	NP00000	deus
não	não	RN	não
temos	temos	VMIP1P0	ter
senão	senão	CC	senão
conformarnos	conformar-nos	VMN0000+PP1CP000	conformar+nos
com	com	SPS00	com
ella	ela	PP3FS000	ele
q	que	CS	que
eu	eu	PP1CSN00	eu
asim	assim	RG	assim
o	o	PP3MSA00	o
faco	faço	VMIP1S0	fazer
da	da	SPS00+DA0FS0	de+o
morte	morte	NCFS000	morte
de	de	SPS00	de
meu	meu	DP1MSS	meu
Pai	pai	NCMS000	pai
,	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
o	o	PP3MSA00	o
tenho	tenho	VMIP1S0	ter
mandado	mandado	VMP0000	mandar
dizer	dizer	VMN0000	dizer
a	à	SPS00+DA0FS0	a+o
minha	minha	DP1FSS	meu
gente	gente	NCFS000	gente
,	,	Fc	,
q	que	CS	que
tive	tive	VMIS1S0	ter
novas	novas	NCFP000	nova
q	que	PR0CN000	que
andão	andam	VMIP3P0	andar
de	de	SPS00	de
saude	saúde	NCFS000	saúde
,	.	Fp	.
e	E	CC	e
a	a	SPS00	a
Alves	Alves	NP00000	alves
q	que	CS	que
faca	faça	VMSP0S0	fazer
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
licenca	licença	NCFS000	licença
q	que	PR0CN000	que
me	me	PP1CS000	me
pedes	pedes	VMIP2S0	pedir
ta	ta	PP2CS000+PP3FSA00	te+o
não	não	RN	não
dou	dou	VMIP1S0	dar
senão	senão	CC	senão
q	que	CS	que
venhas	venhas	VMSP2S0	vir
pa	para	SPS00	para
caza	casa	NCFS000	casa
como	como	SPS00	como
vinhas	vinhas	VMII2S0	vir
,	,	Fc	,
q	que	CS	que
iso	isso	PD0NN000	isso
hé	é	VSIP3S0	ser
o	o	DA0MS0	o
moso	moço	NCMS000	moço
q	que	PR0CN000	que
quer	quer	VMIP3S0	querer
agora	agora	RG	agora
por	pôr	VMN0000	pôr
elle	ele	PP3MS000	ele
caminho	caminho	NCMS000	caminho
	,	Fc	,
trazerte	trazer-te	Fc	,
por	por	SPS00	por
fora	fora	RG	fora
mais	mais	RC	mais
tempo	tempo	NCMS000	tempo
pa	para	SPS00	para
	,	Fc	,
por	por	SPS00	por
ese	esse	DD0MS0	esse
caminho	caminho	NCMS000	caminho
	,	Fc	,
te	te	PP2CS000	te
turbar	turbar	VMN0000	turbar
,	.	Fp	.
eu	Eu	PP1CSN00	eu
é	é	VSIP3S0	ser
quanto	quanto	CS	quanto
elle	ele	PP3MS000	ele
tem	tem	VMIP3S0	ter
buscado	buscado	VMP0000	buscar
,	,	Fc	,
pa	para	SPS00	para
te	te	PP2CS000	te
afligir	afligir	VMN0000	afligir
,	,	Fc	,
e	e	CC	e
ainda	ainda	RG	ainda
há	há	VMIP3S0	haver
de	de	SPS00	de
buscar	buscar	VMN0000	buscar
mais	mais	RC	mais
q	que	CS	que
elle	ele	PP3MS000	ele
não	não	RN	não
cuida	cuida	VMIP3S0	cuidar
em	em	SPS00	em
outra	outra	DI0FS0	outro
couza	coisa	NCFS000	coisa
:	.	Fp	.
tambem	Também	RG	também
tenho	tenho	VMIP1S0	ter
reparado	reparado	VMP0000	reparar
de	de	SPS00	de
não	não	RN	não
fazervos	fazer-vos	VMN0000+PP2CP000	fazer+vos
da	da	SPS00+DA0FS0	de+o
Maga	Margarida	NP00000	margarida
a	há	VMIP3S0	haver
tanto	tanto	DI0MS0	tanto
tempo	tempo	NCMS000	tempo
	.	Fp	.
tomara	Tomara	VMIM0S0	tomar
saber	saber	VMN0000	saber
a	a	DA0FS0	o
cauza	causa	NCFS000	causa
,	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
suponho	suponho	VMIP1S0	supor
q	que	CS	que
o	o	DA0MS0	o
moso	moço	NCMS000	moço
não	não	RN	não
quer	quer	VMIP3S0	querer
q	que	CS	que
ella	ela	PP3FS000	ele
diga	diga	VMSP0S0	dizer
o	o	DA0MS0	o
q	que	PR0CN000	que
tem	tem	VMIP3S0	ter
pecado	pecado	VMP0000	pecar
nas	nas	SPS00+DA0FP0	em+o
novenas	novenas	NCFP000	novena
,	,	Fc	,
q	que	CS	que
boãs	boas	AQ0FP0	bom
couzas	coisas	NCFP000	coisa
teria	teria	VMIC0S0	ter
nellas	nelas	SPS00+PP3FP000	em+ele
	.	Fp	.
eu	Eu	PP1CSN00	eu
as	as	PP3FPA00	o
tive	tive	VMIS1S0	ter
mto	muito	RQ	muito
alegres	alegres	AQ0CP0	alegre
,	,	Fc	,
e	e	CC	e
espero	espero	VMIP1S0	esperar
ter	ter	VMN0000	ter
todas	todas	DI0FP0	todo
com	com	SPS00	com
ajuda	ajuda	NCFS000	ajuda
de	de	SPS00	de
minha	minha	DP1FSS	meu
espoza	esposa	NCFS000	esposo
:	.	Fp	.
