Lxa	Lxa	NP00000	lisboa
oriental	oriental	AQ0CS0	oriental
	,	Fc	,
22	22	Z	22
de	de	SPS00	de
8bro	8bro	NP00000	8bro
de	de	SPS00	de
1734	1734	Z	1734
Meu	Meu	DP1MSS	meu
Snre	Senhor	NP00000	senhor
	.	Fp	.
numca	Nunca	RN	nunca
me	me	PP1CS000	me
aRoje	arrogue	VMIP3S0	arroguer
desta	desta	SPS00+DD0FS0	de+este
comfiança	confiança	NCFS000	confiança
	,	Fc	,
porq	porque	CS	porque
tambẽ	também	RG	também
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
deseijo	desejo	VMIP1S0	desejar
favor	favor	NCMS000	favor
de	de	SPS00	de
suas	suas	DP3FP0	seu
letras	letras	NCFP000	letra
em	em	SPS00	em
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
restante	restante	NCFS000	restante
de	de	SPS00	de
tempo	tempo	NCMS000	tempo
em	em	SPS00	em
q	que	PR0CN000	que
habita	habita	VMIP3S0	habitar
nessa	nessa	SPS00+DD0FS0	em+esse
provincia	província	NCFS000	província
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
não	não	RN	não
emnoro	ignoro	VMIP1S0	ignorar
	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
pa	para	SPS00	para
este	este	DD0MS0	este
favor	favor	NCMS000	favor
;	,	Fc	,
não	não	RN	não
dependia	dependia	VMIP3S0	dependiar
vm	VM	NP00000	VM
nada	nada	PI0NN00N	nada
desta	desta	SPS00+DD0FS0	de+este
sua	sua	DP3FS0	seu
serva	serva	NCFS000	servo
,	.	Fp	.
mas	Mas	CC	mas
numca	nunca	RN	nunca
me	me	PP1CS000	me
descuidada	descuidara	VMIM0S0	descuidar
de	de	SPS00	de
precurar	procurar	VMN0000	procurar
noticias	notícias	NCFP000	notícia
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
como	como	SPS00	como
qm	quem	PR0CN000	quem
o	o	DA0MS0	o
venerando	venerando	NCMS000	venerando
por	por	SPS00	por
irmão	irmão	NCMS000	irmão
de	de	SPS00	de
outro	outro	DI0MS0	outro
Irmão	irmão	NCMS000	irmão
	,	Fc	,
a	a	SPS00	a
qm	quem	PR0CN000	quem
tanto	tanto	RC	tanto
estimava	estimava	VMII0S0	estimar
a	a	SPS00	a
ma	minha	DP1FSS	meu
veneração	veneração	NCFS000	veneração
	,	Fc	,
asim	assim	RG	assim
pello	pelo	SPS00+DA0MS0	por+o
seu	seu	DP3MS0	seu
agrado	agrado	NCMS000	agrado
a	a	SPS00	a
favor	favor	NCMS000	favor
q	que	PR0CN000	que
me	me	PP1CS000	me
fazia	fazia	VMII0S0	fazer
;	,	Fc	,
como	como	CS	como
pello	pelo	SPS00+DA0MS0	por+o
amor	amor	NCMS000	amor
com	com	SPS00	com
q	que	PR0CN000	que
tratava	tratava	VMII0S0	tratar
a	a	SPS00	a
ma	minha	DP1FSS	meu
mana	mana	NCFS000	mano
e	e	CC	e
a	a	SPS00	a
sua	sua	DP3FS0	seu
famillia	família	NCFS000	família
e	e	CC	e
caza	casa	NCFS000	casa
;	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
	,	Fc	,
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
	,	Fc	,
a	a	DA0FS0	o
fortuna	fortuna	NCFS000	fortuna
foi	foi	VMIS3S0	ir
ma	minha	DP1FSS	meu
comtraria	contrária	AQ0FS0	contrário
nesta	nesta	SPS00+DD0FS0	em+este
vida	vida	NCFS000	vida
,	,	Fc	,
não	não	RN	não
quis	quis	VMIS3S0	querer
esta	esta	DD0FS0	este
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
exzecutar	executar	VMN0000	executar
comigo	comigo	SPS00+PP1CSO00	com+mim
os	os	PP3MSA00	o
seus	seus	DP3MP0	seu
rigores	rigores	NCMP000	rigor
,	,	Fc	,
q	que	CS	que
	,	Fc	,
não	não	RN	não
só	só	RG	só
tive	tive	VMIS1S0	ter
por	por	SPS00	por
meus	meus	DP1MPS	meu
pecados	pecados	NCMP000	pecado
o	o	DA0MS0	o
castiguo	castigo	NCMS000	castigo
de	de	SPS00	de
Ds	Deus	NP00000	deus
em	em	SPS00	em
o	o	DA0MS0	o
ver	ver	VMN0000	ver
com	com	SPS00	com
sermos	sermos	VSN01P0	ser
tão	tão	RC	tão
deferentes	diferentes	AQ0CP0	diferente
;	,	Fc	,
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
respo	respeito	NCMS000	respeito
de	de	SPS00	de
huã	uma	DI0FS0	um
afeição	afeição	NCFS000	afeição
q	que	PR0CN000	que
tomou	tomou	VMIS3S0	tomar
so	só	RG	só
per	por	SPS00	por
fora	fora	RG	fora
	,	Fc	,
se	se	CS	se
voltou	voltou	VMIS3S0	voltar
de	de	SPS00	de
tal	tal	RC	tal
sorte	sorte	NCFS000	sorte
e	e	CC	e
com	com	SPS00	com
tal	tal	RC	tal
comdisão	condição	NCFS000	condição
q	que	CS	que
não	não	RN	não
só	só	RG	só
tomou	tomou	VMIS3S0	tomar
aborrecimto	aborrecimento	NCMS000	aborrecimento
a	a	SPS00	a
sua	sua	DP3FS0	seu
molher	mulher	NCFS000	mulher
e	e	CC	e
filhos	filhos	NCMP000	filho
;	,	Fc	,
mas	mas	CC	mais
ainda	ainda	RG	ainda
	,	Fc	,
á	a	SPS00	a
mim	mim	PP1CSO00	mim
	,	Fc	,
me	me	PP1CS000	me
tomou	tomou	VMIS3S0	tomar
tál	tal	RC	tal
odio	ódio	NCMS000	ódio
	,	Fc	,
q	que	CS	que
vinha	vinha	NCFS000	vinha
a	a	SPS00	a
esta	esta	DD0FS0	este
caza	casa	NCFS000	casa
a	a	SPS00	a
fallar	falar	VMN0000	falar
o	o	DA0MS0	o
sr	senhor	NP00000	senhor
Bor	Belchior	NP00000	belchior
do	do	SPS00+DA0MS0	de+o
Reguo	Rego	NP00000	rego
pa	para	SPS00	para
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
negos	negócios	NCMP000	negócio
	,	Fc	,
se	se	CS	se
não	não	RN	não
fazia	fazia	VMII0S0	fazer
cazo	caso	NCMS000	caso
de	de	SPS00	de
mim	mim	PP1CSO00	mim
	.	Fp	.
sendo	Sendo	VSG0000	ser
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
trabalho	trabalho	NCMS000	trabalho
e	e	CC	e
serviso	serviço	NCMS000	serviço
desta	desta	SPS00+DD0FS0	de+este
caza	casa	NCFS000	casa
o	o	DA0MS0	o
principio	princípio	NCMS000	princípio
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
vida	vida	NCFS000	vida
e	e	CC	e
aumto	aumento	NCMS000	aumento
q	que	CS	que
mtos	muitos	DI0MP0	muito
mais	mais	RC	mais
tivera	tivera	VMIM0S0	ter
e	e	CC	e
mto	muito	DI0MS0	muito
remedio	remédio	NCMS000	remédio
deixava	deixava	VMII0S0	deixar
os	aos	SPS00+DA0MP0	a+o
seus	seus	DP3MP0	seu
fos	filhos	NCMP000	filho
	,	Fc	,
se	se	CS	se
não	não	RN	não
tivera	tivera	VMIM0S0	ter
a	a	DA0FS0	o
penção	pensão	NCFS000	pensão
de	de	SPS00	de
sustentar	sustentar	VMN0000	sustentar
outra	outra	DI0FS0	outro
caza	casa	NCFS000	casa
e	e	CC	e
com	com	SPS00	com
mais	mais	RC	mais
atenção	atenção	NCFS000	atenção
q	que	CS	que
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
propria	própria	NCFS000	próprio
	.	Fp	.
