Mto	Muito	RQ	muito
R	reverendo	NP00000	reverendo
snr	senhor	NP00000	senhor
Prior	prior	NP00000	prior
Po	Pedro	NP00000	pedro
Affonço	Afonso	NP00000	afonso
Pires	Pires	NP00000	pires
de	de	SPS00	de
Barros	Barros	NP00000	barros
	.	Fp	.
Meu	Meu	DP1MSS	meu
amigo	amigo	NCMS000	amigo
e	e	CC	e
snr	senhor	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
coração	coração	NCMS000	coração
,	,	Fc	,
veyo	veio	VMIS3S0	vir
Vmce	VM	NP00000	VM
a	a	SPS00	a
esta	esta	DD0FS0	este
qta	quinta	NCFS000	quinta
hum	um	DI0MS0	um
dos	dos	SPS00+DA0MP0	de+o
dias	dias	NCMP000	dia
da	da	SPS00+DA0FS0	de+o
somana	semana	NCFS000	semana
passada	passada	VMP00SF	passar
,	,	Fc	,
por	por	SPS00	por
me	me	PP1CS000	me
fazer	fazer	VMN0000	fazer
mes	mercês	NCFP000	mercê
,	,	Fc	,
e	e	CC	e
axou	achou	VMIS3S0	achar
nesta	nesta	SPS00+DD0FS0	em+este
caza	casa	NCFS000	casa
ao	ao	SPS00+DA0MS0	a+o
R	reverendo	NP00000	reverendo
Pe	padre	NP00000	padre
	,	Fc	,
q	que	PR0CN000	que
dis	diz	VMIP3S0	dizer
se	se	CS	se
xama	chama	VMIP3S0	chamar
Fr	frei	NP00000	frei
Seraphim	Serafim	NP00000	serafim
da	da	SPS00+DA0FS0	de+o
Pax	Paz	NP00000	paz
,	,	Fc	,
q	que	CS	que
esta	esta	DD0FS0	este
manhãa	manhã	NCFS000	manhã
sahio	saiu	VMIS3S0	sair
desta	desta	SPS00+DD0FS0	de+este
quinta	quinta	NCFS000	quinta
dizendo	dizendo	VMG0000	dizer
hia	ia	VMII0S0	ir
pa	para	SPS00	para
Lxa.	Lxa	NP00000	lisboa
,	,	Fc	,
pa	para	SPS00	para
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
Convento	Convento	NP00000	convento
de	de	SPS00	de
Santa	Santa	NP00000	santa
Apolonia	Apolónia	NP00000	Apolónia
;	.	Fp	.
E	E	CC	e
	,	Fc	,
porq	porque	CS	porque
tenho	tenho	VMIP1S0	ter
noticia	notícia	NCFS000	notícia
elle	ele	PP3MS000	ele
ficara	ficara	VMIM0S0	ficar
hoje	hoje	RG	hoje
em	em	SPS00	em
caza	casa	NCFS000	casa
de	de	SPS00	de
