Charissima	Caríssima	AQSFS0	caro
Irmãa	irmã	NCFS000	irmão
	.	Fp	.
Como	Como	CS	como
tenho	tenho	VMIP1S0	ter
expressa	expressa	AQ0FS0	expresso
licensa	licença	NCFS000	licença
de	de	SPS00	de
v	vossa	DP2FSP	vosso
charide	caridade	NCFS000	caridade
para	para	SPS00	para
responder	responder	VMN0000	responder
ao	ao	SPS00+DA0MS0	a+o
que	que	PR0CN000	que
me	me	PP1CS000	me
insinua	insinua	VMIP3S0	insinuar
ter	ter	VMN0000	ter
feito	feito	NCMS000	feito
na	na	SPS00+DA0FS0	em+o
ulti-ma	última	NCFS000	último
confissão	confissão	NCFS000	confissão
,	,	Fc	,
que	que	CS	que
na	na	SPS00+DA0FS0	em+o
çella	cela	NCFS000	cela
lhe	lhe	PP3CSD00	lhe
ouvi	ouvi	VMIS1S0	ouvir
,	,	Fc	,
e	e	CC	e
serme	ser-me	VSN0000+PP1CS000	ser+me
licito	lícito	AQ0MS0	lícito
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
opinião	opinião	NCFS000	opinião
mais	mais	CC	mais
proucível	plausível	NCMS000	plausível
ou	ou	CC	ou
dos	dos	SPS00+DA0MP0	de+o
Bons	bons	NCMP000	bom
	,	Fc	,
fallar	falar	VMN0000	falar
da	da	SPS00+DA0FS0	de+o
dita	dita	NCFS000	dita
confissão	confissão	NCFS000	confissão
com	com	SPS00	com
a	a	SPS00	a
penitente	penitente	NCMS000	a
sem	sem	SPS00	sem
ofender	ofender	VMN0000	ofender
o	o	DA0MS0	o
sigillo	sigilo	NCMS000	sigilo
:	,	Fc	,
agradesso	agradeço	VMIP1S0	agradecer
	,	Fc	,
em	em	SPS00	em
primeiro	primeiro	NCMS000	primeiro
lugar	lugar	NCMS000	lugar
	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
a	a	PP3FSA00	o
man-dou	mandou	VMIS3S0	mandar
fazerme	fazer-me	VMN0000+PP1CS000	fazer+me
esta	esta	DD0FS0	este
admoestação	admoestação	NCFS000	este
a	à	SPS00+DA0FS0	a+o
charide	caridade	NCFS000	caridade
	,	Fc	,
sendo	sendo	VSG0000	ser
mais	mais	RC	mais
certa	certa	AQ0FS0	certo
a	a	DA0FS0	o
opinião	opinião	NCFS000	opinião
que	que	CS	que
em	em	SPS00	em
semilhantes	semelhantes	AQ0CP0	semelhante
cazos	casos	NCMP000	caso
se	se	CS	se
não	não	RN	não
deve	deve	VMIP3S0	dever
erar	errar	VMN0000	errar
.	.	Fp	.
Mas	Mas	CC	mas
	,	Fc	,
como	como	CS	como
a	a	DA0FS0	o
defeza	defesa	NCFS000	defesa
he	é	VSIP3S0	ser
de	de	SPS00	de
dereito	direito	NCMS000	direito
natural	natural	AQ0CS0	natural
e	e	CC	e
o	o	DA0MS0	o
mais	mais	RC	mais
que	que	CS	que
aqui	aqui	RG	aqui
se	se	CS	se
podia	podia	VMII0S0	poder
dizer	dizer	VMN0000	dizer
)	,	Fbt	)
princi-palmte	principalmente	RG	principalmente
não	não	RN	não
estando	estando	VMG0000	estar
naquella	naquela	SPS00+DD0FS0	em+aquele
