Rmo	Reverendíssimo	AQSMS0	reverendo
Snr	Senhor	NP00000	senhor
Pe	Padre	NP00000	padre
Me	Mestre	NP00000	mestre
	.	Fp	.
Agora	Agora	RG	agora
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
dizer	dizer	VMN0000	dizer
a	a	DA0FS0	o
doente	doente	NCCS000	doente
que	que	CS	que
estava	estava	VMII0S0	estar
mto	muito	RQ	muito
atri-bulada	atribulada	VMP00SF	atribular
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
dor	dor	NCFS000	dor
de	de	SPS00	de
huma	uma	DI0FS0	um
banda	banda	NCFS000	banda
	,	Fc	,
q	que	CS	que
não	não	RN	não
pode	pode	VMIP3S0	poder
tomar	tomar	VMN0000	tomar
respi-racão	respiração	NCFS000	respiração
,	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
hoje	hoje	RG	hoje
hé	é	VSIP3S0	ser
lua	lua	NCFS000	lua
chea	cheia	AQ0FS0	cheio
	,	Fc	,
héssa	essa	PD0FS000	esse
hé	é	VSIP3S0	ser
a	a	DA0FS0	o
cauza	causa	NCFS000	causa
.	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
Rogo	rogo	VMIP1S0	rogar
a	a	SPS00	a
vm	VM	NP00000	VM
tenha	tenha	VMSP0S0	ter
a	a	DA0FS0	o
bondade	bondade	NCFS000	bondade
	,	Fc	,
quando	quando	CS	quando
for	for	VMSF0S0	ir
pa	para	SPS00	para
caza	casa	NCFS000	casa
	,	Fc	,
passar	passar	VMN0000	passar
p	por	SPS00	por
là	lá	RG	lá
para	para	SPS00	para
aplacar	aplacar	VMN0000	aplacar
hesse	esse	DD0MS0	esse
excesso	excesso	NCMS000	excesso
da	da	SPS00+DA0FS0	de+o
molestia	moléstia	NCFS000	moléstia
	,	Fc	,
pois	pois	CS	pois
só	só	RG	só
vm	VM	NP00000	VM
a	a	PP3FSA00	o
poderá	poderá	VMIF3S0	poder
aplacar	aplacar	VMN0000	aplacar
	,	Fc	,
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
sendo	sendo	VSG0000	ser
penozo	penoso	AQ0MS0	penoso
;	.	Fp	.
e	E	CC	e
no	no	SPS00+DA0MS0	em+o
mais	mais	RC	mais
fico	fico	VMIP1S0	ficar
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
obedicencia	obediência	NCFS000	obediência
para	para	SPS00	para
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
como	como	SPS00	como
seu	seu	DP3MS0	seu
criado	criado	NCMS000	criado
,	.	Fp	.
Deus	Deus	NP00000	deus
o	o	PP3MSA00	o
ge	guarde	VMSP0S0	guardar
p	por	SPS00	por
ms	muitos	DI0MP0	muito
anns	anos	NCMP000	ano
	,	Fc	,
eta	etc	NCMS000	etc
	.	Fp	.
De	De	SPS00	de
vmce	VM	NP00000	VM
Mto	muito	RQ	muito
serto	certo	AQ0MS0	certo
e	e	CC	e
venor	venerador	AQ0MS0	venerador
	,	Fc	,
Mel	Manuel	NP00000	manuel
Barboza	Barbosa	NP00000	barbosa
