Querida	Querida	VMP00SF	querer
filha	filha	NCFS000	filho
de	de	SPS00	de
todo	todo	DI0MS0	todo
meu	meu	DP1MSS	meu
amor	amor	NCMS000	amor
	,	Fc	,
eu	eu	PP1CSN00	eu
louvo	louvo	VMIP1S0	louvar
a	a	SPS00	a
meu	meu	DP1MSS	meu
Ds	Deus	NP00000	deus
,	,	Fc	,
a	a	SPS00	a
meu	meu	DP1MSS	meu
Pay	pai	NCMS000	pai
,	,	Fc	,
meu	meu	DP1MSS	meu
tudo	tudo	PI0NN000	tudo
,	,	Fc	,
porq	porque	CS	porque
certamte	certamente	RG	certamente
o	o	DA0MS0	o
tempo	tempo	NCMS000	tempo
está	está	VMIP3S0	estar
mesmo	mesmo	RG	mesmo
belo	belo	AQ0MS0	belo
pa	para	SPS00	para
iso	isso	PD0NN000	isso
:	.	Fp	.
eu	Eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
meu	meu	DP1MSS	meu
raceyo	receio	NCMS000	receio
não	não	RN	não
adueça	adoeça	VMSP0S0	adoecer
;	,	Fc	,
porq	porque	CS	porque
he	é	VSIP3S0	ser
mta	muita	DI0FS0	muito
lida	lida	NCFS000	lida
pa	para	SPS00	para
qm	quem	PR0CN000	quem
não	não	RN	não
está	está	VMIP3S0	estar
costumado	costumado	VMP00SM	costumar
,	,	Fc	,
falto	falto	VMIP1S0	faltar
de	de	SPS00	de
sono	sono	NCMS000	sono
	,	Fc	,
de	de	SPS00	de
cumer	comer	VMN0000	comer
	,	Fc	,
eta	etc	NCMS000	etc
	.	Fp	.
athe	Até	SPS00	até
da	da	SPS00+DA0FS0	de+o
Ana	Ana	NP00000	ana
não	não	RN	não
sei	sei	VMIP1S0	saber
,	,	Fc	,
q	que	CS	que
não	não	RN	não
foi	foi	VSIS3S0	ser
portador	portador	NCMS000	portador
;	.	Fp	.
cuidos	Cuidados	NCMP000	cuidado
não	não	RN	não
faltão	faltam	VMIP3P0	faltar
,	.	Fp	.
vivo	Vivo	VMIP1S0	vivar
servo	servo	NCMS000	servo
,	.	Fp	.
sra	Senhora	NP00000	senhor
Clara	Clara	NP00000	clara
	,	Fc	,
não	não	RN	não
sei	sei	VMIP1S0	saber
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
diga	diga	VMSP0S0	dizer
,	,	Fc	,
porq	porque	CS	porque
a	a	DA0FS0	o
milhora	melhora	NCFS000	melhora
he	é	VSIP3S0	ser
nenhuã	nenhuma	PI0FS00N	nenhum
	.	Fp	.
Infinitas	Infinitas	AQ0FP0	infinito
saudes	saudades	NCFP000	saudade
a	a	SPS00	a
sua	sua	DP3FS0	seu
May	mãe	NCFS000	mãe
.	.	Fp	.
Mil	Mil	Z	mil
bençãos	bênçãos	NCFP000	bênção
a	a	SPS00	a
ambas	ambas	DI0FP0	ambos
boto	boto	VMIP1S0	botar
	.	Fp	.
