Ma	Minha	DP1FSS	meu
Sra	Senhora	NCFS000	senhor
D	Dona	NP00000	dona
Tomazia	Tomásia	NP00000	tomásia
Izabel	Isabel	NP00000	isabel
Gonzaga	Gonzaga	NP00000	gonzaga
	.	Fp	.
Aos	Aos	SPS00+DA0MP0	a+o
pes	pés	NCMP000	pé
de	de	SPS00	de
Vmce	VM	NP00000	VM
me	me	PP1CS000	me
chego	chego	VMIP1S0	chegar
,	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
com	com	SPS00	com
pouco	pouco	DI0MS0	pouco
conhecimto	conhecimento	NCMS000	conhecimento
,	,	Fc	,
sempre	sempre	RG	sempre
animado	animado	VMP00SM	animar
por	por	SPS00	por
ser	ser	VSN0000	ser
sra	Senhora	NP00000	senhor
cujas	cujas	PU0FP000	cujo
prendas	prendas	NCFP000	prenda
tendo	tenho	VAIP1S0	ter
ouvido	ouvido	VMP0000	ouvir
louvar	louvar	VMN0000	louvar
mto	muito	RQ	muito
e	e	CC	e
por	por	SPS00	por
ser	ser	VSN0000	ser
filha	filha	NCFS000	filho
de	de	SPS00	de
outra	outra	DI0FS0	outro
sra	senhora	NCFS000	senhor
a	a	SPS00	a
qm	quem	PR0CN000	quem
em	em	SPS00	em
N	Nosso	DP1MSP	nosso
Sr	Senhor	NP00000	senhor
amo	amo	VMIP1S0	amar
,	,	Fc	,
qto	quanto	PA000000	quanto
	,	Fc	,
não	não	RN	não
sei	sei	VMIP1S0	saber
explicar	explicar	VMN0000	explicar
.	.	Fp	.
Não	Não	RN	não
ha	há	VMIP3S0	haver
couza	coisa	NCFS000	coisa
neste	neste	SPS00+DD0MS0	em+este
mũdo	mundo	NCMS000	mundo
q	que	PR0CN000	que
não	não	RN	não
tenha	tenha	VMSP0S0	ter
remedio	remédio	NCMS000	remédio
:	.	Fp	.
não	Não	RN	não
ha	há	VMIP3S0	haver
mal	mal	RG	mal
q	que	PR0CN000	que
sempre	sempre	RG	sempre
dure	dure	VMSP0S0	durar
:	.	Fp	.
confeço	Confesso	VMIP1S0	confessar
,	,	Fc	,
e	e	CC	e
estou	estou	VMIP1S0	estar
mto	muito	RQ	muito
bem	bem	RG	bem
informa-do	informado	VMP00SM	informar
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
mto	muito	RQ	muito
q	que	PR0CN000	que
nesa	nessa	SPS00+DD0FS0	em+esse
caza	casa	NCFS000	casa
padece	padece	VMIP3S0	padecer
.	.	Fp	.
eu	Eu	PP1CSN00	eu
o	o	PP3MSA00	o
sei	sei	VMIP1S0	saber
mto	muito	RQ	muito
bem	bem	RG	bem
de	de	SPS00	de
verde	verdade	NCFS000	verdade
,	.	Fp	.
e	E	CC	e
sinceramte	sinceramente	RG	sinceramente
lhe	lhe	PP3CSD00	lhe
confeço	confesso	VMIP1S0	confessar
q	que	CS	que
	,	Fc	,
a	a	SPS00	a
ser	ser	VSN0000	ser
ja	já	RG	já
conveniente	conveniente	AQ0CS0	conveniente
,	,	Fc	,
eu	eu	PP1CSN00	eu
mesmo	mesmo	AQ0MS0	mesmo
fora	fora	VSSF0S0	ser
qm	quem	PR0CN000	quem
	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
sra	Senhora	NCFS000	senhor
sua	sua	DP3FS0	seu
Mai	mãe	NCFS000	mãe
,	,	Fc	,
fizera	fizera	VMIM0S0	fazer
tod	todas	DI0FP0	todo
as	as	DA0FP0	o
deligas	diligências	NCFP000	diligência
pa	para	SPS00	para
dahi	daí	SPS00+RG	de+aí
a	a	PP3FSA00	o
tirar	tirar	VMN0000	tirar
