Amada	Amada	VMP00SF	amar
Filha	Filha	NCFS000	filho
em	em	SPS00	em
N	Nosso	NP00000	nosso
Sr	Senhor	NP00000	senhor
	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
boto	boto	VMIP1S0	botar
mil	mil	Z	mil
bençaos	bênçãos	NCFP000	bênção
em	em	SPS00	em
nome	nome	NCMS000	nome
de	de	SPS00	de
N	Nosso	NP00000	nosso
Bom	Bom	AQ0MS0	bom
Ds	Deus	NP00000	deus
	.	Fp	.
Ca	Cá	RG	cá
tive	tive	VMIS1S0	ter
noticia	notícia	NCFS000	notícia
pela	pela	SPS00+DA0FS0	por+o
sra	senhora	NCFS000	senhor
May	mãe	NCFS000	mãe
dos	dos	SPS00+DA0MP0	de+o
seus	seus	DP3MP0	seu
alivios	alívios	NCMP000	alívio
,	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
nũca	nunca	RN	nunca
duvidei	duvidei	VMIS1S0	duvidar
,	,	Fc	,
nem	nem	CC	nem
duvido	duvido	VMIP1S0	duvidar
,	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
me	me	PP1CS000	me
alegrei	alegrei	VMIS1S0	alegrar
bastante	bastante	RQ	bastante
;	.	Fp	.
e	E	CC	e
mto	muito	DI0MS0	muito
mais	mais	NCMS000	mais
pelas	pelas	SPS00+DA0FP0	por+o
q	que	PR0CN000	que
de	de	SPS00	de
si	si	X	X
me	me	PP1CS000	me
dá	dá	VMIP3S0	dar
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
escripto	escrito	NCMS000	escrito
e	e	CC	e
pelos	pelos	SPS00+DA0MP0	por+o
dezos	desejos	NCMP000	desejo
q	que	CS	que
o	o	DA0MS0	o
Sr	Senhor	NP00000	senhor
lhe	lhe	PP3CSD00	lhe
comunica	comunica	VMIP3S0	comunicar
.	.	Fp	.
Oh	Oh	I	oh
	,	Fc	,
filha	filha	NCFS000	filho
ma	minha	DP1FSS	meu
	,	Fc	,
ditoza	ditosa	AQ0FS0	ditoso
Vmce	VM	NP00000	VM
,	,	Fc	,
ditoza	ditosa	AQ0FS0	ditoso
a	a	SPS00	a
mil	mil	Z	mil
vezes	vezes	NCFP000	vez
ditoza	ditosa	AQ0FS0	ditoso
,	,	Fc	,
se	se	CS	se
persevera	persevera	VMIP3S0	perseverar
!	!	Fp	!
Lembrese	Lembre-se	VMSP0S0+P00CN000	lembrar+se
lembrese	lembre-se	VMSP0S0+P00CN000	lembrar+se
q	que	CS	que
	,	Fc	,
se	se	CS	se
por	por	SPS00	por
este	este	DD0MS0	este
camo	caminho	NCMS000	caminho
da	da	SPS00+DA0FS0	de+o
virtu-de	virtude	NCFS000	virtude
formos	formos	VMSF1P0	ir
,	,	Fc	,
nos	nos	PP1CP000	nos
havemos	havemos	VAIP1P0	haver
ver	ver	VMN0000	ver
no	no	SPS00+DA0MS0	em+o
Ceo	céu	NCMS000	céu
algũ	algum	DI0MS0	algum
dia	dia	NCMS000	dia
,	,	Fc	,
q	que	PR0CN000	que
não	não	RN	não
ha	há	VMIP3S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
mto	muito	RQ	muito
longe	longe	RG	longe
pois	pois	CS	pois
a	a	SPS00	a
nosa	nossa	DP1FSP	nosso
vida	vida	NCFS000	vida
he	é	VSIP3S0	ser
hũ	um	DI0MS0	um
sopro	sopro	NCMS000	sopro
.	.	Fp	.
Sra	Senhora	NP00000	senhor
	,	Fc	,
entrãdo	entrando	VMG0000	entrar
agora	agora	RG	agora
a	a	SPS00	a
tratar	tratar	VMN0000	tratar
dos	dos	SPS00+DA0MP0	de+o
meyos	meios	NCMP000	meio
pa	para	SPS00	para
as	as	DA0FP0	o
virtudes	virtudes	NCFP000	virtude
,	,	Fc	,
ou	ou	CC	ou
caminho	caminho	NCMS000	caminho
desta	desta	SPS00+DD0FS0	de+este
(	(	Fc	(
de	de	SPS00	de
q	que	PR0CN000	que
falei	falei	VMIS1S0	falar
no	no	SPS00+DA0MS0	em+o
escripto	escrito	NCMS000	escrito
antecedente	antecedente	AQ0CS0	antecedente
)	)	Fbt	)
	,	Fc	,
sabe	sabe	VMIP3S0	saber
Vmce	VM	NP00000	VM
q	que	CS	que
nada	nada	PI0NN00N	nada
se	se	P00CN000	se
consegue	consegue	VMIP3S0	conseguir
sem	sem	SPS00	sem
meyos	meios	NCMP000	meio
:	.	Fp	.
qm	Quem	PR0CN000	quem
dezeja	deseja	VMIP3S0	desejar
riquezas	riquezas	NCFP000	riqueza
logo	logo	RG	logo
cuida	cuida	VMIP3S0	cuidar
dos	dos	SPS00+DA0MP0	de+o
meyos	meios	NCMP000	meio
de	de	SPS00	de
as	as	PP3FPA00	o
adquirir	adquirir	VMN0000	adquirir
:	.	Fp	.
qm	Quem	PR0CN000	quem
pertende	pretende	VMIP3S0	pretender
honras	honras	NCFP000	honra
excogi-ta	excogita	VMIP3S0	excogitar
logo	logo	RG	logo
por	por	SPS00	por
q	que	PR0CN000	que
caminho	caminho	NCMS000	caminho
virá	virá	VMIF3S0	vir
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
pose	posse	NCFS000	posse
	,	Fc	,
eta	etc	NCMS000	etc
	.	Fp	.
