Amado	Amado	VMP00SM	amar
Pe	Padre	NP00000	padre
do	do	SPS00+DA0MS0	de+o
coração	coração	NCMS000	coração
.	.	Fp	.
Estimarei	Estimarei	VMIF1S0	estimar
q	que	CS	que
V	Vossa	DP2FSP	vosso
R	Reverência	NP00000	reverência
logre	logre	VMSP0S0	lograr
a	a	DA0FS0	o
saude	saúde	NCFS000	saúde
q	que	PR0CN000	que
dezo	desejo	VMIP1S0	desejar
pa	para	SPS00	para
com	com	SPS00	com
ella	ela	PP3FS000	ele
mandar-me	mandar-me	VMN0000+PP1CS000	mandar+me
mtas	muitas	DI0FP0	muito
ocazions	ocasiões	NCFP000	ocasião
en	em	SPS00	em
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
possa	possa	VMSP0S0	poder
obedeser	obedecer	VMN0000	obedecer
.	.	Fp	.
Fasso	Faço	VMIP1S0	fazer
este	este	PD0MS000	este
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
R	Reverência	NP00000	reverência
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
mmandar	mandar	VMN0000	mandar
dizer	dizer	VMN0000	dizer
q	que	CS	que
amenhãa	amanhã	RG	amanhã
	,	Fc	,
Ds	Deus	NP00000	deus
querendo	querendo	VMG0000	querer
	,	Fc	,
hei	hei	VMIP1S0	haver
de	de	SPS00	de
me	me	PP1CS000	me
hir	ir	VMN0000	ir
confessar	confessar	VMN0000	confessar
como	com	SPS00	com
V	Vossa	DP2FSP	vosso
R	Reverência	NP00000	reverência
	.	Fp	.
digo	Digo	VMIP1S0	dizer
fasso	faço	VMIP1S0	fazer
esta	esta	DD0FS0	este
tensão	tenção	NCFS000	tenção
	.	Fp	.
ja	Já	RG	já
se	se	CS	se
puder	puder	VMSF0S0	poder
	,	Fc	,
mandeme	mande-me	VMSP0S0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
pa	para	SPS00	para
hir	ir	VMN0000	ir
hoje	hoje	RG	hoje
junto	junto	RG	junto
com	com	SPS00	com
a	a	DA0FS0	o
sra	Senhora	NP00000	senhor
D	Dona	NP00000	dona
Jozefa	Josefa	NP00000	josefa
pa	para	SPS00	para
caza	casa	NCFS000	casa
de	de	SPS00	de
ma	minha	DP1FSS	meu
avó	avó	NCFS000	avô
	,	Fc	,
pa	para	SPS00	para
de	de	SPS00	de
lla	lá	RG	lá
hir	ir	VMN0000	ir
ao	ao	SPS00+DA0MS0	a+o
culejo	colégio	NCMS000	colégio
	.	Fp	.
por	Por	SPS00	por
ma	minha	DP1FSS	meu
Mai	mãe	NCFS000	mãe
	,	Fc	,
ja	já	RG	já
lhe	lhe	PP3CSD00	lhe
digo	digo	VMIP1S0	dizer
não	não	RN	não
espere	espere	VMSP0S0	esperar
	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
vai	vai	VMIP3S0	ir
pa	para	SPS00	para
se	se	P00CN000	se
não	não	RN	não
dizerem	dizer	VMN0000	dizer
q	que	CS	que
bem	bem	RG	bem
depresa	depressa	RG	depressa
vai	vai	VMIP3S0	ir
aliviar	aliviar	VMN0000	aliviar
saudes	saudades	NCFP000	saudade
	.	Fp	.
E	E	CC	e
no	no	SPS00+DA0MS0	em+o
enqto	enquanto	CS	enquanto
	,	Fc	,
aDs	adeus	NCMS000	adeus
	.	Fp	.
o	O	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
Ds	Deus	NP00000	deus
a	a	DA0FS0	o
v	Vossa	DP2FSP	vosso
R	Reverência	NP00000	reverência
Ge	guarde	VMSP0S0	guardar
ms	muitos	DI0MP0	muito
as	anos	NCMP000	ano
	,	Fc	,
eta	etc	NCMS000	etc
	.	Fp	.
De	De	SPS00	de
V	Vossa	DP2FSP	vosso
Rma	Reverendíssima	AQSFS0	reverendo
Filha	filha	NCFS000	filho
mto	muito	RQ	muito
indigna	indigna	AQ0FS0	indigno
	,	Fc	,
Thomazia	Tomásia	NP00000	tomásia
