Lovado	Louvado	VMP00SM	louvar
seja	seja	VSSP0S0	ser
Jezus	Jesus	NP00000	jesus
	.	Fp	.
Snra	Senhora	NCFS000	senhor
fra	freira	NCFS000	freira
	,	Fc	,
sabado	sábado	NCMS000	sábado
a	à	SPS00+DA0FS0	a+o
noite	noite	NCFS000	noite
eu	eu	PP1CSN00	eu
fou	fui	VMIS1S0	ir
la	lá	RG	lá
falal	falar	VMN0000	falar
com	com	SPS00	com
vmce	VM	NP00000	VM
	.	Fp	.
não	Não	RN	não
tive	tive	VMIS1S0	ter
a	a	DA0FS0	o
frotuna	fortuna	NCFS000	fortuna
de	de	SPS00	de
axar	achar	VMN0000	achar
em	em	SPS00	em
caza	casa	NCFS000	casa
	,	Fc	,
q	que	CS	que
sertamte	certamente	RG	certamente
estou	estou	VMIP1S0	estar
mto	muito	RQ	muito
descomsolada	desconsolada	VMP00SF	desconsolar
	.	Fp	.
mandei	Mandei	VMIS1S0	mandar
la	lá	RG	lá
muitas	muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
falal	falar	VMN0000	falar
com	com	SPS00	com
o	o	DA0MS0	o
noso	Nosso	DP1MSP	nosso
pe	Padre	NP00000	padre
mestre	Mestre	NP00000	mestre
	.	Fp	.
nunca	Nunca	RN	nunca
o	o	PP3MSA00	o
axava	achava	VMII0S0	achar
em	em	SPS00	em
caza	casa	NCFS000	casa
	.	Fp	.
mandoume	Mandou-me	VMIS3S0+PP1CS000	mandar+me
a	a	DA0FS0	o
Snra	Senhora	NP00000	senhor
Calra	Clara	NP00000	clara
	.	Fp	.
dizeme	Diz-me	VMIP3S0+PP1CS000	dizer+me
q	que	CS	que
elle	ele	PP3MS000	ele
estai	está	VMIP3S0	estar
fora	fora	RG	fora
e	e	CC	e
q	que	CS	que
não	não	RN	não
sabia	sabia	VMII0S0	saber
coando	quando	PA000000	quando
vinha	vinha	VMII0S0	vir
	,	Fc	,
q	que	CS	que
le	lhe	PP3CSD00	lhe
parisia	parecia	VMII0S0	parecer
