Fiais	Fiães	NP00000	fiães
	,	Fc	,
hoje	hoje	RG	hoje
	.	Fp	.
Meu	Meu	DP1MSS	meu
Amo	amigo	NCMS000	amigo
e	e	CC	e
Snor	Senhor	NP00000	senhor
Luis	Luís	NP00000	luís
dos	dos	SPS00+DA0MP0	de+o
Santos	Santos	NP00000	santos
	.	Fp	.
Recebi	Recebi	VMIS1S0	receber
hua	uma	PI0FS000	um
de	de	SPS00	de
vm	VM	NP00000	VM
em	em	SPS00	em
25	25	Z	25
de	de	SPS00	de
7bro	setembro	NCMS000	setembro
de	de	SPS00	de
1735	1735	Z	1735
	,	Fc	,
a	a	DA0FS0	o
coal	qual	PR0CS000	qual
me	me	PP1CS000	me
cervio	serviu	VMIS3S0	servir
de	de	SPS00	de
grde	grande	AQ0CS0	grande
alivio	alívio	NCMS000	alívio
	,	Fc	,
por	por	SPS00	por
nela	nela	SPS00+PP3FS000	em+ele
me	me	PP1CS000	me
relatar	relatar	VMN0000	relatar
que	que	CS	que
lograva	lograva	VMII0S0	lograr
filis	feliz	AQ0CS0	feliz
saude	saúde	NCFS000	saúde
	,	Fc	,
noso	Nosso	DP1MSP	nosso
senhor	Senhor	NP00000	senhor
lha	lha	PP3CSD00+PP3FSA00	lhe+o
aumente	aumente	VMSP0S0	aumentar
pellos	pelos	SPS00+DA0MP0	por+o
anos	anos	NCMP000	ano
de	de	SPS00	de
seu	seu	DP3MS0	seu
dezejo	desejo	NCMS000	desejo
	.	Fp	.
e	E	CC	e
da	da	SPS00+DA0FS0	de+o
minha	minha	PX1FS0S0	meu
se	se	P00CN000	se
podera	poderá	VMIF3S0	poder
cervir	servir	VMN0000	servir
	,	Fc	,
q	que	CS	que
ao	ao	SPS00+DA0MS0	a+o
prezente	presente	NCMS000	presente
he	é	VSIP3S0	ser
boa	boa	AQ0FS0	bom
	,	Fc	,
deos	Deus	NP00000	deus
Louvado	louvado	VMP00SM	louvar
para	para	SPS00	para
todo	todo	DI0MS0	todo
Senpre	sempre	NCMS000	sempre
	,	Fc	,
e	e	CC	e
fica	fica	VMIP3S0	ficar
mto	muito	RQ	muito
ao	ao	SPS00+DA0MS0	a+o
seu	seu	DP3MS0	seu
dispor	dispor	NCMS000	dispor
para	para	SPS00	para
empreguar	empregar	VMN0000	empregar
em	em	SPS00	em
ocaziois	ocasiões	NCFP000	ocasião
de	de	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
cervico	serviço	NCMS000	serviço
	,	Fc	,
tendo	tendo	VMG0000	ter
eu	eu	PP1CSN00	eu
algão	algum	DI0MS0	algum
prestimo	préstimo	NCMS000	préstimo
nesta	nesta	SPS00+DD0FS0	em+este
terra	terra	NCFS000	terra
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
Senora	senhora	NCFS000	senhor
minha	minha	DP1FSS	meu
may	mãe	NCFS000	mãe
e	e	CC	e
minha	minha	DP1FSS	meu
compa	companheira	NCFS000	companheiro
e	e	CC	e
minha	minha	DP1FSS	meu
irma	irmã	NCFS000	irmão
maria	Maria	NP00000	maria
se	se	P00CN000	se
