Meu	Meu	DP1MSS	meu
irmão	irmão	NCMS000	irmão
	.	Fp	.
estimarei	Estimarei	VMIF1S0	estimar
q	que	CS	que
estas	estas	DD0FP0	este
duas	duas	Z	duas
rreguras	regras	NCFP000	regra
achem	achem	VMSP3P0	achar
com	com	SPS00	com
aquela	aquela	DD0FS0	aquele
saude	saúde	NCFS000	saúde
que	que	PR0CN000	que
te	te	PP2CS000	te
dezejo	desejo	VMIP1S0	desejar
e	e	CC	e
eu	eu	PP1CSN00	eu
fiquo	fico	VMIP1S0	ficar
com	com	SPS00	com
ela	ela	PP3FS000	ele
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
aquylo	aquilo	PD0NN000	aquilo
q	que	PR0CN000	que
for	for	VMSF0S0	ir
de	de	SPS00	de
teu	teu	DP2MSS	teu
cervo	serviço	NCMS000	serviço
	,	Fc	,
e	e	SPS00	de
teu	teu	DP2MSS	teu
irmão	irmão	NCMS000	irmão
manoel	Manuel	NP00000	manuel
frz	Fernandes	NP00000	fernandes
e	e	CC	e
tuas	tuas	DP2FPS	teu
irmans	irmãs	NCFP000	irmão
se	se	P00CN000	se
recomendam	recomendam	VMIP3P0	recomendar
com	com	SPS00	com
mutas	muitas	DI0FP0	muito
lembrancas	lembranças	NCFP000	lembrança
e	e	CC	e
mutas	muitas	DI0FP0	muito
saudades	saudades	NCFP000	saudade
e	e	SPS00	de
teos	teus	DP2MPS	teu
sobrinhos	sobrinhos	NCMP000	sobrinho
todos	todos	DI0MP0	todo
	.	Fp	.
vim	Vim	VMIS1S0	vir
desa	dessa	NP00000	dessa
corte	corte	NCFS000	corte
	,	Fc	,
vim	vim	VMIS1S0	vir
muto	muito	RQ	muito
mal	mal	RG	mal
sastifeito	satisfeito	VMP00SM	satisfazer
por	por	SPS00	por
te	te	PP2CS000	te
achar	achar	VMN0000	achar
do	do	SPS00+DA0MS0	de+o
modo	modo	NCMS000	modo
que	que	PR0CN000	que
te	te	PP2CS000	te
achei	achei	VMIS1S0	achar
	,	Fc	,
que	que	CS	que
dei	dei	VMIS1S0	dar
lembrancas	lembranças	NCFP000	lembrança
a	a	SPS00	a
quem	quem	PR0CN000	quem
por	por	SPS00	por
ti	ti	PP2CSO00	ti
perguntou	perguntou	VMIS3S0	perguntar
	,	Fc	,
principal	principal	RG	principal
o	o	DA0MS0	o
padre	padre	NCMS000	padre
joam	João	NP00000	joão
rribeiro	Ribeiro	NP00000	ribeiro
	,	Fc	,
que	que	CS	que
gustou	gostou	VMIS3S0	gostar
muto	muito	RQ	muito
de	de	SPS00	de
ouvir	ouvir	VMN0000	ouvir
novas	novas	NCFP000	nova
tuas	tuas	DP2FPS	teu
	.	Fp	.
de	De	SPS00	de
la	lá	RG	lá
veio	veio	VMIS3S0	vir
o	o	DA0MS0	o
fo	filho	NCMS000	filho
de	de	SPS00	de
antonio	António	NP00000	antónio
frz	Fernandes	NP00000	fernandes
	,	Fc	,
veio	veio	VMIS3S0	vir
das	das	SPS00+DA0FP0	de+o
minas	minas	NCFP000	de+o
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
que	que	PR0CN000	que
dizem	dizem	VMIP3P0	dizer
	,	Fc	,
com	com	SPS00	com
muto	muito	RQ	muito
gurande	grande	AQ0CS0	grande
cabedasl	cabedal	NCMS000	cabedal
e	e	CC	e
la	lá	RG	lá
vai	vai	VMIP3S0	ir
pa	para	SPS00	para
esa	essa	DD0FS0	esse
corte	corte	NCFS000	corte
	.	Fp	.
la	Lá	RG	lá
te	te	PP2CS000	te
dara	dará	VMIF3S0	dar
novas	novas	NCFP000	nova
	,	Fc	,
q	que	CS	que
ogue	hoje	RG	hoje
par	para	SPS00	para
ca	cá	RG	cá
vai	vai	VMIP3S0	ir
a	a	DA0FS0	o
novide	novidade	NCFS000	novidade
que	que	PR0CN000	que
te	te	PP2CS000	te
mando	mando	VMIP1S0	mandar
ja	já	RG	já
	:	Fd	:
morei	morreu	VMIS3S0	morrer
noso	nosso	DP1MSP	nosso
tio	tio	NCMS000	tio
joan	João	NP00000	joão
pires	Pires	NP00000	pires
	.	Fp	.
e	E	CC	e
com	com	SPS00	com
isto	isto	PD0NN000	isto
ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vmce	VM	NP00000	VM
mos	muitos	DI0MP0	muito
anos	anos	NCMP000	ano
	.	Fp	.
Nom	Não	RN	não
rrepares	repares	VMSP2S0	reparar
em	em	SPS00	em
a	a	DA0FS0	o
carta	carta	NCFS000	carta
não	não	RN	não
ir	ir	VMN0000	ir
bem	bem	RG	bem
notada	notada	NCFS000	bem
	.	Fp	.
isto	Isto	PD0NN000	isto
fes	fez	VMIS3S0	fazer
teu	teu	DP2MSS	teu
sobrinho	sobrinho	NCMS000	sobrinho
antonio	António	NP00000	antónio
	.	Fp	.
aos	Aos	SPS00+DA0MP0	a+o
vinte	vinte	Z	vinte
de	de	SPS00	de
julho	julho	NCMS000	julho
na	na	SPS00	em
era	era	VSII0S0	ser
de	de	SPS00	de
1733	1733	Z	1733
	.	Fp	.
E	E	CC	e
Te	te	PP2CS000	te
rrecomendo	recomendo	VMIP1S0	recomendar
muto	muito	RQ	muito
que	que	CS	que
me	me	PP1CS000	me
saibas	saibas	VMSP2S0	saber
da	da	SPS00+DA0FS0	de+o
fa	filha	NCFS000	filho
de	de	SPS00	de
jozeph	José	NP00000	josé
mendes	Mendes	NP00000	mendes
	,	Fc	,
se	se	CS	se
he	é	VSIP3S0	ser
morta	morta	VMP00SF	morrer
ou	ou	CC	ou
viva	viva	AQ0FS0	vivo
	.	Fp	.
e	E	CC	e
	,	Fc	,
ser	se	CS	se
for	for	VMSF0S0	ir
morta	morta	VMP00SF	morrer
ou	ou	CC	ou
viva	viva	AQ0FS0	vivo
	,	Fc	,
asim	assim	RG	assim
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
a	a	DA0FS0	o
noticia	notícia	NCFS000	notícia
	,	Fc	,
que	que	CS	que
ela	ela	PP3FS000	ele
mora	mora	VMIP3S0	morar
na	na	SPS00	em
rrua	rua	NCFS000	rua
de	de	SPS00	de
s	São	NP00000	são
booavintura	Boaventura	NP00000	boaventuraç
em	em	SPS00	em
caza	casa	NCFS000	casa
da	da	SPS00+DA0FS0	de+o
snra	senhora	NP00000	senhor
D	dona	NP00000	dona
rroza	Rosa	NP00000	rosa
	,	Fc	,
o	ao	SPS00+DA0MS0	a+o
simo	cimo	NCMS000	cimo
da	da	SPS00+DA0FS0	de+o
rua	rua	NCFS000	rua
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
a	a	DA0FS0	o
rrezposta	resposta	NCFS000	resposta
no	no	NCFS000	o
primeiro	primeiro	RG	primeiro
coreiro	correio	NCMS000	correio
	.	Fp	.
