Querida	Querida	AQ0FS0	querido
mana	Mana	NCFS000	mano
da	da	SPS00+DA0FS0	de+o
m	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	,	Fc	,
bem	bem	RG	bem
podes	podes	VMIP2S0	poder
tu	tu	PP2CSN00	tu
supor	supor	VMN0000	supor
q	que	CS	que
tu	tu	PP2CSN00	tu
não	não	RN	não
me	me	PP1CS000	me
desbancas	desbancas	NCFP000	desbanca
nu	no	SPS00+DA0MS0	em+o
amor	amor	NCMS000	amor
pa	para	SPS00	para
comigo	comigo	SPS00+PP1CSO00	com+mim
	.	Fp	.
tu	Tu	PP2CSN00	tu
bem	bem	RG	bem
conhesses	conheces	VMIP2S0	conhecer
u	o	DA0MS0	o
eissesso	excesso	NCMS000	excesso
q	q	X	X
con	com	SPS00	com
q	que	CS	que
sempre	sempre	RG	sempre
te	te	PP2CS000	te
amei	amei	VMIS1S0	amar
foi	foi	VSIS3S0	ser
grande	grande	AQ0CS0	grande
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
gulga	julga	VMIP3S0	julgar
u	o	DA0MS0	o
quanto	quanto	PR0CN000	quanto
isto	isto	PD0NN000	isto
me	me	PP1CS000	me
mortificara	mortificará	VMIF3S0	mortificar
	,	Fc	,
u	o	DA0MS0	o
Ver	ver	VMN0000	ver
q	que	CS	que
te	te	PP2CS000	te
não	não	RN	não
posso	posso	VMIP1S0	poder
falar	falar	VMN0000	falar
nem	nem	CC	nem
saber	saber	VMN0000	saber
di	de	SPS00	de
ti	ti	PP2CSO00	ti
	.	Fp	.
Ds	Deus	NP00000	deus
nos	nos	PP1CP000	nos
de	dê	VMSP0S0	dar
passienssia	paciência	NCFS000	paciência
pa	para	SPS00	para
merecernos	merecer-nos	SPS00	para
pa	para	SPS00	para
con	com	SPS00	com
Ds	Deus	NP00000	deus
	,	Fc	,
q	que	CS	que
a	a	DA0FS0	o
mortificacão	mortificação	NCFS000	o
não	não	RN	não
pode	pode	VMIP3S0	poder
ser	ser	VSN0000	ser
pior	pior	RC	pior
q	que	CS	que
toiro	toiro	NCMS000	toiro
ensulente	insolente	AQ0CS0	insolente
q	que	CS	que
tem	tem	VMIP3S0	ter
consseguido	conseguido	VMP00SM	conseguir
tudo	tudo	PI0NN000	tudo
quanto	quanto	PR0CN000	quanto
Quer	quer	VMIP3S0	querer
	.	Fp	.
mas	Mas	CC	mas
Ds	Deus	NP00000	deus
premita	permita	VMSP0S0	permitir
q	que	CS	que
pague	pague	VMSP0S0	pagar
neste	neste	SPS00+DD0MS0	em+este
mundo	mundo	NCMS000	mundo
as	as	DA0FP0	o
inssulencias	insolências	NCFP000	insolência
q	que	PR0CN000	que
tem	tem	VMIP3S0	ter
feito	feito	NCMS000	feito
	,	Fc	,
q	que	CS	que
de	de	SPS00	de
outra	outra	DI0FS0	outro
sorte	sorte	NCFS000	sorte
não	não	RN	não
se	se	P00CN000	se
pode	pode	VMIP3S0	poder
salvar	salvar	VMN0000	salvar
	.	Fp	.
Eu	Eu	PP1CSN00	eu
agora	agora	RG	agora
o	o	DA0MS0	o
q	que	PR0CN000	que
dezejo	desejo	VMIP1S0	desejar
he	é	VSIP3S0	ser
ver	ver	VMN0000	ver
Ma	Maria	NP00000	maria
cazado	casada	VMP00SF	casar
Con	com	SPS00	com
Antonio	António	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
	,	Fc	,
q	que	CS	que
