Queridos	Queridos	VMP00PM	querer
Pays	pais	NCMP000	pai
de	de	SPS00	de
meu	meu	DP1MSS	meu
coracão	coração	NCMS000	coração
	.	Fp	.
Curacao	Curaçao	NP00000	curaçao
	,	Fc	,
18	18	Z	18
Abril	abril	NCMS000	abril
1758	1758	Z	1758
Espero	Espero	VMIP1S0	esperar
esta	esta	PD0FS000	este
a	a	DA0FS0	o
Vms	VMs	NP00000	VM
Gozando	gozando	VMG0000	gozar
saude	saúde	NCFS000	saúde
em	em	SPS00	em
compa	companhia	NCFS000	companhia
de	de	SPS00	de
meus	meus	DP1MPS	meu
estimados	estimados	VMP00PM	estimar
Irmáos	irmãos	NCMP000	irmão
	,	Fc	,
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
Ds	Deus	NP00000	deus
lhes	lhes	PP3CPD00	lhe
continue	continue	VMSP0S0	continuar
como	como	CS	como
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
dezeyjo	desejo	VMIP1S0	desejar
	.	Fp	.
Eu	Eu	PP1CSN00	eu
	,	Fc	,
a	a	SPS00	a
Ds	Deus	NP00000	deus
Gracas	graças	NCFP000	graça
	,	Fc	,
saude	saúde	NCFS000	saúde
e	e	CC	e
me	me	PP1CS000	me
recomende	recomendo	VMIP1S0	recomendar
coracão	coração	NCMS000	coração
em	em	SPS00	em
Vms	VMs	NP00000	VM
	,	Fc	,
como	como	CS	como
em	em	SPS00	em
meus	meus	DP1MPS	meu
estimados	estimados	NCMP000	estimado
Irmãos	irmãos	NCMP000	irmão
	,	Fc	,
y	e	CC	e
a	a	DA0FS0	o
Vms	VMs	NP00000	VM
em	em	SPS00	em
pedirlhes	pedir-lhes	VMN0000+PP3CPD00	pedir+lhe
suas	suas	DP3FP0	seu
bencams	bênçãos	NCFP000	bênção
com	com	SPS00	com
a	a	DA0FS0	o
de	de	SPS00	de
Ds	Deus	NP00000	deus
que	que	PR0CN000	que
me	me	PP1CS000	me
cubre	cobre	VMIP3S0	cobrir
.	.	Fp	.
como	Como	CS	como
