Recebo	Recebo	VMIP1S0	receber
hua	uma	DI0FS0	um
carta	carta	NCFS000	carta
de	de	SPS00	de
VM	VM	NP00000	VM
feita	feita	VMP00SF	fazer
em	em	SPS00	em
13	13	Z	13
deste	deste	SPS00+DD0MS0	de+este
mes	mês	NCMS000	mês
em	em	SPS00	em
Elvas	Elvas	NP00000	elvas
	,	NP00000	elvas
que	que	PR0CN000	que
festejei	festejei	VMIS1S0	festejar
mto	muito	RQ	muito
por	por	SPS00	por
me	me	PP1CS000	me
insinuar	insinuar	VMN0000	insinuar
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
boa	boa	AQ0FS0	bom
sa-ude	saúde	NCFS000	saúde
,	.	Fp	.
e	E	CC	e
falarei	falarei	VMIF1S0	falar
ás	às	SPS00+DA0FP0	a+o
pesoas	pessoas	NCFP000	pessoa
que	que	PR0CN000	que
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
pa	para	SPS00	para
efeitto	efeito	NCMS000	efeito
da	da	SPS00+DA0FS0	de+o
licença	licença	NCFS000	licença
de	de	SPS00	de
vir	vir	VMN0000	vir
a	a	SPS00	a
esta	esta	DD0FS0	este
corte	corte	NCFS000	corte
q	que	PR0CN000	que
pede	pede	VMIP3S0	pedir
,	.	Fp	.
e	E	CC	e
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
for	for	VMSF0S0	ir
do	do	SPS00+DA0MS0	de+o
servisso	serviço	NCMS000	serviço
de	de	SPS00	de
VM	VM	NP00000	VM
	,	NP00000	VM
não	não	RN	não
faltarei	faltarei	VMIF1S0	faltar
	,	Fc	,
pa	para	SPS00	para
cujo	cujo	PU0MS000	cujo
efeito	efeito	NCMS000	efeito
me	me	PP1CS000	me
achara	achará	VMIF3S0	achar
sempre	sempre	RG	sempre
com	com	SPS00	com
grande	grande	AQ0CS0	grande
vontade	vontade	NCFS000	vontade
	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
VM	VM	NP00000	VM
	.	Fp	.
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
oje	hoje	RG	hoje
16	16	Z	16
de	de	SPS00	de
Ago	agosto	NCMS000	agosto
de	de	SPS00	de
1707	1707	Z	1707
A	Amigo	NCMS000	amigo
E	e	CC	e
Capt	cativo	NCMS000	cativo
de	de	SPS00	de
VM	VM	NP00000	VM
Tristão	Tristão	NP00000	tristão
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
Sr	Senhor	NP00000	senhor
Luis	Luís	NP00000	luís
Jozeph	José	NP00000	josé
de	de	SPS00	de
Vascos	Vasconcelos	NP00000	vasconcelos
