Tenho	Tenho	VAIP1S0	ter
recebido	recebido	VMP0000	receber
algumas	algumas	PI0FP000	algum
suas	suas	DP3FP0	seu
;	,	Fc	,
as	às	SPS00+DA0FS0	a+o
quais	quais	PR0CP000	qual
agora	agora	RG	agora
respondo	respondo	VMIP1S0	responder
pois	pois	CS	pois
ainda	ainda	RG	ainda
me	me	PP1CS000	me
não	não	RN	não
foi	foi	VSIS3S0	ser
possivel	possível	AQ0CS0	possível
responderlhe	responder-lhe	VMN0000+PP3CSD00	responder+lhe
	.	Fp	.
em	Em	SPS00	em
pro	primeiro	AO0MS0	primeiro
vou	vou	VMIP1S0	ir
a	a	SPS00	a
dizerlhe	dizer-lhe	VMIP2S0+PP3CSD00	dizer+lhe
qe	que	CS	que
tenha	tenha	VMSP0S0	ter
constançia	constância	NCFS000	constância
e	e	CC	e
não	não	RN	não
se	se	P00CN000	se
desconsole	desconsole	VMSP0S0	desconsolar
	,	Fc	,
qe	que	CS	que
se	se	P00CN000	se
tem	tem	VAIP3S0	ter
visto	visto	VMP0000	ver
cazos	casos	NCMP000	caso
mto	muito	RQ	muito
mais	mais	RC	mais
feios	feios	AQ0MS0	feio
	,	Fc	,
e	e	CC	e
em	em	SPS00	em
breves	breves	AQ0CP0	breve
dias	dias	NCMP000	dia
obterem	obterem	VMN03P0	obter
liberde	liberdade	NCFS000	liberdade
	.	Fp	.
emqto	Enquanto	CS	enquanto
a	a	SPS00	a
Joaqa	Joaquina	NP00000	joaquina
	,	Fc	,
não	não	RN	não
tenha	tenha	VMSP0S0	ter
cuido	cuidado	NCMS000	cuidado
pois	pois	CS	pois
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
tem	tem	VAIP3S0	ter
contribuido	contribuído	VMP0000	contribuir
com	com	SPS00	com
o	o	DA0MS0	o
q	que	PR0CN000	que
perçiza	precisa	VMIP3S0	precisar
;	.	Fp	.
e	E	CC	e
ella	ela	PP3FS000	ele
he	é	VSIP3S0	ser
sabedora	sabedora	AQ0FS0	sabedor
das	das	SPS00+DA0FP0	de+o
cartas	cartas	NCFP000	carta
qe	que	PR0CN000	que
vmce	VM	NP00000	VM
tem	tem	VAIP3S0	ter
mandando	mandado	VMP0000	mandar
;	.	Fp	.
emqto	Enquanto	CS	enquanto
o	ao	SPS00+DA0MS0	a+o
qe	que	PR0CN000	que
manda	manda	VMIP3S0	mandar
proguntar	perguntar	VMN0000	perguntar
se	se	CSI	se
lhe	lhe	PP3CSD00	lhe
pode	pode	VMIP3S0	poder
mandar	mandar	VMN0000	mandar
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
signal	sinal	NCMS000	sinal
	,	Fc	,
mandemo	mande-mo	VMSP0S0+PP1CS000+PP3MSA00	mandar+me+o
	,	Fc	,
qe	que	CS	que
logo	logo	RG	logo
lhe	lhe	PP3CSD00	lhe
he	é	VSIP3S0	ser
intregue	entregue	VMP0000	entregar
;	.	Fp	.
e	E	CC	e
a	a	SPS00	a
respto	respeito	NCMS000	respeito
do	do	SPS00+DA0MS0	de+o
requerimto	requerimento	NCMS000	requerimento
pa	para	SPS00	para
o	o	DA0MS0	o
principe	Príncipe	NP00000	príncipe
	,	Fc	,
ja	já	RG	já
mandei	mandei	VMIS1S0	mandar
o	o	DA0MS0	o
q	que	PR0CN000	que
vmce	VM	NP00000	VM
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
ultimamte	ultimamente	RG	ultimamente
pa	para	SPS00	para
o	o	DA0MS0	o
sezinando	Sezinando	NP00000	sezinando
;	,	Fc	,
a	a	SPS00	a
ver	ver	VMN0000	ver
se	se	CSI	se
se	se	P00CN000	se
pode	pode	VMIP3S0	poder
fazer	fazer	VMN0000	fazer
alguma	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
	,	Fc	,
pois	pois	CS	pois
julgo	julgo	VMIP1S0	julgar
qe	que	CS	que
he	é	VSIP3S0	ser
a	a	DA0FS0	o
pessoa	pessoa	NCFS000	pessoa
qe	que	PR0CN000	que
vmce	VM	NP00000	VM
alega	alega	VMIS3S0	alegar
;	.	Fp	.
e	E	CC	e
jumtamte	juntamente	RG	juntamente
elle	ele	PP3MS000	ele
