M	Muito	RQ	muito
R	reverendo	AQ0MS0	reverendo
P	padre	NP00000	padre
M	mestre	NP00000	mestre
Fr	frei	NP00000	frei
Mel	Manuel	NP00000	manuel
do	do	SPS00+DA0MS0	de+o
cenaculo	Cenáculo	NP00000	cenáculo
Meu	Meu	DP1MSS	meu
P	padre	NCMS000	padre
M	mestre	AQ0CS0	mestre
	,	Fc	,
estimarei	estimarei	VMIF1S0	estimar
que	que	CS	que
vP	VP	NP00000	vp
tenha	tenha	VASP0S0	ter
passado	passado	VMP0000	passar
com	com	SPS00	com
felis	feliz	AQ0CS0	feliz
saude	saúde	NCFS000	saúde
e	e	CC	e
tivece	tivesse	VMSI0S0	ter
festas	festas	NCFP000	festa
alegres	alegres	AQ0CP0	alegre
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
julgo	julgo	VMIP1S0	julgar
pelo	pelo	SPS00+DA0MS0	por+o
contro	contrário	NCMS000	contrário
por	por	SPS00	por
cauza	causa	NCFS000	causa
da	da	SPS00+DA0FS0	de+o
desgraça	desgraça	NCFS000	desgraça
q	que	PR0CN000	que
succedeo	sucedeu	VMIS3S0	suceder
a	a	SPS00	a
meu	meu	DP1MSS	meu
P	padre	NCMS000	padre
M	mestre	AQ0CS0	mestre
dos	dos	SPS00+DA0MP0	de+o
Noviços	noviços	NCMP000	noviço
	.	Fp	.
confeço	Confesso	VMIP1S0	confessar
ao	ao	SPS00+DA0MS0	a+o
P	padre	NCMS000	padre
que	que	CS	que
me	me	PP1CS000	me
tem	tem	VAIP3S0	ter
dado	dado	VMP0000	dar
bem	bem	RG	bem
que	que	CS	que
cuidar	cuidar	VMN0000	cuidar
o	o	DA0MS0	o
dezaforo	desaforo	NCMS000	desaforo
destes	destes	SPS00+DD0MP0	de+este
maganos	maganos	NCMP000	magano
	.	Fp	.
mas	Mas	CC	mas
paciencia	paciência	NCFS000	paciência
	,	Fc	,
façace	faça-se	VMSP0S0+P00CN000	fazer+se
a	a	DA0FS0	o
vontade	vontade	NCFS000	vontade
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
e	e	CC	e
em	em	SPS00	em
elle	ele	PP3MS000	ele
espero	espero	VMIP1S0	esperar
q	que	CS	que
ha	há	VMIP3S0	haver
de	de	SPS00	de
manifestar	manifestar	VMN0000	manifestar
a	a	DA0FS0	o
verde	verdade	NCFS000	verdade
;	.	Fp	.
entendo	Entendo	VMIP1S0	entender
vP	VP	NP00000	vp
sabera	saberá	VMIF3S0	saber
o	o	DA0MS0	o
mo-tivo	motivo	NCMS000	motivo
	.	Fp	.
isto	Isto	PD0NN000	isto
não	não	RN	não
obstante	obstante	AQ0MS0	obstante
	,	Fc	,
sempre	sempre	RG	sempre
qro	quero	VMIP1S0	querer
contar	contar	VMN0000	contar
o	o	DA0MS0	o
que	que	PR0CN000	que
sei	sei	VMIP1S0	saber
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
vP	VP	NP00000	vp
ponha	ponha	VMSP0S0	pôr
la	lá	RG	lá
algun	algum	DI0MS0	algum
remedio	remédio	NCMS000	remédio
	,	Fc	,
se	se	CS	se
ahinda	ainda	RG	ainda
desse	desse	SPS00+DD0MS0	de+esse
cotto	convento	NCMS000	convento
não	não	RN	não
forão	foram	VMIS3P0	ir
ao	ao	SPS00+DA0MS0	a+o
s	Santo	AQ0MS0	santo
offo	Ofício	NP00000	ofício
	.	Fp	.
e	E	CC	e
dicime	disse-me	VMIS3S0+PP1CS000	dizer+me
o	o	DA0MS0	o
grande	grande	AQ0CS0	grande
talento	talento	NCMS000	talento
do	do	SPS00	de
Espectação	Expectação	NP00000	expectação
	,	Fc	,
Autor	autor	NCMS000	autor
da	da	SPS00+DA0FS0	de+o
obra	obra	NCFS000	obra
	,	Fc	,
que	que	CS	que
qdo	quando	CS	quando
la	lá	RG	lá
estavão	estavam	VMII3P0	estar
ahinda	ainda	RG	ainda
os	os	DA0MP0	o
dois	dois	Z	dois
so-cios	sócios	NCMP000	sócio
	,	Fc	,
Euzebio	Eusébio	NP00000	eusébio
Fr	frei	NP00000	frei
vicente	Vicente	NP00000	vicente
escrevera	escrevera	VMIM0S0	escrever
a	a	SPS00	a
Euzebio	Eusébio	NP00000	eusébio
	,	Fc	,
em	em	SPS00	em
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dezia	dizia	VMII0S0	dizer
que	que	CS	que
o	o	DA0MS0	o
P	padre	NCMS000	padre
M	mestre	AQ0CS0	mestre
dos	dos	SPS00+DA0MP0	de+o
Noviços	noviços	NCMP000	noviço
lhe	lhe	PP3CSD00	lhe
descobria	descobria	VMII0S0	descobrir
o	o	DA0MS0	o
sigilo	sigilo	NCMS000	sigilo
da	da	SPS00+DA0FS0	de+o
confição	confissão	NCFS000	confissão
,	,	Fc	,
e	e	CC	e
q	que	CS	que
vice	visse	VMSI0S0	ver
o	o	DA0MS0	o
que	que	PR0CN000	que
fazia	fazia	VMII0S0	fazer
	,	Fc	,
cujo	cujo	DT0MS0	cujo
escrito	escrito	NCMS000	escrito
leo	leu	VMIS3S0	ler
o	o	DA0MS0	o
Espectação	Expectação	NP00000	expectação
,	,	Fc	,
e	e	CC	e
q	que	CS	que
o	o	PP3MSA00	o
deo	deu	VMIS3S0	dar
ao	ao	SPS00+DA0MS0	a+o
P	padre	NCMS000	padre
Proval	provincial	AQ0CS0	provincial
actual	atual	AQ0CS0	atual
	,	Fc	,
que	que	PR0CN000	que
então	então	RG	então
hera	era	VSII0S0	ser
custodio	Custódio	NP00000	custódio
	.	Fp	.
e	E	CC	e
dizen	dizem	VMIP3P0	dizer
por	por	SPS00	por
ca	cá	RG	cá
que	que	CS	que
Fr	frei	NP00000	frei
vicente	Vicente	NP00000	vicente
tambẽ	também	RG	também
handa	anda	VMIP3S0	andar
metido	metido	VMP00SM	meter
nisto	nisto	SPS00+PD0NN000	em+isto
,	,	Fc	,
e	e	CC	e
q	que	CS	que
se	se	P00CN000	se
comresponde	corresponde	VMIP3S0	corresponder
com	com	SPS00	com
e-lles	eles	PP3MP000	ele
	.	Fp	.
individue	Individue	VMSP0S0	individuar
vP	VP	NP00000	vp
esta	esta	DD0FS0	este
couza	coisa	NCFS000	coisa
;	.	Fp	.
outra	Outra	PI0FS000	outro
ha	há	VMIP3S0	haver
q	que	CS	que
	,	Fc	,
confeçandoce	confessando-se	VMG0000+P00CN000	confessar+se
o	o	DA0MS0	o
gloria	Glória	NP00000	glória
com	com	SPS00	com
o	o	DA0MS0	o
P	padre	NCMS000	padre
M	mestre	AQ0CS0	mestre
de	de	SPS00	de
hũa	uma	DI0FS0	um
couza	coisa	NCFS000	coisa
q	que	PR0CN000	que
niguen	ninguém	PI0NN00N	ninguém
a	a	PP3FSA00	o
sabia	sabia	VMII0S0	saber
	,	Fc	,
o	o	DA0MS0	o
N	nosso	DP1MSP	nosso
P	padre	NCMS000	padre
Diffor	definidor	AQ0MS0	definidor
geral	geral	AQ0CS0	geral
	,	Fc	,
q	que	PR0CN000	que
então	então	RG	então
hera	era	VSII0S0	ser
Proval	provincial	NCMS000	provincial
	,	Fc	,
reprehendeo	repreendeu	VMIS3S0	repreender
ao	ao	SPS00+DA0MS0	a+o
gloria	Glória	NP00000	glória
	,	Fc	,
dizendo	dizendo	VMG0000	dizer
	&quot;	VMN0000	&quot;
vos	vós	PP2CP000	vós
fizestes	fizestes	VMIS2P0	fazer
tal	tal	DD0CS0	tal
couza	coisa	NCFS000	coisa
	&quot;	VMN0000	&quot;
,	.	Fp	.
e	E	CC	e
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
dice	disse	VMIS3S0	dizer
o	o	DA0MS0	o
gloria	Glória	NP00000	glória
	:	Fd	:
	&quot;	Fe	&quot;
vP	VP	NP00000	vp
não	não	RN	não
o	o	PP3MSA00	o
podia	podia	VMII0S0	poder
saber	saber	VMN0000	saber
senão	senão	CC	senão
do	do	SPS00+DA0MS0	de+o
M	mestre	NCMS000	mestre
dos	dos	SPS00+DA0MP0	de+o
Noviços	noviços	NCMP000	noviço
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
confecei	confessei	VMIS1S0	confessar
a	a	SPS00	a
elle	ele	PP3MS000	ele
,	,	Fc	,
e	e	CC	e
ninguẽ	ninguém	PI0NN00N	ninguém
mais	mais	RC	mais
o	o	PP3MSA00	o
dice	disse	VMIS3S0	dizer
	&quot;	VMN0000	&quot;
,	.	Fp	.
e	E	CC	e
dizendo	dizendo	VMG0000	dizer
eu	eu	PP1CSN00	eu
isto	isto	PD0NN000	isto
mesmo	mesmo	RG	mesmo
a	a	SPS00	a
N	nosso	DP1MSP	nosso
P	padre	NCMS000	padre
Diffor	definidor	AQ0MS0	definidor
geral	geral	AQ0CS0	geral
	,	Fc	,
me	me	PP1CS000	me
dice	disse	VMIS3S0	dizer
hera	era	VSII0S0	ser
mentira	mentira	NCFS000	mentira
,	,	Fc	,
e	e	CC	e
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
lembrava	lembrava	VMII0S0	lembrar
agora	agora	RG	agora
o	o	DA0MS0	o
que	que	PR0CN000	que
succedeo	sucedeu	VMIS3S0	suceder
com	com	SPS00	com
o	o	DA0MS0	o
Espectação	Expectação	NP00000	expectação
