Meo	Meu	DP1MSS	meu
Sr	senhor	NCMS000	senhor
	,	Fc	,
que	que	CS	que
vm	VM	NP00000	VM
logre	logre	VMSP0S0	lograr
a	a	DA0FS0	o
melhor	melhor	AQ0CS0	melhor
saude	saúde	NCFS000	saúde
	,	Fc	,
estimarey	estimarei	VMIF1S0	estimar
qto	quanto	PA000000	quanto
sou	sou	VSIP1S0	ser
obrigado	obrigado	VMP00SM	obrigar
e	e	CC	e
q	que	CS	que
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
mto	muito	RQ	muito
en	em	SPS00	em
q	que	PR0CN000	que
o	o	PP3MSA00	o
sirva	sirva	VMSP0S0	servir
.	.	Fp	.
Hontem	Ontem	RG	ontem
me	me	PP1CS000	me
chegou	chegou	VMIS3S0	chegar
a	à	SPS00+DA0FS0	a+o
mão	mão	NCFS000	mão
o	o	DA0MS0	o
escritto	escrito	NCMS000	escrito
incluzo	incluso	AQ0MSP	incluso
,	.	Fp	.
e	E	CC	e
hoje	hoje	RG	hoje
este	este	DD0MS0	este
portador	portador	NCMS000	portador
confirma	confirma	VMIP3S0	confirmar
ser	ser	VSN0000	ser
verdadro	verdadeiro	AQ0MS0	verdadeiro
	,	Fc	,
e	e	CC	e
q	que	CS	que
conheçe	conhece	VMIP3S0	conhecer
este	este	DD0MS0	este
homem	homem	NCMS000	homem
e	e	CC	e
q	que	CS	que
vio	viu	VMIS3S0	ver
a	a	DA0FS0	o
carta	carta	NCFS000	carta
de	de	SPS00	de
Cazamto	casamento	NCMS000	casamento
	.	Fp	.
pareseome	Pareceu-me	VMIS3S0+PP1CS000	parecer+me
dar	dar	VMN0000	dar
a	a	SPS00	a
Vmce	VM	NP00000	VM
esta	esta	DD0FS0	este
notiçia	notícia	NCFS000	notícia
pa	para	SPS00	para
me	me	PP1CS000	me
livrar	livrar	VMN0000	livrar
de	de	SPS00	de
todo	todo	DI0MS0	todo
descurpulo	escrúpulo	NCMS000	escrúpulo
	,	Fc	,
e	e	CC	e
Vm	VM	NP00000	VM
obrara	obrará	VMIF3S0	obrar
como	como	PA000000	como
en	em	SPS00	em
tudo	tudo	PI0NN000	tudo
costuma	costuma	VMIP3S0	costumar
,	,	Fc	,
qdo	quando	CS	quando
esta	esta	DD0FS0	este
saboeyra	saboeira	NCFS000	saboeira
não	não	RN	não
esteja	esteja	VMSP0S0	teja
recebida	recebida	VMP00SF	receber
e	e	CC	e
isto	isto	PD0NN000	isto
lhe	lhe	PP3CSD00	lhe
paressa	pareça	VMSP0S0	parecer
tenha	tenha	VMSP0S0	ter
algua	alguma	DI0FS0	algum
antide	utilidade	NCFS000	utilidade
.	.	Fp	.
Pa	Para	SPS00	para
servir	servir	VMN0000	servir
a	a	DA0FS0	o
Vm	VM	NP00000	VM
fico	fico	VMIP1S0	ficar
prompto	pronto	AQ0MS0	pronto
.	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
Vm	VM	NP00000	VM
ms	muitos	DI0MP0	muito
ans	anos	NCMP000	ano
	.	Fp	.
Meãnz	Meãs	NP00000	meãs
	,	Fc	,
17	17	Z	17
de	de	SPS00	de
Fevro	fevereiro	NCMS000	fevereiro
de	de	SPS00	de
1710	1710	Z	1710
	.	Fp	.
M	Muito	RQ	muito
A	amigo	NCMS000	amigo
e	e	CC	e
servo	servo	NCMS000	servo
de	de	SPS00	de
Vmce	VM	NP00000	VM
	,	Fc	,
O	o	DA0MS0	o
Vigro	Vigário	NP00000	vigário
Mel	Manuel	NP00000	manuel
Lopez	Lopes	NP00000	lopes
Carvo	Carvalho	NP00000	carvalho
