Minha	Minha	DP1FSS	meu
May	Mãe	NP00000	mãe
e	e	CC	e
sora	Senhora	NP00000	senhor
Vão	Vão	VMIP3P0	ir
estas	estas	PD0FP000	este
a	a	SPS00	a
procurar	procurar	VMN0000	procurar
noticias	notícias	NCFP000	notícia
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
q	que	CS	que
	,	Fc	,
como	como	CS	como
p	por	SPS00	por
nenhum	nenhum	DI0MS0	nenhum
caminho	caminho	NCMS000	caminho
as	as	PP3FPA00	o
posso	posso	VMIP1S0	poder
alcancar	alcançar	VMN0000	alcançar
	,	Fc	,
p	por	SPS00	por
este	este	PD0MS000	este
quero	quero	VMIP1S0	querer
ver	ver	VMN0000	ver
se	se	CSI	se
logro	logro	VMIP1S0	lograr
esta	esta	DD0FS0	este
furtuna	fortuna	NCFS000	fortuna
	,	Fc	,
q	que	CS	que
	,	Fc	,
como	como	CS	como
he	é	VSIP3S0	ser
o	o	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
dezejo	desejo	VMIP1S0	desejar
	,	Fc	,
não	não	RN	não
me	me	PP1CS000	me
fica	fica	VMIP3S0	ficar
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
apetecer	apetecer	VMN0000	apetecer
outra	outra	DI0FS0	outro
couza	coisa	NCFS000	coisa
.	.	Fp	.
eu	Eu	PP1CSN00	eu
ao	ao	SPS00+DA0MS0	a+o
prezte	presente	NCMS000	presente
	,	Fc	,
Deos	Deus	NP00000	deus
louvado	louvado	VMP00SM	louvar
	,	Fc	,
fico	fico	VMIP1S0	ficar
bem disposto	bem-disposto	AQ0MS0	bem-disposto
	.	Fp	.
entendo	Entendo	VMIP1S0	entender
q	que	CS	que
p	por	SPS00	por
oracoens	orações	NCFP000	oração
de	de	SPS00	de
Vm	VM	NP00000	VM
pois	pois	CS	pois
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
posso	posso	VMIP1S0	poder
encarecer	encarecer	VMN0000	encarecer
as	as	DA0FP0	o
merces	mercês	NCFP000	mercê
q	que	PR0CN000	que
me	me	PP1CS000	me
faz	faz	VMIP3S0	fazer
	.	Fp	.
só	Só	RG	só
vivo	vivo	VMIP1S0	viver
escandilizado	escandalizado	VMP00SM	escandalizar
dessa	dessa	SPS00+DD0FS0	de+esse
terra	terra	NCFS000	terra
não	não	RN	não
haver	haver	VMN0000	haver
hua	uma	DI0FS0	um
pessoa	pessoa	NCFS000	pessoa
q	que	PR0CN000	que
se	se	P00CN000	se
lembre	lembre	VMSP0S0	lembrar
de	de	SPS00	de
mỹ	mim	PP1CSO00	mim
com	com	SPS00	com
duas	duas	Z	duas
regras	regras	NCFP000	regra
nas	nas	SPS00+DA0FP0	em+o
monçoens	monções	NCFP000	monção
das	das	SPS00+DA0FP0	de+o
Naos	naus	NCFP000	nau
q	que	PR0CN000	que
vem	vêm	VMIP3S0	vir
desse	desse	SPS00+DD0MS0	de+esse
Estado	Estado	NP00000	estado
pois	pois	CS	pois
entenda	entenda	VMSP0S0	entender
q	que	CS	que
qm	quem	PR0CN000	quem
vem	vem	VMIP3S0	vir
pa	para	SPS00	para
a	a	DA0FS0	o
India	Índia	NP00000	índia
logo	logo	RG	logo
morre	morre	VMIP3S0	morrer
	,	Fc	,
mas	mas	CC	mais
eu	eu	PP1CSN00	eu
digo	digo	VMIP1S0	dizer
q	que	CS	que
não	não	RN	não
morrem	morrem	VMIP3P0	morrer
senão	senão	CC	senão
pa	para	SPS00	para
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
parentes	parentes	NCMP000	parente
pois	pois	CS	pois
de	de	SPS00	de
nenhum	nenhum	PI0MS00N	nenhum
mais	mais	RC	mais
he	é	VSIP3S0	ser
lembrado	lembrado	VMP00SM	lembrar
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
todos	todos	PI0MP000	todo
tem	têm	VMIP3P0	ter
rezão	razão	NCFS000	razão
pq	porque	CS	porque
todos	todos	PI0MP000	todo
de	de	SPS00	de
mỹ	mim	PP1CSO00	mim
vivião	viviam	VMII3P0	viver
escandelizados	escandalizados	VMP00PM	escandalizar
.	.	Fp	.
aqui	Aqui	RG	aqui
me	me	PP1CS000	me
chegou	chegou	VMIS3S0	chegar
esta	esta	DD0FS0	este
monção	monção	NCFS000	monção
passada	passada	VMP00SF	passar
hũa	uma	DI0FS0	um
carta	carta	NCFS000	carta
de	de	SPS00	de
Jacinto	Jacinto	NP00000	jacinto
Cordeyro	Cordeiro	NP00000	cordeiro
,	,	Fc	,
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
vinha	vinha	VMII0S0	vir
remetida	remetida	VMP00SF	remeter
a	a	SPS00	a
Antonio	António	NP00000	antónio
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
,	,	Fc	,
em	em	SPS00	em
sua	sua	DP3FS0	seu
auzca	ausência	NCFS000	ausência
a	a	SPS00	a
mỹ	mim	PP1CSO00	mim
,	,	Fc	,
e	e	CC	e
nella	nela	SPS00+PP3FS000	em+ele
procurava	procurava	VMII0S0	procurar
hũa	uma	DI0FS0	um
enformação	informação	NCFS000	informação
,	,	Fc	,
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
achava	achava	VMII0S0	achar
pa	para	SPS00	para
embarcar	embarcar	VMN0000	embarcar
	,	Fc	,
foime	foi-me	VSIS3S0+PP1CS000	ser+me
precizo	preciso	AQ0MS0	preciso
valerme	valer-me	VMN0000+PP1CS000	valer+me
de	de	SPS00	de
Fr	Frei	NP00000	frei
Manuel	Manuel	NP00000	manuel
	,	Fc	,
o	o	DA0MS0	o
fo	filho	NCMS000	filho
do	do	SPS00+DA0MS0	de+o
Guerreiro	Guerreiro	NP00000	guerreiro
	,	Fc	,
pa	para	SPS00	para
negociar	negociar	VMN0000	negociar
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
pedia	pedia	VMII0S0	pedir
,	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
este	este	DD0MS0	este
frade	frade	NCMS000	frade
agora	agora	RG	agora
vai	vai	VMIP3S0	ir
pa	para	SPS00	para
essa	essa	DD0FS0	esse
terra	terra	NCFS000	terra
	,	Fc	,
leva	leva	VMIP3S0	levar
negociado	negociado	VMP00SM	negociar
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
pedia	pedia	VMII0S0	pedir
.	,	Fc	,
pqto	porquanto	CS	porquanto
Anto	António	NP00000	antónio
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
ja	já	RG	já
