O	O	DA0MS0	o
tal	tal	DD0CS0	tal
cogeito	sujeito	NCMS000	sujeito
xhamas	chama-se	VMIP3S0+P00CN000	chamar+se
Pradre	padre	NP00000	padre
Antonio	António	NP00000	antónio
	,	Fc	,
morador	morador	NCMS000	morador
na	na	SPS00+DA0FS0	em+o
fregezia	freguesia	NCFS000	freguesia
de	de	SPS00	de
santo	Santo	NP00000	santo
andre	André	NP00000	andré
	,	Fc	,
a	a	SPS00	a
q	que	PR0CN000	que
ovio	ouviu	VMIS3S0	ouvir
q	que	PR0CN000	que
se	se	P00CN000	se
refere	refere	VMIP3S0	referir
no	no	SPS00+DA0MS0	em+o
papel	papel	NCMS000	papel
amclluze	incluso	AQ0MS0	incluso
	.	Fp	.
chamome	Chamo-me	VMIP1S0+PP1CS000	chamar+me
...	...	Fs	...
.	,	Fc	,
vilha	filha	NCFS000	filho
de	de	SPS00	de
...	...	Fs	...
.	,	Fc	,
Moradora	moradora	NCFS000	morador
em	em	SPS00	em
...	...	Fs	...
.	.	Fp	.
Matilde	Matilde	NP00000	Matilde
