Sor	Senhor	NP00000	senhor
Rdo	Reverendo	NP00000	reverendo
abbe	Abade	NP00000	abade
	,	Fc	,
fui	fui	VMIS1S0	ir
a	a	SPS00	a
Villa	Vila	NP00000	vila
Berde	Verde	NP00000	verde
procurar	procurar	VMN0000	procurar
o	o	DA0MS0	o
que	que	PR0CN000	que
ajustamos	ajustámos	VMIS1P0	ajustar
	.	Fp	.
tibi	Tive	VMIS1S0	ter
a	a	DA0FS0	o
desgracia	desgraça	NCFS000	desgraça
de	de	SPS00	de
o	o	PP3MSA00	o
não	não	RN	não
achar	achar	VMN0000	achar
	.	Fp	.
por	Por	SPS00	por
essa	essa	DD0FS0	esse
Rezão	razão	NCFS000	razão
,	,	Fc	,
não	não	RN	não
fui	fui	VMIS1S0	ir
dar	dar	VMN0000	dar
conta	conta	NCFS000	conta
de	de	SPS00	de
mim	mim	PP1CSO00	mim
a	a	SPS00	a
Vmce	VM	NP00000	VM
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
tornei	tornei	VMIS1S0	tornar
pa	para	SPS00	para
caza	casa	NCFS000	casa
	.	Fp	.
como	Como	CS	como
tãobem	também	RG	também
me	me	PP1CS000	me
dissi	disse	VMIS3S0	dizer
o	o	DA0MS0	o
estanquiro	estanqueiro	NCMS000	estanqueiro
q	que	CS	que
athe	até	SPS00	até
dia	dia	NCMS000	dia
de	de	SPS00	de
feira	feira	NCFS000	feira
não	não	RN	não
tinha	tinha	VMII0S0	ter
tabaco	tabaco	NCMS000	tabaco
de	de	SPS00	de
caste	casta	NCFS000	casta
algua	alguma	DI0FS0	algum
	,	Fc	,
darei	darei	VMIF1S0	dar
conta	conta	NCFS000	conta
a	a	SPS00	a
Vmce	VM	NP00000	VM
	.	Fp	.
o	O	DA0MS0	o
mais	mais	NCMS000	mais
em	em	SPS00	em
q	que	PR0CN000	que
fallamos	falámos	VMIS1P0	falar
darei	darei	VMIF1S0	dar
Reposta	resposta	NCFS000	resposta
a	a	SPS00	a
Vmce	VM	NP00000	VM
	,	Fc	,
sendo	sendo	VSG0000	ser
que	que	CS	que
eu	eu	PP1CSN00	eu
bem	bem	RG	bem
sei	sei	VMIP1S0	saber
que	que	CS	que
Vmce	VM	NP00000	VM
pa	para	SPS00	para
comigo	comigo	SPS00+PP1CSO00	com+mim
sempre	sempre	RG	sempre
esta	está	VMIP3S0	estar
descomfiado	desconfiado	VMP00SM	desconfiar
	.	Fp	.
essa	Essa	DD0FS0	esse
descomfianssa	desconfiança	NCFS000	desconfiança
me	me	PP1CS000	me
fas	faz	VMIP3S0	fazer
a	a	SPS00	a
mim	mim	PP1CSO00	mim
descomfiar	desconfiar	VMN0000	desconfiar
	,	Fc	,
mostrado	mostrando	VMG0000	mostrar
eu	eu	PP1CSN00	eu
tudo	tudo	PI0NN000	tudo
a	a	SPS00	a
Vmce	VM	NP00000	VM
a	à	SPS00+DA0FS0	a+o
Vista	vista	NCFS000	vista
dos	dos	SPS00+DA0MP0	de+o
olhos	olhos	NCMP000	olho
e	e	CC	e
obrando	obrando	VMG0000	obrar
	.	Fp	.
eu	Eu	PP1CSN00	eu
o	o	PP3MSA00	o
tenho	tenho	VAIP1S0	ter
obrado	obrado	VMP0000	obrar
com	com	SPS00	com
Vmce	VM	NP00000	VM
como	como	CS	como
tãobem	também	RG	também
ca	cá	RG	cá
o	o	PP3MSA00	o
tenho	tenho	VAIP1S0	ter
obrado	obrado	VMP0000	obrar
com	com	SPS00	com
mais	mais	RC	mais
trabalho	trabalho	NCMS000	trabalho
do	do	SPS00+DA0MS0	de+o
que	que	CS	que
lla	lá	RG	lá
	.	Fp	.
he	É	VSIP3S0	ser
berdade	verdade	NCFS000	verdade
que	que	CS	que
agora	agora	RG	agora
na	na	SPS00+DA0FS0	em+o
minha	minha	DP1FSS	meu
mão	mão	NCFS000	mão
esta	está	VMIP3S0	estar
o	o	DA0MS0	o
bozillis	busílis	NCMS000	busílis
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Remedio	remédio	NCMS000	remédio
todo	todo	AQ0MS0	todo
pa	para	SPS00	para
o	o	DA0MS0	o
acabar	acabar	VMN0000	acabar
de	de	SPS00	de
o	o	DA0MS0	o
por	pôr	VMN0000	pôr
como	como	CS	como
dantes	antes	RG	antes
hera	era	VSII0S0	ser
	,	Fc	,
porque	porque	CS	porque
agora	agora	RG	agora
mando	mando	VMIP1S0	mandar
a	a	SPS00	a
Vmce	VM	NP00000	VM
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
desemgano	desengano	NCMS000	desengano
	.	Fp	.
Sabera	Saberá	VMIF3S0	saber
Vmce	VM	NP00000	VM
mais	mais	RC	mais
que	que	CS	que
tem	tem	VMIP3S0	ter
outra	outra	DI0FS0	outro
lanssa	lança	NCFS000	lança
emcarada	encarada	VMP00SF	encarar
ao	ao	SPS00+DA0MS0	a+o
seu	seu	DP3MS0	seu
peito	peito	NCMS000	peito
na	na	SPS00+DA0FS0	em+o
mesma	mesma	AQ0FS0	mesmo
frga	freguesia	NCFS000	freguesia
	,	Fc	,
a	a	DA0FS0	o
coal	qual	PR0CS000	qual
amostrarei	mostrarei	VMIF1S0	mostrar
a	a	SPS00	a
Vmce	VM	NP00000	VM
a	à	SPS00+DA0FS0	a+o
bista	vista	NCFS000	vista
dos	dos	SPS00+DA0MP0	de+o
olhos	olhos	NCMP000	olho
	,	Fc	,
claramte	claramente	RG	claramente
a	à	SPS00+DA0FS0	a+o
vista	vista	NCFS000	vista
dos	dos	SPS00+DA0MP0	de+o
olhos	olhos	NCMP000	olho
	,	Fc	,
com	com	SPS00	com
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
seguranssa	segurança	NCFS000	segurança
	,	Fc	,
porque	porque	CS	porque
pode	pode	VMIP3S0	poder
Vmce	VM	NP00000	VM
emtender	entender	VMN0000	entender
q	que	CS	que
não	não	RN	não
tebi	tive	VMIS1S0	ter
corasão	coração	NCMS000	coração
que	que	PR0CN000	que
falte	falte	VMSP0S0	faltar
a	a	SPS00	a
menha	minha	DP1FSS	meu
pesoa	pessoa	NCFS000	pessoa
	,	Fc	,
sendo	sendo	VSG0000	ser
eu	eu	PP1CSN00	eu
tão	tão	RC	tão
lial	leal	AQ0CS0	leal
a	a	SPS00	a
sua	sua	DP3FS0	seu
pessoa	pessoa	NCFS000	pessoa
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
eu	eu	PP1CSN00	eu
não	não	RN	não
torno	torno	VMIP1S0	tornar
a	a	SPS00	a
ser	ser	VSN0000	ser
mais	mais	RC	mais
empertinente	impertinente	AQ0CS0	impertinente
a	a	SPS00	a
sua	sua	DP3FS0	seu
pessoa	pessoa	NCFS000	pessoa
	.	Fp	.
como	Como	CS	como
a	a	DA0FS0	o
Desconfeansa	desconfiança	NCFS000	desconfiança
he	é	VSIP3S0	ser
grande	grande	AQ0CS0	grande
	,	Fc	,
fequemos	fiquemos	VMSP1P0	ficar
nos	nós	PP1CP000	nós
asim	assim	RG	assim
	,	Fc	,
e	e	CC	e
	,	Fc	,
se	se	CS	se
Vmce	VM	NP00000	VM
quer	quer	VMIP3S0	querer
outra	outra	DI0FS0	outro
couza	coisa	NCFS000	coisa
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
fraco	fraco	AQ0MS0	fraco
prestimo	préstimo	NCMS000	préstimo
	,	Fc	,
he	é	VSIP3S0	ser
com	com	SPS00	com
este	este	DD0MS0	este
partido	partido	NCMS000	partido
que	que	CS	que
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
Rellato	relato	VMIP1S0	relatar
a	a	SPS00	a
Vmce	VM	NP00000	VM
	,	Fc	,
sem	sem	SPS00	sem
imfingisão	infingição	NCFS000	infingição
alguma	alguma	DI0FS0	algum
	.	Fp	.
Vmce	VM	NP00000	VM
deume	deu-me	VMIS3S0+PP1CS000	dar+me
seis	seis	Z	seis
mil	mil	Z	mil
e	e	CC	e
coatrosentos	quatrocentos	Z	quatrocentos
Reis	réis	NCMP000	réis
pello	pelo	SPS00+DA0MS0	por+o
meu	meu	DP1MSS	meu
trabalho	trabalho	NCMS000	trabalho
e	e	CC	e
me	me	PP1CS000	me
dissi	disse	VMIS3S0	dizer
que	que	CS	que
me	me	PP1CS000	me
abia	havia	VMII0S0	haver
de	de	SPS00	de
dar	dar	VMN0000	dar
mais	mais	RC	mais
tres	três	Z	três
moedas	moedas	NCFP000	moeda
	.	Fp	.
eu	Eu	PP1CSN00	eu
sou	sou	VSIP1S0	ser
como	como	CS	como
os	os	DA0MP0	o
pobres	pobres	NCCP000	pobre
	.	Fp	.
tenho	Tenho	VMIP1S0	ter
olho	olho	NCMS000	olho
por	por	SPS00	por
aquillo	aquilo	PD0NN000	aquilo
q	que	PR0CN000	que
me	me	PP1CS000	me
pormetem	prometem	VMIP3P0	prometer
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
não	não	RN	não
quero	quero	VMIP1S0	querer
as	as	DA0FP0	o
tres	três	Z	três
moeDas	moedas	NCFP000	moeda
	,	Fc	,
so	só	RG	só
sim	sim	RG	sim
quero	quero	VMIP1S0	querer
mais	mais	RC	mais
huã	uma	DI0FS0	um
moeDa	moeda	NCFS000	moeda
de	de	SPS00	de
ouro	ouro	NCMS000	ouro
e	e	CC	e
hua	uma	DI0FS0	um
bestia	bestia	NCFS000	bestia
preta	preta	AQ0FS0	preto
que	que	PR0CN000	que
Vmce	VM	NP00000	VM
tem	tem	VMIP3S0	ter
	.	Fp	.
querendo	Querendo	VMG0000	querer
Vmce	VM	NP00000	VM
asim	assim	RG	assim
	,	Fc	,
este	este	DD0MS0	este
pedido	pedido	NCMS000	pedido
o	o	PP3MSA00	o
mandara	mandará	VMIF3S0	mandar
Vmce	VM	NP00000	VM
por	por	SPS00	por
joze	José	NP00000	josé
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
em	em	SPS00	em
sagredo	segredo	NCMS000	segredo
e	e	CC	e
por	por	SPS00	por
esta	esta	PD0FS000	este
o	o	PP3MSA00	o
porei	porei	VMIF1S0	pôr
e	e	CC	e
acabarei	acabarei	VMIF1S0	acabar
de	de	SPS00	de
por	pôr	VMN0000	pôr
a	a	DA0FS0	o
pas	paz	NCFS000	paz
e	e	CC	e
a	a	SPS00	a
Salvo	salvo	AQ0MS0	salvo
	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
portador	portador	NCMS000	portador
que	que	PR0CN000	que
trouger	trouxer	VMSF0S0	trazer
a	a	DA0FS0	o
emcomenda	encomenda	NCFS000	encomenda
não	não	RN	não
me	me	PP1CS000	me
emtregue	entregue	VMSP0S0	entregar
nada	nada	PI0NN00N	nada
athe	até	SPS00	até
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
fazer	fazer	VMN0000	fazer
hũ	um	DI0MS0	um
asinado	assinado	NCMS000	assinado
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
tem	tem	VAIP3S0	ter
dado	dado	VMP0000	dar
Vmce	VM	NP00000	VM
	,	Fc	,
porque	porque	CS	porque
em	em	SPS00	em
que	que	PR0CN000	que
Vmce	VM	NP00000	VM
me	me	PP1CS000	me
dera	dera	VMIM0S0	dar
a	a	DA0FS0	o
Renda	renda	NCFS000	renda
de	de	SPS00	de
hũ	um	DI0MS0	um
anno	ano	NCMS000	ano
	,	Fc	,
ahinda	ainda	RG	ainda
me	me	PP1CS000	me
não	não	RN	não
pasaba	passava	VMII0S0	passar
	,	Fc	,
ballendolhe	valendo-lhe	VMG0000+PP3CSD00	valer+lhe
eu	eu	PP1CSN00	eu
a	a	SPS00	a
sua	sua	DP3FS0	seu
bida	vida	NCFS000	vida
depois	depois	RG	depois
de	de	SPS00	de
deos	Deus	NP00000	deus
	.	Fp	.
não	Não	RN	não
o	o	PP3MSA00	o
quero	quero	VMIP1S0	querer
molestar	molestar	VMN0000	molestar
mais	mais	RC	mais
a	a	SPS00	a
Vmce	VM	NP00000	VM
	.	Fp	.
Vmce	VM	NP00000	VM
fara	fará	VMIF3S0	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
parecer	parecer	VMN0000	parecer
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
ponho	ponho	VMIP1S0	pôr
a	a	DA0FS0	o
espada	espada	NCFS000	espada
nos	nos	SPS00+DA0MP0	em+o
peitos	peitos	NCMP000	peito
	.	Fp	.
oje	Hoje	RG	hoje
	,	Fc	,
seis	seis	Z	seis
de	de	SPS00	de
Dezoitubro	outubro	NCMS000	outubro
de	de	SPS00	de
i	mil	Z	mil
e	e	CC	e
setesentos	setecentos	Z	setecentos
e	e	CC	e
sincoenta	cinquenta	Z	cinquenta
e	e	CC	e
dois	dois	Z	dois
a	anos	NCMP000	ano
	.	Fp	.
deste	Deste	SPS00+DD0MS0	de+este
seu	seu	DP3MS0	seu
criado	criado	NCMS000	criado
e	e	CC	e
