manden me	Mandem-me	VMSP3P0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
se	se	CSI	se
tera	terá	VMIF3S0	ter
aImda	ainda	RG	ainda
Alg	algum	DI0MS0	algum
Remedio	remédio	NCMS000	remédio
o	o	DA0MS0	o
poder	poder	VMN0000	poder
Eu	eu	PP1CSN00	eu
daqui	daqui	SPS00+RG	de+aqui
sahir	sair	VMN0000	sair
,	,	Fc	,
porq	porque	CS	porque
Imtendo	entendo	VMIP1S0	entender
q	que	CS	que
	,	Fc	,
se	se	CS	se
aseitase	aceitasse	VMSI0S0	aceitar
a	a	DA0FS0	o
culpa	culpa	NCFS000	culpa
,	,	Fc	,
me	me	PP1CS000	me
purião	poriam	VMIC3P0	pôr
fora	fora	RG	fora
,	.	Fp	.
mandem	Mandem	VMSP3P0	mandar
dizer	dizer	VMN0000	dizer
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
parese	parece	VMIP3S0	parecer
,	.	Fp	.
e	E	CC	e
Emqto	enquanto	CS	enquanto
daqui	daqui	SPS00+RG	de+aqui
me	me	PP1CS000	me
não	não	RN	não
mudarem	mudarem	VMSF3P0	mudar
	,	Fc	,
Esta	esta	DD0FS0	este
mosa	moça	NCFS000	moça
	,	Fc	,
Imtemdo	entendo	VMIP1S0	entender
	,	Fc	,
trara	trará	VMIF3S0	trazer
nota	notícia	NCFS000	notícia
	.	Fp	.
paguemlhem	Paguem-lhe	VMSP3P0+PP3CSD00	pagar+lhe
bem	bem	RG	bem
	.	Fp	.
pa	Para	SPS00	para
outra	outra	PI0FS000	outro
	,	Fc	,
serei	serei	VSIF1S0	ser
largo	largo	AQ0MS0	largo
	.	Fp	.
sigão	Sigam	VMSP3P0	seguir
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dise	disse	VMIS3S0	dizer
a	a	SPS00	a
Respto	respeito	NCMS000	respeito
de	de	SPS00	de
ma	minha	DP1FSS	meu
cunhada	cunhada	NCFS000	cunhado
	.	Fp	.
E	E	CC	e
se	se	CS	se
não	não	RN	não
me	me	PP1CS000	me
mandarem	mandarem	VMSF3P0	mandar
outra	outra	DI0FS0	outro
Rezolução	resolução	NCFS000	resolução
com	com	SPS00	com
serteza	certeza	NCFS000	certeza
	,	Fc	,
e	e	CC	e
q	que	CS	que
seja	seja	VSSP0S0	ser
Emtregue	entregue	VMP00S0	entregar
della	dela	SPS00+PP3FS000	de+ele
	,	Fc	,
q	que	CS	que
não	não	RN	não
o	o	PP3MSA00	o
semdo	sendo	VSG0000	ser
	,	Fc	,
sigo	sigo	VMIP1S0	seguir
o	o	DA0MS0	o
dto	dito	VMP00SM	dizer
	.	Fp	.
Em	Em	SPS00	em
ma	minha	DP1FSS	meu
Mai	mãe	NCFS000	mãe
	,	Fc	,
temdo	tendo	VMG0000	ter
coalquer	qualquer	DI0CS0	qualquer
capaside	capacidade	NCFS000	capacidade
	,	Fc	,
leven na	levem-na	VMSP3P0+PP3FSA00	levar+o
as	às	SPS00+DA0FP0	a+o
caldas	caldas	NCFP000	caldas
com	com	SPS00	com
hua	uma	DI0FS0	um
Reseita	receita	NCFS000	receita
mto	muito	RQ	muito
bem	bem	RG	bem
feita	feita	VMP00SF	fazer
,	.	Fp	.
e	E	CC	e
q	que	CS	que
se	se	P00CN000	se
lembre	lembre	VMSP0S0	lembrar
de	de	SPS00	de
meu	meu	DP1MSS	meu
Pai	pai	NCMS000	pai
	,	Fc	,
com	com	SPS00	com
serteza	certeza	NCFS000	certeza
;	.	Fp	.
vmces	VMs	NP00000	VM
la	lá	RG	lá
governem	governem	VMSP3P0	governar
isso	isso	PD0NN000	isso
como	como	SPS00	como
couza	coisa	NCFS000	coisa
sua	sua	DP3FS0	seu
,	.	Fp	.
deme	Dê-me	VMSP0S0+PP1CS000	dar+me
ms	muitos	DI0MP0	muito
Recados	recados	NCMP000	recado
a	a	SPS00	a
franco	Francisco	NP00000	francisco
gomes	Gomes	NP00000	gomes
,	,	Fc	,
e	e	CC	e
a	a	SPS00	a
hyero	Jerónimo	NP00000	jerónimo
	,	Fc	,
seu	seu	DP3MS0	seu
Irmao	irmão	NCMS000	irmão
E	e	CC	e
aos	aos	SPS00+DA0MP0	a+o
2	2	Z	2
medicos	médicos	NCMP000	médico
de	de	SPS00	de
pel	Pinhel	NP00000	pinhel
e	e	CC	e
franco	Francisco	NP00000	francisco
vas	Vaz	NP00000	vaz
Pra	Pereira	NP00000	pereira
	,	Fc	,
Ro	Rodrigo	NP00000	rodrigo
vas	Vaz	NP00000	vaz
,	,	Fc	,
Po	Pedro	NP00000	pedro
furtado	Furtado	NP00000	furtado
e	e	CC	e
seu	seu	DP3MS0	seu
Irmao	irmão	NCMS000	irmão
	.	Fp	.
E	E	CC	e
por	por	SPS00	por
Esta	esta	DD0FS0	este
mosa	moça	NCFS000	moça
mandem	mandem	VMSP3P0	mandar
notisias	notícias	NCFP000	notícia
,	.	Fp	.
mais	Mais	RC	mais
me	me	PP1CS000	me
não	não	RN	não
lembra	lembra	VMIP3S0	lembrar
nimgem	ninguém	PI0NN00N	ninguém
	.	Fp	.
