Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Como	Como	SPS00	como
meu	meu	DP1MSS	meu
Irmão	irmão	NCMS000	irmão
	,	Fc	,
o	o	DA0MS0	o
sr	Senhor	NP00000	senhor
Bispo	Bispo	NP00000	bispo
que	que	PR0CN000	que
Deos	Deus	NP00000	deus
tem	tem	VMIP3S0	ter
	,	Fc	,
me	me	PP1CS000	me
nomeou	nomeou	VMIS3S0	nomear
por	por	SPS00	por
seu	seu	DP3MS0	seu
herdro	herdeiro	NCMS000	herdeiro
	,	Fc	,
com	com	SPS00	com
obrigam	obrigação	NCFS000	obrigação
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
algumas	algumas	DI0FP0	algum
dividas	dívidas	NCFP000	dívida
contrahidas	contraídas	VMP00PF	contrair
antes	antes	RG	antes
de	de	SPS00	de
entrar	entrar	VMN0000	entrar
no	no	SPS00+DA0MS0	em+o
Bispado	bispado	NCMS000	bispado
;	,	Fc	,
e	e	CC	e
dezejando	desejando	VMG0000	desejar
eu	eu	PP1CSN00	eu
mto	muito	RQ	muito
dar	dar	VMN0000	dar
cumprimto	cumprimento	NCMS000	cumprimento
às	às	SPS00+DA0FP0	a+o
suas	suas	DP3FP0	seu
dispoziçoens	disposições	NCFP000	disposição
quanto	quanto	PR0CN000	quanto
mais	mais	RC	mais
depreça	depressa	RG	depressa
for	for	VSSF0S0	ser
possivel	possível	AQ0CS0	possível
,	,	Fc	,
o	o	PP3MSA00	o
não	não	RN	não
posso	posso	VMIP1S0	poder
fazer	fazer	VMN0000	fazer
sem	sem	SPS00	sem
q	que	CS	que
VSa	VSa	NP00000	VSa
tenha	tenha	VMSP0S0	ter
a	a	DA0FS0	o
bonde	bondade	NCFS000	bondade
de	de	SPS00	de
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
entregar	entregar	VMN0000	entregar
a	a	DA0FS0	o
importancia	importância	NCFS000	importância
do	do	SPS00+DA0MS0	de+o
inventario	inventário	NCMS000	inventário
com	com	SPS00	com
que	que	PR0CN000	que
elle	ele	PP3MS000	ele
entrou	entrou	VMIS3S0	entrar
nessa	nessa	SPS00+DD0FS0	em+esse
Igra	Igreja	NP00000	igreja
;	,	Fc	,
em	em	SPS00	em
que	que	PR0CN000	que
não	não	RN	não
pode	pode	VMIP3S0	poder
haver	haver	VMN0000	haver
duvida	dúvida	NCFS000	dúvida
que	que	PR0CN000	que
seja	seja	VSSP0S0	ser
bem	bem	RG	bem
fundada	fundada	VMP00SF	fundar
,	.	Fp	.
e	E	CC	e
como	como	CS	como
cuido	cuido	VMIP1S0	cuidar
conformarme	conformar-me	VMN0000+PP1CS000	conformar+me
sempre	sempre	RG	sempre
com	com	SPS00	com
as	as	DA0FP0	o
rezoluçoens	resoluções	NCFP000	resolução
de	de	SPS00	de
VSa	VSa	NP00000	VSa
;	,	Fc	,
Sendo	sendo	VSG0000	ser
certo	certo	AQ0MS0	certo
que	que	CS	que
hão	hão	VMIP3P0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
as	as	DA0FP0	o
mais	mais	RC	mais
justas	justas	AQ0FP0	justo
,	,	Fc	,
tudo	tudo	PI0NN000	tudo
ponho	ponho	VMIP1S0	pôr
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
concideração	consideração	NCFS000	consideração
	,	Fc	,
por	por	SPS00	por
evitar	evitar	VMN0000	evitar
qualquer	qualquer	DI0CS0	qualquer
insidente	incidente	NCMS000	incidente
que	que	PR0CN000	que
altere	altere	VMIP3S0	alterer
a	a	DA0FS0	o
boa	boa	AQ0FS0	bom
armonia	harmonia	NCFS000	harmonia
com	com	SPS00	com
que	que	PR0CN000	que
se	se	P00CN000	se
podem	podem	VMIP3P0	poder
ajustar	ajustar	VMN0000	ajustar
todas	todas	DI0FP0	todo
estas	estas	DD0FP0	este
dependencias	dependências	NCFP000	dependência
.	.	Fp	.
Quando	Quando	CS	quando
daqui	daqui	SPS00+RG	de+aqui
foi	foi	VMIS3S0	ir
a	a	DA0FS0	o
primra	primeira	AQ0FS0	primeiro
ves	vez	NCFS000	vez
	,	Fc	,
o	o	DA0MS0	o
sr	Senhor	NP00000	senhor
Bispo	Bispo	NP00000	bispo
levou	levou	VMIS3S0	levar
huns	uns	DI0MP0	um
pannos	panos	NCMP000	pano
de	de	SPS00	de
Raz	raz	NCMS000	raz
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
havia	havia	VAII0S0	haver
emprestado	emprestado	VMP0000	emprestar
,	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
elle	ele	PP3MS000	ele
se	se	P00CN000	se
servia	servia	VMII0S0	servir
,	,	Fc	,
havia	havia	VMII0S0	haver
mto	muito	DI0MS0	muito
tempo	tempo	NCMS000	tempo
,	,	Fc	,
nas	nas	SPS00+DA0FP0	em+o
suas	suas	DP3FP0	seu
cazas	casas	NCFP000	casa
da	da	SPS00+DA0FS0	de+o
Inquisição	Inquisição	NP00000	inquisição
:	.	Fp	.
também	Também	RG	também
levou	levou	VMIS3S0	levar
dous	dois	Z	dois
fruteiros	fruteiros	NCMP000	fruteiro
dourados	dourados	AQ0MP0	dourado
que	que	PR0CN000	que
me	me	PP1CS000	me
pertencem	pertencem	VMIP3P0	pertencer
,	,	Fc	,
como	como	PA000000	como
adquiridos	adquiridos	VMP00PM	adquirir
antes	antes	RG	antes
de	de	SPS00	de
Bispo	Bispo	NP00000	bispo
.	.	Fp	.
Meu	Meu	DP1MSS	meu
Primo	primo	NCMS000	primo
	,	Fc	,
o	o	DA0MS0	o
sr	Senhor	NP00000	senhor
Bispo	Bispo	NP00000	bispo
D	Dom	NP00000	dom
Joseph	José	NP00000	josé
de	de	SPS00	de
Souza	Sousa	NP00000	sousa
de	de	SPS00	de
Castello	Castelo	NP00000	castelo
branco	Branco	NP00000	branco
	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
sr	Senhor	NP00000	senhor
Nuno	Nuno	NP00000	nuno
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
Telles	Teles	NP00000	teles
lhe	lhe	PP3CSD00	lhe
derão	deram	VMIS3P0	dar
alguns	alguns	DI0MP0	algum
livros	livros	NCMP000	livro
,	,	Fc	,
que	que	PR0CN000	que
	,	Fc	,
por	por	SPS00	por
este	este	DD0MS0	este
principio	princípio	NCMS000	princípio
	,	Fc	,
não	não	RN	não
tocão	tocam	VMIP3P0	tocar
à	à	SPS00+DA0FS0	a+o
Mitra	Mitra	NCFS000	mitra
:	.	Fp	.
sendo	Sendo	VSG0000	ser
VSa	VSa	NP00000	VSa
servido	servido	VMP00SM	servir
admitir	admitir	VMN0000	admitir
estas	estas	DD0FP0	este
justeficaçoens	justificações	NCFP000	justificação
sem	sem	SPS00	sem
maior	maior	AQ0CS0	maior
estrepito	estrépito	NCMS000	estrépito
de	de	SPS00	de
juizo	juízo	NCMS000	juízo
que	que	CS	que
o	o	DA0MS0	o
depoimto	depoimento	NCMS000	depoimento
de	de	SPS00	de
testemunhas	testemunhas	NCFP000	testemunha
calificadas	qualificadas	AQ0FP0	qualificado
,	,	Fc	,
estou	estou	VMIP1S0	estar
prompto	pronto	AQ0MS0	pronto
pa	para	SPS00	para
asim	assim	RG	assim
o	o	PP3MSA00	o
mostrar	mostrar	VMN0000	mostrar
;	.	Fp	.
e	E	CC	e
quando	quando	CS	quando
queira	queira	VMSP0S0	querer
que	que	CS	que
estas	estas	DD0FP0	este
provas	provas	NCFP000	prova
sejão	sejam	VSSP3P0	ser
mais	mais	RC	mais
judiciaes	judiciais	AQ0CP0	judicial
	,	Fc	,
diante	diante	RG	diante
de	de	SPS00	de
Juiz	juiz	NCMS000	juiz
competente	competente	AQ0CS0	competente
,	,	Fc	,
com	com	SPS00	com
grande	grande	AQ0CS0	grande
repugnancia	repugnância	NCFS000	repugnância
aparecerá	aparecerá	VMIF3S0	aparecer
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
nome	nome	NCMS000	nome
em	em	SPS00	em
autos	autos	NCMP000	auto
pareção	pareçam	VMSP3P0	parecer
contenda	contenda	NCFS000	contenda
	,	Fc	,
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
procuro	procuro	VMIP1S0	procurar
ivitar	evitar	VMN0000	evitar
com	com	SPS00	com
tanto	tanto	DI0MS0	tanto
empenho	empenho	NCMS000	empenho
que	que	CS	que
	,	Fc	,
lembrandome	lembrando-me	VMG0000+PP1CS000	lembrar+me
asistem	assistem	VMIP3P0	assistir
nesta	nesta	SPS00+DD0FS0	em+este
corte	corte	NCFS000	corte
dous	dois	Z	dois
capitulares	capitulares	NCMP000	capitular
de	de	SPS00	de
tantas	tantas	DI0FP0	tanto
letras	letras	NCFP000	letra
e	e	CC	e
inteireza	inteireza	NCFS000	inteireza
como	como	PA000000	como
o	o	DA0MS0	o
sr	Senhor	NP00000	senhor
Nuno	Nuno	NP00000	nuno
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
Telles	Teles	NP00000	teles
e	e	CC	e
o	o	DA0MS0	o
sr	Senhor	NP00000	senhor
Dezor	Desembargador	NP00000	desembargador
Phelipe	Filipe	NP00000	filipe
Maciel	Maciel	NP00000	Maciel
,	,	Fc	,
quero	quero	VMIP1S0	querer
de	de	SPS00	de
mto	muito	RQ	muito
boa	boa	AQ0FS0	bom
vonte	vontade	NCFS000	vontade
reprezentarlhes	representar-lhes	VMN0000+PP3CPD00	representar+lhe
as	as	DA0FP0	o
minhas	minhas	DP1FPS	meu
pertençoens	pretensões	NCFP000	pretensão
,	,	Fc	,
mandandolhe	mandando-lhe	VMG0000+PP3CSD00	mandar+lhe
VSa	VSa	NP00000	VSa
a	a	DA0FS0	o
instrucção	instrução	NCFS000	instrução
necessaria	necessária	AQ0FS0	necessário
sobre	sobre	SPS00	sobre
as	as	DA0FP0	o
controversias	controvérsias	NCFP000	controvérsia
que	que	PR0CN000	que
entre	entre	SPS00	entre
nos	nós	PP1CP000	nós
podem	podem	VMIP3P0	poder
acontecer	acontecer	VMN0000	acontecer
:	,	Fc	,
sendo	sendo	VSG0000	ser
este	este	DD0MS0	este
o	o	DA0MS0	o
melhor	melhor	AQ0CS0	melhor
meio	meio	NCMS000	meio
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
se	se	P00CN000	se
compor	compor	VMN0000	compor
suavemte	suavemente	RG	suavemente
	,	Fc	,
por	por	SPS00	por
pessoas	pessoas	NCFP000	pessoa
de	de	SPS00	de
tanta	tanta	DI0FS0	tanto
authoridade	autoridade	NCFS000	autoridade
e	e	CC	e
circunstancias	circunstâncias	NCFP000	circunstância
	,	Fc	,
em	em	SPS00	em
quem	quem	PR0CN000	quem
eu	eu	PP1CSN00	eu
nem	nem	CCN	nem
levemente	levemente	RG	levemente
tenho	tenho	VMIP1S0	ter
sospeição	suspeição	NCFS000	suspeição
	,	Fc	,
não	não	RN	não
obstante	obstante	RG	obstante
serem	serem	VSN03P0	ser
partes	partes	NCFP000	parte
dessa	dessa	SPS00+DD0FS0	de+esse
comunide	comunidade	NCFS000	comunidade
;	,	Fc	,
porque	porque	CS	porque
hão	hão	VMIP3P0	haver
de	de	SPS00	de
dar	dar	VMN0000	dar
a	a	SPS00	a
cada	cada	DI0CN0	cada
hum	um	PI0MS000	um
o	o	DA0MS0	o
que	que	PR0CN000	que
he	é	VSIP3S0	ser
seu	seu	DP3MS0	seu
,	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
não	não	RN	não
quero	quero	VMIP1S0	querer
outra	outra	DI0FS0	outro
couza	coisa	NCFS000	coisa
.	.	Fp	.
Entregei	Entregei	VMIS1S0	entregar
ao	ao	SPS00+DA0MS0	a+o
secretro	Secretário	NP00000	secretário
de	de	SPS00	de
Estado	Estado	NP00000	estado
Diogo	Diogo	NP00000	diogo
de	de	SPS00	de
Mendõça	Mendonça	NP00000	mendonça
a	a	DA0FS0	o
carta	carta	NCFS000	carta
de	de	SPS00	de
VSa	VSa	NP00000	VSa
,	,	Fc	,
que	que	PR0CN000	que
leu	leu	VMIS3S0	ler
diante	diante	RG	diante
de	de	SPS00	de
mim	mim	PP1CSO00	mim
,	,	Fc	,
e	e	CC	e
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
que	que	CS	que
logo	logo	RG	logo
a	a	PP3FSA00	o
punha	punha	VMII0S0	pôr
na	na	SPS00+DA0FS0	em+o
noticia	notícia	NCFS000	notícia
de	de	SPS00	de
S	Sua	DP3FS0	seu
Mgde	Majestade	NP00000	majestade
,	,	Fc	,
que	que	PR0CN000	que
Sem	sem	SPS00	sem
duvida	dúvida	NCFS000	dúvida
aprovaria	aprovaria	VMIC0S0	aprovar
a	a	DA0FS0	o
reprezentação	representação	NCFS000	representação
de	de	SPS00	de
VSa	VSa	NP00000	VSa
e	e	CC	e
havia	havia	VMII0S0	haver
de	de	SPS00	de
insinuar	insinuar	VMN0000	insinuar
que	que	CS	que
esta	esta	PD0FS000	este
livraria	livraria	NCFS000	livraria
se	se	P00CN000	se
conservace	conservasse	VMSI0S0	conservar
Sempre	sempre	RG	sempre
no	no	SPS00+DA0MS0	em+o
Bpdo	Bispado	NP00000	bispado
;	.	Fp	.
mas	Mas	CC	mas
como	como	CS	como
elle	ele	PP3MS000	ele
esteve	esteve	VMIS3S0	estar
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
Semana	semana	NCFS000	semana
passada	passada	VMP00SF	passar
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
Quinta	quinta	NCFS000	quinta
,	,	Fc	,
me	me	PP1CS000	me
não	não	RN	não
deu	deu	VMIS3S0	dar
ainda	ainda	RG	ainda
a	a	DA0FS0	o
reposta	resposta	NCFS000	resposta
,	,	Fc	,
ou	ou	CC	ou
tãobem	também	RG	também
porque	porque	CS	porque
os	os	DA0MP0	o
mtos	muitos	DI0MP0	muito
negcos	negócios	NCMP000	negócio
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
permitem	permitem	VMIP3P0	permitir
mais	mais	RC	mais
prompta	pronta	AQ0FS0	pronto
expedição	expedição	NCFS000	expedição
de	de	SPS00	de
despacho	despacho	NCMS000	despacho
.	.	Fp	.
Não	Não	RN	não
posso	posso	VMIP1S0	poder
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
por	pôr	VMN0000	pôr
na	na	SPS00+DA0FS0	em+o
noticia	notícia	NCFS000	notícia
de	de	SPS00	de
VSa	VSa	NP00000	VSa
que	que	CS	que
dezo	desejo	VMIP1S0	desejar
mto	muito	RQ	muito
meter	meter	VMN0000	meter
na	na	SPS00+DA0FS0	em+o
minha	minha	DP1FSS	meu
