J	Jesus	NP00000	jesus
	,	Fc	,
M	Maria	NP00000	maria
	,	Fc	,
J	José	NP00000	josé
Meu	Meu	DP1MSS	meu
Sor	Senhor	NP00000	senhor
,	,	Fc	,
poderá	poderá	VMIF3S0	poder
ser	ser	VSN0000	ser
q	que	CS	que
por	por	SPS00	por
justo	justo	AQ0MS0	justo
juizo	juízo	NCMS000	juízo
de	de	SPS00	de
Deus	Deus	NP00000	deus
e	e	CC	e
castigo	castigo	NCMS000	castigo
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
a	a	SPS00	a
Vmce	VM	NP00000	VM
confessei	confessei	VMIS1S0	confessar
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
sto	Santo	NP00000	santo
Tribu-nal	Tribunal	NP00000	tribunal
em	em	SPS00	em
Lxa	Lxa	NP00000	lisboa
experimente	experimente	VMSP0S0	experimentar
tantas	tantas	DI0FP0	tanto
afliçoens	aflições	NCFP000	aflição
com	com	SPS00	com
q	que	PR0CN000	que
a	a	DA0FS0	o
conçien-çia	consciência	NCFS000	consciência
temeroza	temerosa	AQ0FS0	temeroso
me	me	PP1CS000	me
molesta	molesta	VMIP3S0	molestar
;	.	Fp	.
Deus	Deus	NP00000	deus
N	Nosso	DP1MSP	nosso
Sor	Senhor	NP00000	senhor
as	as	PP3FPA00	o
aseite	aceite	VMSP0S0	aceitar
em	em	SPS00	em
satisfa-çao	satisfação	NCFS000	satisfação
do	do	SPS00+DA0MS0	de+o
mto	muito	NCMS000	muito
q	que	PR0CN000	que
o	o	PP3MSA00	o
tenho	tenho	VAIP1S0	ter
offendido	ofendido	VMP0000	ofender
.	.	Fp	.
Por	Por	SPS00	por
me	me	PP1CS000	me
tirar	tirar	VMN0000	tirar
de	de	SPS00	de
duvidas	dúvidas	NCFP000	dúvida
e	e	CC	e
socegar	sossegar	VMN0000	sossegar
o	o	DA0MS0	o
discurso	discurso	NCMS000	discurso
,	,	Fc	,
confesso	confesso	VMIP1S0	confessar
a	a	SPS00	a
Vmce	VM	NP00000	VM
	,	Fc	,
Como	como	CS	como
Comissro	Comissário	NP00000	comissário
do	do	SPS00+DA0MS0	de+o
sto	Santo	NP00000	santo
offo	Ofício	NP00000	ofício
,	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
duvido	duvido	VMIP1S0	duvidar
se	se	CS	se
solicitaria	solicitaria	VMIC0S0	solicitar
aquella	aquela	DD0FS0	aquele
mer	mulher	NCFS000	mulher
de	de	SPS00	de
q	que	PR0CN000	que
me	me	PP1CS000	me
accuzei	acusei	VMIS1S0	acusar
a	a	SPS00	a
Vmce	VM	NP00000	VM
os	os	DA0MP0	o
dias	dias	NCMP000	dia
passa-dos	passados	VMP00PM	passar
por	por	SPS00	por
letra	letra	NCFS000	letra
e	e	CC	e
tambem	também	RG	também
ao	ao	SPS00+DA0MS0	a+o
sto	Santo	NP00000	santo
Tribunal	Tribunal	NP00000	tribunal
em	em	SPS00	em
Lxa	Lxa	NP00000	lisboa
pessoalmte	pessoalmente	RG	pessoalmente
,	,	Fc	,
se	se	CS	se
a	a	PP3FSA00	o
solicitaria	solicitaria	VMIC0S0	solicitar
,	,	Fc	,
digo	digo	VMIP1S0	dizer
,	,	Fc	,
pa	para	SPS00	para
hum	um	DI0MS0	um
frade	frade	NCMS000	frade
q	que	PR0CN000	que
aqui	aqui	RG	aqui
esteve	esteve	VMIS3S0	estar
algum	algum	DI0MS0	algum
tem-po	tempo	NCMS000	tempo
neste	neste	SPS00+DD0MS0	em+este
convto	convento	NCMS000	convento
e	e	CC	e
hera	era	VSII0S0	ser
de	de	SPS00	de
certa	certa	AQ0FS0	certo
Ordem	ordem	NCFS000	ordem
,	,	Fc	,
do	do	SPS00+DA0MS0	de+o
qual	qual	PR0CS000	qual
frade	frade	NCMS000	frade
ja	já	RG	já
fis	fiz	VMIS1S0	fazer
menção	menção	NCFS000	menção
qdo	quando	CS	quando
me	me	PP1CS000	me
fui	fui	VMIS1S0	ir
accuzar	acusar	VMN0000	acusar
ao	ao	SPS00+DA0MS0	a+o
sto	Santo	NP00000	santo
offo	Ofício	NP00000	ofício
a	a	SPS00	a
Lxa	Lxa	NP00000	lisboa
,	,	Fc	,
q	que	CS	que
fizerão	fizeram	VMIS3P0	fazer
dous	dois	Z	dois
annos	anos	NCMP000	ano
por	por	SPS00	por
8bro	outubro	NCMS000	outubro
ou	ou	CC	ou
9bro	novembro	NCMS000	novembro
passado	passado	VMP00SM	passar
;	.	Fp	.
este	Este	DD0MS0	este
ditto	dito	VMP00SM	dizer
frade	frade	NCMS000	frade
sabia	sabia	VMII0S0	saber
das	das	SPS00+DA0FP0	de+o
minhas	minhas	DP1FPS	meu
maldes	maldades	NCFP000	maldade
