j	Jesus	NP00000	jesus
M	Maria	NP00000	maria
j	José	NP00000	josé
	.	Fp	.
Ai	Ai	I	ai
meu	meu	DP1MSS	meu
Rdo	reverendo	NP00000	reverendo
Pe	padre	NP00000	padre
comfesor	confessor	NCMS000	confessor
	,	Fc	,
não	não	RN	não
sei	sei	VMIP1S0	saber
q	que	PR0CN000	que
diga	diga	VMSP0S0	dizer
as	às	SPS00+DA0FP0	a+o
tiranias	tiranias	NCFP000	tirania
q	que	PR0CN000	que
expermta	experimenta	VMIP3S0	experimentar
a	a	SPS00	a
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
sendo	sendo	VSG0000	ser
inda	ainda	RG	ainda
por	por	SPS00	por
maos	mãos	NCFP000	mão
dos	dos	SPS00+DA0MP0	de+o
menistros	ministros	NCMP000	ministro
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
mais	mais	RC	mais
emvidente	evidente	AQ0CS0	evidente
he	é	VSIP3S0	ser
a	a	SPS00	a
minha	minha	DP1FSS	meu
comdenação	condenação	NCFS000	condenação
,	.	Fp	.
eu	Eu	PP1CSN00	eu
istou	estou	VMIP1S0	estar
no	no	SPS00+DA0MS0	em+o
imferno	inferno	NCMS000	inferno
	,	Fc	,
pois	pois	CS	pois
isto	isto	PD0NN000	isto
sabe	sabe	VMIP3S0	saber
Vmce	VM	NP00000	VM
,	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
milhor	melhor	RG	melhor
,	,	Fc	,
porq	porque	CS	porque
sei	sei	VMIP1S0	saber
mais	mais	RC	mais
e	e	CC	e
me	me	PP1CS000	me
sinto	sinto	VMIP1S0	sentir
ja	já	RG	já
nele	nele	SPS00+PP3MS000	em+ele
arder	arder	VMN0000	arder
	.	Fp	.
e	E	CC	e
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
vou	vou	VMIP1S0	ir
vendo	vendo	VMG0000	ver
	,	Fc	,
sei	sei	VMIP1S0	saber
mais	mais	RC	mais
	,	Fc	,
porq	porque	CS	porque
he	é	VSIP3S0	ser
emremediavel	irremediável	AQ0CS0	irremediável
a	a	SPS00	a
minha	minha	DP1FSS	meu
salvação	salvação	NCFS000	salvação
;	,	Fc	,
cudando	cuidando	VMG0000	cuidar
algum	algum	DI0MS0	algum
dia	dia	NCMS000	dia
so	só	RG	só
no	no	SPS00+DA0MS0	em+o
imferno	inferno	NCMS000	inferno
não	não	RN	não
avia	havia	VMII0S0	haver
redenção	redenção	NCFS000	redenção
	.	Fp	.
agora	Agora	RG	agora
vejo	vejo	VMIP1S0	ver
pelo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
expermto	experimento	VMIP1S0	experimentar
na	na	SPS00+DA0FS0	em+o
mesma	mesma	AQ0FS0	mesmo
igreija	igreja	NCFS000	igreja
q	que	PR0CN000	que
devia	devia	VMII0S0	dever
acodir	acudir	VMN0000	acudir
com	com	SPS00	com
a	a	DA0FS0	o
maior	maior	AQ0CS0	maior
ansia	ânsia	NCFS000	ânsia
a	à	SPS00+DA0FS0	a+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	,	Fc	,
q	que	CS	que
	,	Fc	,
estando	estando	VMG0000	estar
inda	ainda	RG	ainda
no	no	SPS00+DA0MS0	em+o
mundo	mundo	NCMS000	mundo
	,	Fc	,
ja	já	RG	já
tambem	também	RG	também
istou	estou	VMIP1S0	estar
emremediavel	irremediável	AQ0CS0	irremediável
	.	Fp	.
oje	Hoje	RG	hoje
detremino	determino	VMIP1S0	determinar
falar	falar	VMN0000	falar
a	a	SPS00	a
Vmce	VM	NP00000	VM
	,	Fc	,
mas	mas	CC	mais
escrevo	escrevo	VMIP1S0	escrever
isto	isto	PD0NN000	isto
porq	porque	CS	porque
sempre	sempre	RG	sempre
lhe	lhe	PP3CSD00	lhe
falo	falo	VMIP1S0	falar
pouco	pouco	NCMS000	pouco
,	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
porq	porque	CS	porque
eu	eu	PP1CSN00	eu
istou	estou	VMIP1S0	estar
perdida	perdida	VMP00SF	perder
d	de	SPS00	de
alma	alma	NCFS000	alma
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
corpo	corpo	NCMS000	corpo
	,	Fc	,
e	e	CC	e
vejo	vejo	VMIP1S0	ver
q	que	CS	que
Vmces	VMs	NP00000	VM
discansão	descansam	SPS00	descansam
nqunto	enquanto	CS	enquanto
	,	Fc	,
como	como	CS	como
q	que	CS	que
senão	senão	CC	senão
ouvera	houvera	VMIM0S0	haver
alma	alma	NCFS000	alma
	,	Fc	,
nem	nem	CC	nem
Ds	Deus	NP00000	deus
	,	Fc	,
nem	nem	CC	nem
morte	morte	NCFS000	morte
	.	Fp	.
ora	Ora	RG	ora
	,	Fc	,
snros	senhores	NP00000	senhor
,	,	Fc	,
eu	eu	PP1CSN00	eu
não	não	RN	não
ei	hei	VMIP1S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
so	só	RG	só
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
ei	hei	VMIP1S0	haver
de	de	SPS00	de
dar	dar	VMN0000	dar
conta	conta	NCFS000	conta
	.	Fp	.
como	Como	CS	como
Vmces	VMs	NP00000	VM
não	não	RN	não
tomão	tomam	VMIP3P0	tomar
isto	isto	PD0NN000	isto
tanto	tanto	CC	tanto
a	a	SPS00	a
sua	sua	DP3FS0	seu
como	como	SPS00	como
ele	ele	PP3MS000	ele
sabe	sabe	VMIP3S0	saber
	,	Fc	,
he	é	VSIP3S0	ser
justo	justo	AQ0MS0	justo
	,	Fc	,
la	lá	RG	lá
se	se	CS	se
avenhão	avenham	VMSP3P0	avir
	,	Fc	,
pois	pois	CS	pois
istou	estou	VMIP1S0	estar
vendo	vendo	VMG0000	ver
em	em	SPS00	em
q	que	PR0CN000	que
rezulta	resulta	VMIP3S0	resultar
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
proprio	próprio	NCMS000	próprio
	.	Fp	.
q	Que	CS	que
	,	Fc	,
a	a	SPS00	a
ser	ser	NCMS000	ser
como	como	SPS00	como
a	a	DA0FS0	o
rezão	razão	NCFS000	razão
pede	pede	VMIP3S0	pedir
	,	Fc	,
serta	certa	AQ0FS0	certo
estava	estava	VMII0S0	estar
eu	eu	PP1CSN00	eu
no	no	SPS00+DA0MS0	em+o
remedio	remédio	NCMS000	remédio
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	.	Fp	.
mas	Mas	CC	mas
ja	já	RG	já
sei	sei	VMIP1S0	saber
pouco	pouco	DI0MS0	pouco
mais	mais	NCMS000	mais
ou	ou	CC	ou
menos	menos	RC	menos
o	o	DA0MS0	o
q	que	PR0CN000	que
a	há	VMIP3S0	haver
de	de	SPS00	de
vir	vir	VMN0000	vir
	.	Fp	.
Vmces	VMs	NP00000	VM
discansão	descansam	NP00000	descansam
e	e	CC	e
zombão	zombam	NCMS000	zombam
	,	Fc	,
e	e	CC	e
eu	eu	PP1CSN00	eu
no	no	SPS00+DA0MS0	em+o
imferno	inferno	NCMS000	inferno
