Reverendo	Reverendo	AQ0MS0	reverendo
pe	padre	NP00000	padre
comfesor	confessor	NP00000	confessor
	,	Fc	,
como	como	CS	como
Vmce	VM	NP00000	VM
não	não	RN	não
so	só	RG	só
tem	tem	VAIP3S0	ter
emganado	enganado	VMP0000	enganar
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
e	e	CC	e
a	a	DA0FS0	o
sua	sua	PX3FS000	seu
	,	Fc	,
mas	mas	CC	mais
comonica	comunica	VMIP3S0	comunicar
com	com	SPS00	com
a	a	DA0FS0	o
madre	madre	NCFS000	madre
das	das	SPS00+DA0FP0	de+o
comfisois	confissões	NCFP000	confissão
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
comsiençia	consciência	NCFS000	consciência
	,	Fc	,
por	por	SPS00	por
iso	isso	PD0NN000	isso
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
esta	está	VMIP3S0	estar
perdida	perdida	VMP00SF	perder
,	.	Fp	.
saiba	Saiba	VMSP0S0	saber
q	que	CS	que
	,	Fc	,
se	se	CS	se
Vmce	VM	NP00000	VM
falta	falta	VMSP0S0	faltar
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
obrigação	obrigação	NCFS000	obrigação
	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
q	que	CS	que
ei	hei	VMIP1S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
minha	minha	PX1FS0S0	meu
	.	Fp	.
e	E	CC	e
fasame	faça-me	VMSP0S0+PP1CS000	fazer+me
mce	mercê	NCFS000	mercê
de	de	SPS00	de
logo	logo	RG	logo
logo	logo	RG	logo
mandar	mandar	VMN0000	mandar
emtregar	entregar	VMN0000	entregar
esa	essa	DD0FS0	esse
carta	carta	NCFS000	carta
a	a	SPS00	a
quem	quem	PR0CN000	quem
toca	toca	VMIP3S0	tocar
	,	Fc	,
q	que	CS	que
asim	assim	RG	assim
he	é	VSIP3S0	ser
emportante	importante	AQ0CS0	importante
,	.	Fp	.
e	E	CC	e
de	de	SPS00	de
nenhuma	nenhuma	DI0FS0	nenhum
sorte	sorte	NCFS000	sorte
quero	quero	VMIP1S0	querer
nem	nem	CCN	nem
comsinto	consinto	VMIP1S0	consentir
ele	ele	PP3MS000	ele
ca	cá	RG	cá
venha	venha	VMSP0S0	vir
	.	Fp	.
tudo	Tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
quizer	quiser	VMSF0S0	querer
mentir	mentir	VMN0000	mentir
minta	minta	VMSP0S0	mentir
por	por	SPS00	por
letra	letra	NCFS000	letra
	.	Fp	.
e	E	CC	e
não	não	RN	não
digo	digo	VMIP1S0	dizer
mais	mais	RC	mais
	.	Fp	.
N	Nossa	DP1FSS	nosso
S	Senhora	NP00000	senhor
.	.	Fp	.
de	De	SPS00	de
soror	soror	NCMS000	soror
Franca	Francisca	NP00000	francisca
Jozepha	Josefa	NP00000	josefa
