Exmo	Excelentissimo	NP00000	Excelentissimo
e	e	CC	e
Rmo	reverendíssimo	AQSMS0	reverendo
Snr	senhor	NP00000	senhor
	.	Fp	.
Vou	Vou	VMIP1S0	ir
aos	aos	SPS00+DA0MP0	a+o
pez	pés	NCMP000	pé
de	de	SPS00	de
v	vossa	DP2FSP	vosso
Rma	reverendíssima	NCFS000	reverendíssima
do	do	SPS00+DA0MS0	de+o
modo	modo	NCMS000	modo
possivel	possível	AQ0CS0	possível
	,	Fc	,
pedindolhe	pedindo-lhe	VMG0000+PP3CSD00	pedir+lhe
que	que	CS	que
patienter	patienter	VMN0000	patienter
me	me	PP1CS000	me
audeat	audeat	VMIP3S0	audeare
,	.	Fp	.
não	Não	RN	não
sey	sei	VMIP1S0	saber
	,	Fc	,
Rmo	reverendíssimo	AQSMS0	reverendo
Snr	senhor	NP00000	senhor
	,	Fc	,
quando	quando	CS	quando
terey	terei	VMIF1S0	ter
socego	sossego	NCMS000	sossego
neste	neste	SPS00+DD0MS0	em+este
curato	curato	NCMS000	curato
em	em	SPS00	em
que	que	PR0CN000	que
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
foy	foi	VSIS3S0	ser
servido	servido	VMP00SM	servir
porme	pôr-me	VMN0000+PP1CS000	pôr+me
,	,	Fc	,
porq|	porque	CS	porque
inda	ainda	RG	ainda
não	não	RN	não
sey	sei	VMIP1S0	saber
se	se	CS	se
sou	sou	VSIP1S0	ser
cura	cura	NCFS000	cura
e	e	CC	e
de	de	SPS00	de
quem	quem	PR0CN000	quem
;	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
rezão	razão	NCFS000	razão
he	é	VSIP3S0	ser
porq	porque	CS	porque
os	os	DA0MP0	o
moradorez	moradores	NCMP000	morador
da	da	SPS00+DA0FS0	de+o
frega	freguesia	NCFS000	freguesia
de	de	SPS00	de
Goyaninha	Goianinha	NP00000	goianinha
cada	cada	DI0CN0	cada
dia	dia	NCMS000	dia
innovão	inovam	SPS00	inovam
couzas	coisas	NCFP000	coisa
novas	novas	AQ0FP0	novo
acerca	acerca	RG	acerca
desta	desta	SPS00+DD0FS0	de+este
divizão	divisão	NCFS000	divisão
.	.	Fp	.
Foy	Foi	VMIS3S0	ir
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
servido	servido	VMP00SM	servir
mdar	mandar	VMN0000	mandar
ao	ao	SPS00+DA0MS0	a+o
Rmo	reverendíssimo	AQSMS0	reverendo
Dr	doutor	NP00000	doutor
Vezor	visitador	NCMS000	doutor
que	que	CS	que
fizesse	fizesse	VMSI0S0	fazer
a	a	DA0FS0	o
devizão	divisão	NCFS000	divisão
do	do	SPS00+DA0MS0	de+o
novo	novo	AQ0MS0	novo
curato	curato	NCMS000	curato
	,	Fc	,
com	com	SPS00	com
toda	toda	DI0FS0	todo
paz	paz	NCFS000	paz
	,	Fc	,
recomendando	recomendando	VMG0000	recomendar
mto	muito	RQ	muito
esta	esta	DD0FS0	este
	,	Fc	,
pa	para	SPS00	para
o	o	DA0MS0	o
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
concedia	concedia	VMIP3S0	concediar
novame	novamente	RG	novamente
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
poderez	poderes	NCMP000	poder
,	,	Fc	,
e	e	CC	e
hindo	indo	VMG0000	ir
a	à	SPS00+DA0FS0	a+o
tal	tal	RC	tal
Ribra	ribeira	NCFS000	ribeira
ou	ou	CC	ou
Sitio	sítio	NCMS000	sítio
	,	Fc	,
em	em	SPS00	em
prezca	presença	NCFS000	presença
minha	minha	DP1FSS	meu
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
rdo	reverendo	NP00000	reverendo
cura	cura	NP00000	cura
de	de	SPS00	de
Goyaninha	Goianinha	NP00000	goianinha
,	,	Fc	,
e	e	CC	e
ahy	aí	RG	aí
se	se	CS	se
fizessem	fizessem	VMSI3P0	fazer
preguntas	preguntas	NCFP000	pregunta
judiciaez	judiciais	AQ0CP0	judicial
;	.	Fp	.
e	E	CC	e
	,	Fc	,
tornando	tornando	VMG0000	tornar
o	o	DA0MS0	o
Rmo	reverendíssimo	AQSMS0	reverendo
Dr	doutor	NP00000	doutor
vezor	visitador	NCMS000	doutor
a	a	SPS00	a
escrever	escrever	VMN0000	escrever
a	a	SPS00	a
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
sobre	sobre	SPS00	sobre
as	as	DA0FP0	o
aguas	águas	NCFP000	água
vertentes	vertentes	RG	vertentes
ao	ao	SPS00+DA0MS0	a+o
Rio	rio	NCMS000	rio
Trahiry	Trairi	NP00000	Trairi
	,	Fc	,
tive	tive	VMIS1S0	ter
noticia	notícia	NCFS000	notícia
mandara	mandara	VMIM0S0	mandar
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
ao	ao	SPS00+DA0MS0	a+o
do	dito	NCMS000	a+o
Rmo	reverendíssimo	AQSMS0	reverendo
Dr	doutor	NP00000	doutor
fizesse	fizesse	VMSI0S0	fazer
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
devizão	divisão	NCFS000	divisão
não	não	RN	não
fallando	falando	VMG0000	falar
em	em	SPS00	em
aguas	águas	NCFP000	água
vertentes	vertentes	AQ0CP0	vertente
	.	Fp	.
O	O	DA0MS0	o
que	que	PR0CN000	que
	,	Fc	,
posto	posto	CS	pôr
	,	Fc	,
veio	veio	VMIS3S0	vir
ao	ao	SPS00+DA0MS0	a+o
lugar	lugar	NCMS000	lugar
chamado	chamado	VMP00SM	chamar
Papeba	Papeba	NP00000	Papeba
o	o	DA0MS0	o
Rmo	reverendíssimo	AQSMS0	reverendo
Dr	doutor	NP00000	doutor
Vezor	visitador	NCMS000	doutor
	,	Fc	,
aonde	onde	PA000000	onde
eu	eu	PP1CSN00	eu
e	e	CC	e
o	o	DA0MS0	o
Rdo	reverendo	NP00000	reverendo
Cura	cura	NP00000	cura
de	de	SPS00	de
Goyaninha	Goianinha	NP00000	goianinha
tãobem	também	RG	também
nos	nos	SPS00+DA0MP0	em+o
achemos	achemos	VMSP1P0	achar
prezes	presentes	AQ0CP0	presente
	,	Fc	,
varios	vários	AQ0MP0	vários
moradores	moradores	NCMP000	morador
de	de	SPS00	de
huma	uma	DI0FS0	um
e	e	CC	e
outra	outra	DI0FS0	outro
frega	freguesia	NCFS000	freguesia
	.	Fp	.
depois	Depois	RG	depois
de	de	SPS00	de
