Ao	Amigo	NCMS000	amigo
e	e	CC	e
Snr	senhor	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
C	coração	NCMS000	coração
	,	Fc	,
Saberá	saberá	VMIF3S0	saber
q	que	CS	que
segunda fra	segunda-feira	NCFS000	segunda-feira
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
dizer	dizer	VMN0000	dizer
meu	meu	DP1MSS	meu
Irmão	irmão	NCMS000	irmão
pelo	pelo	SPS00+DA0MS0	por+o
Bmeu	Bartolomeu	NP00000	bartolomeu
q	que	CS	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
a	a	SPS00	a
elle	ele	PP3MS000	ele
em	em	SPS00	em
Queluz	Queluz	NP00000	queluz
dia	dia	NCMS000	dia
dos	dos	SPS00+DA0MP0	de+o
anonos	anos	NCMP000	ano
d	de	SPS00	de
el Rei	el-Rei	NP00000	el-rei
q	que	CS	que
era	era	VSII0S0	ser
precizo	preciso	AQ0MS0	preciso
ver	ver	VMN0000	ver
o	o	DA0MS0	o
ca-minho	caminho	NCMS000	caminho
q	que	CS	que
eu	eu	PP1CSN00	eu
avia	havia	VMII0S0	haver
de	de	SPS00	de
ter	ter	VMN0000	ter
;	.	Fp	.
e	E	CC	e
q	que	CS	que
	,	Fc	,
como	como	CS	como
lhe	lhe	PP3CSD00	lhe
respondera	respondera	VMIM0S0	responder
lhe	lhe	PP3CSD00	lhe
daria	daria	VMIC0S0	dar
a	a	DA0FS0	o
reposta	resposta	NCFS000	resposta
a	a	SPS00	a
S	Sua	DP3FS0	seu
Exa	Excelência	NP00000	excelência
,	,	Fc	,
me	me	PP1CS000	me
mandava	mandava	VMII0S0	mandar
dizer	dizer	VMN0000	dizer
q	que	CS	que
escolhese	escolhesse	CS	que
hir	ir	VMN0000	ir
ou	ou	CC	ou
pa	para	SPS00	para
Angola	Angola	NP00000	angola
,	,	Fc	,
ou	ou	CC	ou
para	para	SPS00	para
a	a	DA0FS0	o
India	Índia	NP00000	índia
	,	Fc	,
para	para	SPS00	para
asim	assim	RG	assim
requerer	requerer	VMN0000	requerer
o	o	DA0MS0	o
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
quizese	quisesse	VMSI0S0	querer
:	.	Fp	.
Fiquei	Fiquei	VMIS1S0	ficar
