Illma	Ilustríssima	AQSFS0	ilustre
Snra	senhora	NP00000	senhor
D	Dona	NP00000	dona
Ma	Maria	NP00000	maria
Elena	Elena	NP00000	Elena
de	de	SPS00	de
Souza	Sousa	NP00000	sousa
Mexia	Mexia	NP00000	mexia
Galvão	Galvão	NP00000	galvão
Mto	Muito	RQ	muito
ma	minha	DP1FSS	meu
Snra	senhora	NCFS000	senhor
	,	Fc	,
sem	sem	SPS00	sem
faltar	faltar	VMN0000	faltar
com	com	SPS00	com
a	a	DA0FS0	o
devida	devida	AQ0FS0	devido
veneração	veneração	NCFS000	veneração
às	às	SPS00+DA0FP0	a+o
estimaveis	estimáveis	AQ0CP0	estimável
Letras	letras	NCFP000	letra
de	de	SPS00	de
Vsa	VSa	NP00000	VSa
q	que	CS	que
hontem	ontem	RG	ontem
recebi	recebi	VMIS1S0	receber
;	,	Fc	,
comfesso	confesso	VMIP1S0	confessar
me	me	PP1CS000	me
não	não	RN	não
permite	permite	VMIP3S0	permitir
aventura	aventura	NCFS000	aventura
de	de	SPS00	de
tão	tão	RC	tão
elevada	elevada	VMP00SF	elevar
honra	honra	NCFS000	honra
,	,	Fc	,
proporçionado	proporcionado	VMP00SM	proporcionar
,	,	Fc	,
e	e	CC	e
bem	bem	RG	bem
completo	completo	AQ0MS0	completo
	,	Fc	,
o	o	DA0MS0	o
desvaneçimto	desvanecimento	NCMS000	desvanecimento
oprimido	oprimido	VMP00SM	oprimir
com	com	SPS00	com
o	o	DA0MS0	o
pezar	pesar	NCMS000	pesar
do	do	SPS00+DA0MS0	de+o
motivo	motivo	NCMS000	motivo
,	,	Fc	,
q	que	CS	que
deixaria	deixaria	VMIC0S0	deixar
ja	já	RG	já
de	de	SPS00	de
contristarme	contristar-me	VMN0000+PP1CS000	contristar-me
se	se	CS	se
a	a	DA0FS0	o
providençia	providência	NCFS000	providência
,	,	Fc	,
q	que	CS	que
tudo	tudo	PI0NN000	tudo
governa	governa	VMIP3S0	governar
,	,	Fc	,
fosse	fosse	VMSI0S0	ir
igual	igual	AQ0CS0	igual
pa	para	SPS00	para
todos	todos	DI0MP0	todo
,	.	Fp	.
e	E	CC	e
como	como	SPS00	como
o	o	DA0MS0	o
não	não	RN	não
he	é	VSIP3S0	ser
,	,	Fc	,
de	de	SPS00	de
fina	fina	AQ0FS0	fino
forca	força	NCFS000	força
,	,	Fc	,
sofre	sofre	VMIP3S0	sofrer
seu	seu	DP3MS0	seu
mano	mano	NCMS000	mano
os	os	DA0MP0	o
incomodos	incómodos	NCMP000	incómodo
q	que	PR0CN000	que
padeçe	padece	VMIP3S0	padecer
,	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
a	a	SPS00	a
amar	amar	VMN0000	amar
a	a	DA0FS0	o
aflicção	aflição	NCFS000	aflição
de	de	SPS00	de
não	não	RN	não
satisfazerme	satisfazer-me	RN	não
em	em	SPS00	em
prosperar	prosperar	VMN0000	prosperar
,	,	Fc	,
por	por	SPS00	por
impossebilitado	impossibilitado	VMP00SM	impossibilitar
pa	para	SPS00	para
requerimtos	requerimentos	NCMP000	requerimento
;	,	Fc	,
q	que	CS	que
não	não	RN	não
ignoro	ignoro	VMIP1S0	ignorar
justissimos	justíssimos	NCMP000	justíssimo
,	,	Fc	,
e	e	CC	e
mto	muito	RQ	muito
menos	menos	RC	menos
a	a	DA0FS0	o
cauza	causa	NCFS000	causa
q	que	PR0CN000	que
efeitu-ou	efetuou	VMIS3S0	efetuar
os	os	DA0MP0	o
de	de	SPS00	de
sua	sua	DP3FS0	seu
prizão	prisão	NCFS000	prisão
:	,	Fc	,
Pois	pois	CS	pois
tenho	tenho	VMIP1S0	ter
cabal	cabal	AQ0CS0	cabal
conhecimto	conhecimento	NCMS000	conhecimento
do	do	SPS00+DA0MS0	de+o
caracter	caráter	NCMS000	caráter
e	e	CC	e
con-duta	conduta	NCFS000	conduta
do	do	SPS00+DA0MS0	de+o
sr	senhor	NP00000	senhor
Lço	Lourenço	NP00000	lourenço
Anastaçio	Anastácio	NP00000	anastácio
,	,	Fc	,
de	de	SPS00	de
qm	quem	PR0CN000	quem
confio	confio	VMIP1S0	confiar
a	a	SPS00	a
boa	boa	AQ0FS0	bom
diliga	diligência	NCFS000	diligência
pa	para	SPS00	para
qto	quanto	PR0CN000	quanto
reçeyo	receio	VMIP1S0	recear
,	,	Fc	,
e	e	CC	e
tambem	também	RG	também
q	que	CS	que
a	a	DA0FS0	o
demora	demora	NCFS000	demora
da	da	SPS00+DA0FS0	de+o
aplicação	aplicação	NCFS000	aplicação
de	de	SPS00	de
remedio	remédio	NCMS000	remédio
á	à	SPS00+DA0FS0	a+o
liberde	liberdade	NCFS000	liberdade
do	do	SPS00+DA0MS0	de+o
mizeravel	miserável	NCMS000	miserável
prezo	preso	NCMS000	preso
venha	venha	VMSP0S0	vir
a	a	SPS00	a
ser	ser	VSN0000	ser
seu	seu	DP3MS0	seu
mayor	maior	AQ0CS0	maior
verdugo	verdugo	NCMS000	verdugo
,	,	Fc	,
e	e	CC	e
a	a	SPS00	a
milhor	melhor	AQ0CS0	melhor
firmeza	firmeza	NCFS000	firmeza
dos	dos	SPS00+DA0MP0	de+o
male-volos	malévolos	NCMP000	malévolo
projectados	projetados	VMP00PM	projetar
disignios	desígnios	NCMP000	desígnio
de	de	SPS00	de
seu	seu	DP3MS0	seu
irmão	irmão	NCMS000	irmão
:	.	Fp	.
Queira	Queira	VMSP0S0	querer
N	Nosso	DP1MSP	nosso
Sr	Senhor	NP00000	senhor
acudir	acudir	VMN0000	acudir
ao	ao	SPS00+DA0MS0	a+o
dezamparo	desamparo	NCMS000	desamparo
em	em	SPS00	em
q	que	CS	que
ambos	ambos	PI0MP000	ambos
se	se	P00CN000	se
achão	acham	VMIP3P0	achar
,	,	Fc	,
cada	cada	DI0CN0	cada
hum	um	DI0MS0	um
por	por	SPS00	por
seu	seu	DP3MS0	seu
diferente	diferente	AQ0CS0	diferente
principio	princípio	NCMS000	princípio
.	.	Fp	.
Viva	Viva	VMSP0S0	viver
VSa	VSa	NP00000	VSa
certa	certa	AQ0FS0	certo
q	que	CS	que
dezo	desejo	VMIP1S0	desejar
mto	muito	RQ	muito
mto	muito	RQ	muito
servila	servi-la	VMN0000+PP3FSA00	servir+o
,	,	Fc	,
e	e	CC	e
sempre	sempre	RG	sempre
prezarei	prezarei	VMIF1S0	prezar
infinito	infinito	RG	infinito
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
ordens	ordens	NCFP000	ordem
,	,	Fc	,
a	a	SPS00	a
q	que	PR0CN000	que
serâ	será	VSIF3S0	ser
indefectivel	indefetível	AQ0CS0	indefetível
a	a	SPS00	a
ma	minha	DP1FSS	meu
aleda	aleda	NCFS000	aleda
.	.	Fp	.
Ds	Deus	NP00000	deus
Gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
ms	muitos	DI0MP0	muito
ns	anos	NCMP000	ano
	.	Fp	.
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
26	26	Z	26
de	de	SPS00	de
Junho	junho	NCMS000	junho
de	de	SPS00	de
1779	1779	Z	1779
