Carlota	Carlota		
	.		
Dezeijo-te	Desejo-te	VMIP1S0+PP2CS000	desejar+te
saude	saúde	NCFS000	saúde
e	e	CC	e
a	a	SPS00	a
todos	todos	PI0MP000	todo
.	.	Fp	.
Suspende	Suspende	VMM02S0	suspende
	,	Fc	,
por	por	SPS00	por
ora	ora	RG	ora
	,	Fc	,
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
teus	teus	DP2MPS	teu
passos	passos	NCMP000	passo
e	e	CC	e
nada	nada	PI0NN00N	nada
mais	mais	RC	mais
fassas	faças	VMSP2S0	fazer
sem	sem	SPS00	sem
eu	eu	PP1CSN00	eu
te	te	PP2CS000	te
man-dár	mandar	VMN0000	mandar
dizer	dizer	VMN0000	dizer
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
como	como	CS	como
o	o	DA0MS0	o
Mel	Manuel	NP00000	manuel
Jozé	José	NP00000	josé
	,	Fc	,
nem	nem	CCN	nem
mesmo	mesmo	RF	mesmo
o	o	DA0MS0	o
Eusta-quio	Eustáquio	NP00000	eustáquio
tomão	tomam	VMIP3P0	tomar
intregue	entregue	VMP00SM	entregar
ó	ou	CC	ou
se	se	P00CN000	se
encarregão	encarregam	VMIP3P0	encarregar
de	de	SPS00	de
coiza	coisa	NCFS000	coisa
algu-ma	alguma	DI0FS0	algum
a	a	SPS00	a
respeito	respeito	NCMS000	respeito
do	do	SPS00+DA0MS0	de+o
Janoario	Januário	NP00000	januário
	.	Fp	.
por	Por	SPS00	por
isso	isso	PD0NN000	isso
	,	Fc	,
não	não	RN	não
tens	tens	VMIP2S0	ter
q	que	CS	que
reçi-áres	receares	VMII2S0	recear
coiza	coisa	NCFS000	coisa
alguma	alguma	PI0FS000	algum
,	,	Fc	,
e	e	CC	e
vâmos	vamos	VMIP1P0	ir
a	a	SPS00	a
vêr	ver	VMN0000	ver
finalmente	finalmente	RG	finalmente
o	o	DA0MS0	o
que	que	PR0CN000	que
elle	ele	PP3MS000	ele
manda	manda	VMIP3S0	mandar
dizer	dizer	VMN0000	dizer
sobre	sobre	SPS00	sobre
a	a	DA0FS0	o
tua	tua	DP2FSS	teu
correspondençia	correspondência	NCFS000	correspondência
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
mandastes	mandastes	VMIS2P0	mandar
:	.	Fp	.
e	E	CC	e
como	como	CS	como
eu	eu	PP1CSN00	eu
ainda	ainda	RG	ainda
desta	desta	SPS00+DD0FS0	de+este
vez	vez	NCFS000	vez
lhe	lhe	PP3CSD00	lhe
escre-vo	escrevo	VMIP1S0	escrever
	,	Fc	,
vamos	vamos	VMIP1P0	ir
a	a	SPS00	a
vêr	ver	VMN0000	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
manda	manda	VMIP3S0	mandar
dizer	dizer	VMN0000	dizer
,	,	Fc	,
porque	porque	CS	porque
eu	eu	PP1CSN00	eu
	,	Fc	,
desta 	desta	SPS00+DD0FS0	de+este
vez	vez	NCFS000	vez
	,	Fc	,
toco-o	toco-o	VMIP1S0+PP3MSA00	tocar+o
bem	bem	RG	bem
tocado	tocado	VMP0000	tocar
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
e	e	CC	e
por	por	SPS00	por
tudo	tudo	PI0NN000	tudo
,	,	Fc	,
cuja	cuja	DT0FS0	cujo
correspondençia	correspondência	NCFS000	correspondência
ahi	aí	RG	aí
te	te	PP2CS000	te
remeto	remeto	VMIP1S0	remeter
pa	para	SPS00	para
a	a	DA0FS0	o
vêres	veres	VMII2S0	ver
e	e	CC	e
mandares-me	mandares-me	VMII2S0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
se	se	CSI	se
vai	vai	VMIP3S0	ir
bôa	boa	AQ0FS0	bom
e	e	CC	e
a	a	SPS00	a
teu	teu	DP2MSS	teu
gôsto	gosto	NCMS000	gosto
;	.	Fp	.
porém	Porém	RG	porém
	,	Fc	,
tu	tu	PP2CSN00	tu
des-ta	desta	SPS00+DD0FS0	de+este
vez	vez	NCMS000	vez
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
escrevas	escrevas	VMSP2S0	escrever
porque	porque	CS	porque
eu	eu	PP1CSN00	eu
mando-lhe	mando-lhe	VMIP1S0+PP3CSD00	mandar+lhe
dizer	dizer	VMN0000	dizer
que	que	CS	que
tu	tu	PP2CSN00	tu
está	está	VMIP3S0	estar
emcomodada	incomodada	VMP00SF	incomodar
de	de	SPS00	de
saude	saúde	NCFS000	saúde
e	e	CC	e
