Eu	Eu	PP1CSN00	eu
vou	vou	VMIP1S0	ir
a	a	SPS00	a
Dare	dar	VMN0000	dar
a	a	DA0FS0	o
sabere	saber	VMN0000	saber
o	ao	SPS00+DA0MS0	a+o
Senhore	Senhor	NP00000	senhor
Juis	Juiz	NP00000	juiz
de	de	SPS00	de
Fora	Fora	NP00000	fora
	:	Fd	:
Jozé	José	NP00000	josé
de	de	SPS00	de
Jezus	Jesus	NP00000	jesus
Maxadinho	Machadinho	NP00000	machadinho
	,	Fc	,
elle	ele	PP3MS000	ele
não	não	RN	não
teve	teve	VMIS3S0	ter
o	o	DA0MS0	o
perdão	perdão	NCMS000	perdão
da	da	SPS00+DA0FS0	de+o
parte	parte	NCFS000	parte
	,	Fc	,
pois	pois	CS	pois
elle	ele	PP3MS000	ele
Istava	estava	VMII0S0	estar
centenciado	sentenciado	VMP00SM	sentenciar
por	por	SPS00	por
des	dez	Z	dez
anos	anos	NCMP000	ano
para	para	SPS00	para
o	o	DA0MS0	o
Pará	Pará	NP00000	pará
	.	Fp	.
pois	Pois	CS	pois
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
Supe	suplicante	NCCS000	suplicante
Foi	foi	VSIS3S0	ser
colto	solto	VMP00SM	soltar
com	com	SPS00	com
hum	um	DI0MS0	um
perdão	perdão	NCMS000	perdão
Falço	falso	AQ0MS0	falso
	.	Fp	.
pois	Pois	CS	pois
dice	disse	VMIS3S0	dizer
que	que	CS	que
	,	Fc	,
elle	ele	PP3MS000	ele
ce	se	P00CN000	se
coltando	soltando	VMG0000	soltar
	,	Fc	,
que	que	CS	que
VSa	VSa	NP00000	VSa
lhe	lhe	PP3CSD00	lhe
avera	havera	VMIC0S0	haver
de	de	SPS00	de
pagare	pagar	VMN0000	pagar
	.	Fp	.
pois	Pois	CS	pois
elle	ele	PP3MS000	ele
Ja	já	RG	já
para	para	SPS00	para
la	lá	RG	lá
Foi ce	foi-se	VMIS3S0+P00CN000	ir+se
la	lá	RG	lá
emcontrare	encontrar	VMN0000	encontrar
hum	um	DI0MS0	um
home	homem	NCMS000	homem
Baixinho	baixinho	AQDMS0	baixo
e	e	CC	e
bem  pracido	bem-parecido	AQ0MS0	bem-parecido
	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
suicias	suíças	NCFP000	suiça
loras	louras	AQ0FP0	louro
	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
testa	testa	NCFS000	o
grandre	grande	AQ0CS0	grande
	,	Fc	,
deitada	deitada	VMP00SF	deitar
para	para	SPS00	para
fora	fora	RG	fora
	,	Fc	,
com	com	SPS00	com
gafurina	gaforina	NCFS000	gaforina
	.	Fp	.
pois	Pois	CS	pois
com	com	SPS00	com
elle	ele	PP3MS000	ele
andão	andam	VMIP3P0	andar
mais	mais	RC	mais
dois	dois	Z	dois
Ispanhois	espanhóis	NCMP000	espanhol
	:	Fd	:
hum	um	DI0MS0	um
he	é	VSIP3S0	ser
Alto	alto	AQ0MS0	alto
	,	Fc	,
com	com	SPS00	com
cabelo	cabelo	NCMS000	cabelo
atado	atado	VMP00SM	atar
	,	Fc	,
cortado	cortado	VMP00SM	cortar
	,	Fc	,
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
outro	outro	PI0MS000	outro
tras	traz	VMIP3S0	trazer
cabelo	cabelo	NCMS000	cabelo
atado	atado	VMP00SM	atar
e	e	CC	e
he	é	VSIP3S0	ser
Baixi	baixo	AQ0MS0	baixo
	.	Fp	.
Pois	Pois	CS	pois
estes	estes	DD0MP0	este
espanhoes	espanhóis	NCMP000	espanhol
	,	Fc	,
quando	quando	CS	quando
la	lá	RG	lá
vão	vão	VMIP3P0	ir
	,	Fc	,
vão	vão	VMIP3P0	ir
para	para	SPS00	para
caza	casa	NCFS000	casa
du	do	SPS00+DA0MS0	de+o
patrão	patrão	NCMS000	patrão
Antonio	António	NP00000	antónio
	.	Fp	.
pois	Pois	CS	pois
	,	Fc	,
estes	estes	DD0MP0	este
espanhoes	espanhóis	NCMP000	espanhol
	,	Fc	,
hum	um	DI0MS0	um
xamase	chama-se	VMIP3S0+P00CN000	chamar+se
Manoel	Manuel	NP00000	manuel
dos	dos	SPS00+DA0MP0	de+o
Cantos	Santos	NP00000	santos
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
outro	outro	PI0MS000	outro
xamase	chama-se	VMIP3S0+P00CN000	chamar+se
Dumingos	Domingos	NP00000	domingos
Carera	Carreira	NP00000	carreira
	.	Fp	.
pois	Pois	CS	pois
esses	esses	PD0MP000	esse
forão	foram	VSIS3P0	ser
o	o	DA0MS0	o
que	que	PR0CN000	que
fezerão	fizeram	VMIS3P0	fazer
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Rua	Rua	NP00000	rua
de	de	SPS00	de
Santo	Santo	NP00000	santo
Antonio	António	NP00000	antónio
	,	Fc	,
Os	aos	SPS00+DA0MP0	a+o
Judios	judeus	NCMP000	judeu
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Rua	Rua	NP00000	rua
de	de	SPS00	de
Santo	Santo	NP00000	santo
Antonio	António	NP00000	antónio
da	da	SPS00+DA0FS0	de+o
Ropa	Roupa	NP00000	roupa
	.	Fp	.
peço	Peço	VMIP1S0	pedir
a	a	SPS00	a
VSa	VSa	NP00000	VSa
que	que	CS	que
Mande	mande	VMSP0S0	mandar
sabere	saber	VMN0000	saber
o	ao	SPS00+DA0MS0	a+o
Corgedore	corregedor	NCMS000	corregedor
de	de	SPS00	de
tavira	Tavira	NP00000	tavira
que	que	PR0CN000	que
de	de	SPS00	de
la	lá	RG	lá
he	é	VSIP3S0	ser
que	que	CS	que
elles	eles	PP3MP000	ele
vierão	vieram	VMIS3P0	vir
prezos	presos	VMP00PM	presos
	.	Fp	.
pois	Pois	CS	pois
	,	Fc	,
se	se	CS	se
VSa	VSa	NP00000	VSa
lhe	lhe	PP3CSD00	lhe
preguntare	perguntar	VMSF0S0	perguntar
por	por	SPS00	por
us	os	DA0MP0	o
pasaportes	passaportes	NCMP000	passaporte
	,	Fc	,
elles	eles	PP3MP000	ele
andem	hãodem	VMIP3P0+SPS00	haver+de
lhe	lhe	PP3CSD00	lhe
a	a	SPS00	a
Mostrare	mostrar	VMN0000	mostrar
a	a	DA0FS0	o
sobreCentença	sobressentença	NCFS000	o
	,	Fc	,
pois	pois	CS	pois
elles	eles	PP3MP000	ele
ficarão	ficaram	VMIS3P0	ficar
de	de	SPS00	de
palavra	palavra	NCFS000	palavra
dada	dada	VMP00SF	dar
com	com	SPS00	com
o	o	DA0MS0	o
Joze	José	NP00000	josé
de	de	SPS00	de
Jezus	Jesus	NP00000	jesus
Maxadinho	Machadinho	NP00000	machadinho
para	para	SPS00	para
	,	Fc	,
quando	quando	CS	quando
ce	se	P00CN000	se
coltace	soltasse	VMSI0S0	soltar
	,	Fc	,
ire	ir	VMN0000	ir
a	a	DA0FS0	o
faro	Faro	NP00000	faro
