Mano	Mano		
do	do		
Co	Coração		
	.		
Em	Em		
primero	primeiro		
Lugar	lugar		
Saude	saúde		
	,		
mais	mais		
saude	saúde		
	,		
Cautela	cautela		
	,		
Juizo	juízo		
para	para		
tudo	tudo		
	.		
Usando	Usando		
destes	destes		
meios	meios		
	,		
nada	nada		
he	é		
Empocivel	impossível		
pa	para		
fazerce	fazer-se		
,	.		
asim	Assim	RG	assim
	,	Fc	,
Vai	vai	VMM02S0	ir
por	por	SPS00	por
Santo	Santo	NP00000	santo
Antonio	António	NP00000	antónio
do	do	SPS00+DA0MS0	de+o
Coce	Couço	NP00000	couço
dereto	direito	AQ0MS0	direito
a	a	SPS00	a
bonavila	Benavila	NP00000	benavila
	,	Fc	,
dereto	direito	AQ0MS0	direito
o	ao	SPS00+DA0MS0	a+o
monte	Monte	NP00000	monte
do	do	SPS00+DA0MS0	de+o
parrera	Parreira	NP00000	parreira
,	,	Fc	,
dreto	direito	AQ0MS0	direito
o	ao	SPS00+DA0MS0	a+o
monte	Monte	NP00000	monte
do	do	SPS00+DA0MS0	de+o
Caroco	Caroço	NP00000	caroço
,	.	Fp	.
no	No	SPS00+DA0MS0	em+o
monte	Monte	NP00000	monte
do	do	SPS00+DA0MS0	de+o
Caroco	Caroço	NP00000	caroço
,	,	Fc	,
pregunta	pergunta	VMM02S0	,
donde	onde	PA000000	onde
he	é	VSIP3S0	ser
o	o	DA0MS0	o
monte	Monte	NP00000	monte
da	da	SPS00+DA0FS0	de+o
mezeriCordia	Misericórdia	NP00000	misericórdia
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
monte	monte	NCMS000	monte
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
mesmo	mesmo	RF	mesmo
ao	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
do	do	SPS00+DA0MS0	de+o
monte	Monte	NP00000	monte
do	do	SPS00+DA0MS0	de+o
Caroco	Caroço	NP00000	caroço
,	.	Fp	.
porem	Porém	RG	porém
	,	RG	porém
donde	onde	PA000000	onde
esta	está	VMIP3S0	estar
o	o	DA0MS0	o
dinhero	dinheiro	NCMS000	dinheiro
he	é	VSIP3S0	ser
no	no	SPS00+DA0MS0	em+o
monte	Monte	NP00000	monte
da	da	SPS00+DA0FS0	de+o
mezeriCordia	Misericórdia	NP00000	misericórdia
	.	Fp	.
Chegace	Chega-se	VMIP3S0+P00CN000	chegar+se
ao	ao	SPS00+DA0MS0	a+o
monte	Monte	NP00000	monte
de	de	SPS00	de
dia	dia	NCMS000	dia
para	para	SPS00	para
se	se	P00CN000	se
saber	saber	VMN0000	saber
pouco	pouco	RQ	pouco
mais	mais	RC	mais
ao	ou	CC	ou
menos	menos	RC	menos
O	o	DA0MS0	o
Sitio	sítio	NCMS000	sítio
donde	onde	PA000000	onde
esta	está	VMIP3S0	estar
o	o	DA0MS0	o
dinhero	dinheiro	NCMS000	dinheiro
	.	Fp	.
logo	Logo	RG	logo
q	que	CS	que
se	se	P00CN000	se
saiba	saiba	VMSP0S0	saber
pouco	pouco	RQ	pouco
mais	mais	RC	mais
ao	ou	CC	ou
menos	menos	RC	menos
.	,	Fc	,
Vai	vai	VMM02S0	ir
la	lá	RG	lá
de	de	SPS00	de
note	noite	NCFS000	noite
	.	Fp	.
a	A	DA0FS0	o
porta	porta	NCFS000	o
do	do	SPS00+DA0MS0	de+o
monte	Monte	NP00000	monte
esta	está	VMIP3S0	estar
para	para	SPS00	para
a	a	DA0FS0	o
parte	parte	NCFS000	o
do	do	SPS00+DA0MS0	de+o
naCente	nascente	NCMS000	nascente
,	,	Fc	,
na	na	SPS00+DA0FS0	em+o
parede	parede	NCFS000	parede
q	que	PR0CN000	que
dis	diz	VMIP3S0	dizer
pa	para	SPS00	para
a	a	DA0FS0	o
parte	parte	NCFS000	o
do	do	SPS00+DA0MS0	de+o
norte	norte	NCMS000	norte
,	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
da	da	SPS00+DA0FS0	de+o
esquina	esquina	NCFS000	esquina
q	que	PR0CN000	que
dis	diz	VMIP3S0	dizer
para	para	SPS00	para
as	as	DA0FP0	o
Cueras	cueiras	NCFS000	cueira
	.	Fp	.
desViado	Desviado	VMP0000	desviar
da	da	SPS00+DA0FS0	de+o
esquina	esquina	NCFS000	esquina
hum	um	DI0MS0	um
palmo	palmo	NCMS000	palmo
Cresido	crescido	VMP00SM	crescer
	,	Fc	,
LeVantado	levantado	VMP0000	levantar
do	do	SPS00+DA0MS0	de+o
Chão	chão	NCMS000	chão
dois	dois	Z	dois
palmos	palmos	NCMP000	palmo
e	e	CC	e
Coatro	quatro	Z	quatro
dedos	dedos	NCMP000	dedo
he	é	VSIP3S0	ser
que	que	CS	que
esta	está	VMIP3S0	estar
a	a	DA0FS0	o
dita	dita	VMP00SF	dizer
panela	panela	NCFS000	panela
metida	metida	VMP0000	meter
dentro	dentro	RG	dentro
da	da	SPS00+DA0FS0	de+o
parede	parede	NCFS000	parede
Couza	coisa	NCFS000	coisa
de	de	SPS00	de
dois	dois	Z	dois
palmos	palmos	NCMP000	palmo
.	.	Fp	.
tinha	Tinha	VMII0S0	ter
hum	um	DI0MS0	um
xaparro	chaparro	NCMS000	chaparro
defronte	defronte	RG	defronte
mesmo	mesmo	RF	mesmo
ao	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
,	.	Fp	.
Leva	Leva	VMM02S0	.
huma	uma	DI0FS0	um
bauneta	baioneta	NCFS000	baioneta
	,	Fc	,
q	que	CS	que
a	a	DA0FS0	o
parede	parede	NCFS000	o
esta	está	VMIP3S0	estar
munto	muito	RQ	muito
fresCa	fresca	AQ0FS0	fresco
,	.	Fp	.
pecoas	Pessoas	NCFP000	pessoa
,	,	Fc	,
não	não	RN	não
ha	há	VMIP3S0	haver
mais	mais	RC	mais
de	de	SPS00	de
duas	duas	Z	duas
porq	porque	CS	porque
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
monte	monte	NCMS000	monte
piqueno	pequeno	AQ0MS0	pequeno
	.	Fp	.
o	O	DA0MS0	o
dinhero	dinheiro	NCMS000	dinheiro
esta	está	VMIP3S0	estar
La	lá	RG	lá
a	há	VMIP3S0	haver
