estheve	Estive	VMIS1S0	estar
comendo	comendo	VMG0000	comer
muito	muito	RQ	muito
saudozo	saudoso	AQ0MS0	saudoso
e	e	CC	e
the	te	PP2CS000	te
partecipo	participo	VMIP1S0	participar
que	que	CS	que
pa	para	SPS00	para
sabado	sábado	NCMS000	sábado
de	de	SPS00	de
manhã	manhã	NCFS000	manhã
	,	Fc	,
la	lá	RG	lá
vai	vai	VMIP3S0	ir
portador	portador	NCMS000	portador
,	.	Fp	.
tem	Tem	VMIP3S0	ter
3	3	Z	3
tus	teus	DP2MPS	teu
caçadores	caçadores	NCMP000	caçador
d	de	SPS00	de
pirdezes	perdizes	NCMP000	perdize
prontos	prontos	AQ0MP0	pronto
;	,	Fc	,
sem	sem	SPS00	sem
falta	falta	NCFS000	falta
	,	Fc	,
sabado	sábado	NCMS000	sábado
	.	Fp	.
sou	Sou	VSIP1S0	ser
Vmce	VM	NP00000	VM
	.	Fp	.
Teu	Teu	DP2MSS	teu
amigo	amigo	NCMS000	amigo
	,	Fc	,
Sr	Senhor	NP00000	senhor
Miguel	Miguel	NP00000	miguel
