Consttame	Consta-me	VMIP3S0+PP1CS000	constar+me
que	que	CS	que
á	há	VMIP3S0	haver
dias	dias	NCMP000	dia
se	se	P00CN000	se
prenderão	prenderam	VMIS3P0	prender
em	em	SPS00	em
Coimbra	Coimbra	NP00000	coimbra
cinco	cinco	Z	cinco
ladroens	ladrões	NCMP000	ladrão
	,	Fc	,
e	e	CC	e
entre	entre	SPS00	entre
elles	eles	PP3MP000	ele
Antonio	António	NP00000	antónio
Vaz	Vaz	NP00000	vaz
da	da	SPS00+DA0FS0	de+o
Carapinheira	Carapinheira	NP00000	carapinheira
,	.	Fp	.
os	Os	DA0MP0	o
outros	outros	PI0MP000	outro
	,	Fc	,
parese	parece	VMIP3S0	parecer
q	que	CS	que
são	são	VSIP3P0	ser
d'	de	SPS00	de
Alpeáce	Alpiarça	NP00000	alpiarça
e	e	CC	e
Chamusca	Chamusca	NP00000	chamusca
.	.	Fp	.
A	Há	VMIP3S0	haver
dias	dias	NCMP000	dia
se	se	P00CN000	se
prendeo	prendeu	VMIS3S0	prender
outro	outro	PI0MS000	outro
,	,	Fc	,
dízem	dizem	VMIP3P0	dizer
d'	de	SPS00	de
Alpeace	Alpiarça	NP00000	alpiarça
,	,	Fc	,
em	em	SPS00	em
Alfarelos	Alfarelos	NP00000	alfarelos
	,	Fc	,
pelas	pelas	SPS00+DA0FP0	por+o
milicias	milícias	NCFP000	milícia
de	de	SPS00	de
Soure	Soure	NP00000	soure
	,	Fc	,
o	o	DA0MS0	o
ql	qual	PR0CS000	qual
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
nas	nas	SPS00+DA0FP0	em+o
cadeias	cadeias	NCFP000	cadeia
d'esta	desta	SPS00+DD0FS0	de+este
Villa	vila	NCFS000	vila
.	.	Fp	.
Se	Se	CS	se
VSa	VSa	NP00000	VSa
quizer	quiser	VMSF0S0	querer
requizitar	requisitar	VMN0000	requisitar
o	o	DA0MS0	o
Vaz	Vaz	NP00000	vaz
ao	ao	SPS00+DA0MS0	a+o
Ministro	Ministro	NP00000	ministro
Criminal	Criminal	NP00000	criminal
de	de	SPS00	de
Coimbra	Coimbra	NP00000	coimbra
	,	Fc	,
a	a	SPS00	a
cuja	cuja	PU0FS000	cujo
ordem	ordem	NCFS000	ordem
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
preso	preso	VMP00SM	prender
,	,	Fc	,
seria	seria	VSIC0S0	ser
bom	bom	AQ0MS0	bom
q	que	CS	que
me	me	PP1CS000	me
fosse	fosse	VSSI0S0	ser
entregue	entregue	VMP0000	entregar
pa	para	SPS00	para
mandar	mandar	VMN0000	mandar
com	com	SPS00	com
o	o	DA0MS0	o
Brittes	Brites	NP00000	brites
	,	Fc	,
q	que	CS	que
á	há	VMIP3S0	haver
tempos	tempos	NCMP000	tempo
tenho	tenho	VMIP1S0	ter
preso	preso	VMP00SM	prender
á	à	SPS00+DA0FS0	a+o
espera	espera	NCFS000	espera
de	de	SPS00	de
companhro	companheiro	NCMS000	companheiro
pa	para	SPS00	para
a	a	DA0FS0	o
remessa	remessa	NCFS000	remessa
.	.	Fp	.
Rogo	Rogo	VMIP1S0	rogar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
de	de	SPS00	de
me	me	PP1CS000	me
dizer	dizer	VMN0000	dizer
se	se	CSI	se
ainda	ainda	RG	ainda
ahi	aí	RG	aí
se	se	P00CN000	se
achã	acham	VMIP3P0	achar
presos	presos	VMP00PM	prender
os	os	DA0MP0	o
q	que	PR0CN000	que
tenho	tenho	VAIP1S0	ter
remettido	remetido	VMP0000	remeter
ou	ou	CC	ou
se	se	CSI	se
ja	já	RG	já
marcharão	marcharam	VMIS3P0	marchar
pa	para	SPS00	para
Lisboa	Lisboa	NP00000	lisboa
,	,	Fc	,
pois	pois	CS	pois
varias	várias	DI0FP0	vários
pessoas	pessoas	NCFP000	pessoa
querem	querem	VMIP3P0	querer
assignar-se	assinar-se	VMN0000+P00CN000	assinar+se
como	como	SPS00	como
partes	partes	NCFP000	parte
comtra	contra	SPS00	contra
os	os	DA0MP0	o
dos	ditos	VMP00PM	dizer
	.	Fp	.
Os	Os	DA0MP0	o
dois	dois	Z	dois
