Rmo	Reverendíssimo	AQSMS0	reverendo
Sr	Senhor	NP00000	senhor
Pe	Padre	NP00000	padre
Mel	Manuel	NP00000	manuel
Martins	Martins	NP00000	martins
Affonso	Afonso	NP00000	afonso
	.	Fp	.
Respondo	Respondo	VMIP1S0	responder
a	a	SPS00	a
tres	três	Z	três
suas	suas	PX3FP000	seu
de	de	SPS00	de
5	5	Z	5
e	e	CC	e
12	12	Z	12
e	e	CC	e
14	14	Z	14
deste	deste	SPS00+DD0MS0	de+este
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
não	não	RN	não
tenho	tenho	VMIP1S0	ter
feito	feito	VMP00SM	feito
por	por	SPS00	por
ter	ter	VAN0000	ter
ido	ido	VMP0000	ir
estar	estar	VMN0000	estar
fora	fora	RG	fora
as	às	SPS00+DA0FP0	a+o
Caldas	Caldas	NP00000	caldas
da	da	SPS00+DA0FS0	de+o
Rainha	Rainha	NP00000	rainha
	.	Fp	.
não	Não	RN	não
tenho	tenho	VMIP1S0	ter
ainda	ainda	RG	ainda
visto	visto	VMP0000	ver
o	o	DA0MS0	o
Pe	padre	NCMS000	padre
Je	José	NP00000	josé
Anto	António	NP00000	antónio
	,	Fc	,
se	se	CSI	se
vem	vem	VMIP3S0	vir
a	à	SPS00+DA0FS0	a+o
Igra	igreja	NCFS000	igreja
de	de	SPS00	de
Tortozendo	Tortosendo	NP00000	tortosendo
;	.	Fp	.
por	Por	SPS00	por
ora	ora	RG	ora
,	,	Fc	,
dis	diz	VMIP3S0	dizer
q	que	CS	que
se	se	P00CN000	se
não	não	RN	não
dão	dão	VMIP3P0	dar
,	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
mais	mais	RC	mais
não	não	RN	não
me	me	PP1CS000	me
capacito	capacito	VMIP1S0	capacitar
q	que	CS	que
seja	seja	VSSP0S0	ser
tão	tão	RC	tão
tollo	tolo	AQ0MS0	tolo
,	,	Fc	,
e	e	CC	e
	,	Fc	,
se	se	CS	se
o	o	PP3MSA00	o
fizer	fizer	VMSF0S0	fazer
,	,	Fc	,
sabado	sábado	NCMS000	sábado
faço	faço	VMIP1S0	fazer
tenção	tenção	NCFS000	tenção
ir	ir	VMN0000	ir
as	às	SPS00+DA0FP0	a+o
Cortes	Cortes	NP00000	cortes
,	.	Fp	.
poderei	Poderei	VMIF1S0	poder
	,	Fc	,
então	então	RG	então
,	,	Fc	,
vello	vê-lo	VMN0000+PP3MSA00	ver+o
,	.	Fp	.
ontem	Ontem	RG	ontem
a	à	SPS00+DA0FS0	a+o
noite	noite	NCFS000	noite
,	,	Fc	,
estive	estive	VMIS1S0	estar
com	com	SPS00	com
meos	meus	DP1MPS	meu
Pros	primos	NCMP000	primo
Deputados	deputados	NCMP000	deputado
,	.	Fp	.
hoje	Hoje	RG	hoje
	,	Fc	,
havemos	havemos	VMIP1P0	haver
de	de	SPS00	de
tornar	tornar	VMN0000	tornar
a	a	SPS00	a
falar	falar	VMN0000	falar
,	,	Fc	,
nem	nem	CCN	nem
eu	eu	PP1CSN00	eu
nisto	nisto	SPS00+PD0NN000	em+isto
falo	falo	VMIP1S0	falar
,	.	Fp	.
estimo	Estimo	VMIP1S0	estimar
mto	muito	RQ	muito
as	as	DA0FP0	o
grdes	grandes	AQ0CP0	grande
festas	festas	NCFP000	festa
pella	pela	SPS00+DA0FS0	por+o
oCazião	ocasião	NCFS000	ocasião
da	da	SPS00+DA0FS0	de+o
vinda	vinda	NCFS000	vinda
do	do	SPS00+DA0MS0	de+o
Nosso	Nosso	DP1MSP	nosso
Bom	bom	AQ0MS0	bom
Rei	Rei	NP00000	rei
,	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
Melhor	melhor	RC	bem
dos	dos	SPS00+DA0MP0	de+o
Reis	reis	NCMP000	rei
,	.	Fp	.
sinto	Sinto	VMIP1S0	sentir
bem	bem	RG	bem
não	não	RN	não
ter	ter	VAN0000	ter
la	lá	RG	lá
estado	estado	VMP0000	estar
pa	para	SPS00	para
partici-par	participar	VMN0000	participar
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
prazer	prazer	NCMS000	prazer
,	,	Fc	,
e	e	CC	e
com	com	SPS00	com
tanta	tanta	DI0FS0	tanto
justiça	justiça	NCFS000	justiça
	.	Fp	.
bom	Bom	NP00000	bom
era	era	VSSI0S0	ser
se	se	P00CN000	se
armassem	armassem	VMSI3P0	armar
pa	para	SPS00	para
ahi	aí	RG	aí
Mes	moradores	NCMP000	morador
e	e	CC	e
se	se	P00CN000	se
fizesse	fizesse	VMSI0S0	fazer
esse	esse	DD0MS0	esse
Povo	povo	NCMS000	povo
Vella	vila	NCFS000	vila
,	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
se	se	CS	se
por	por	SPS00	por
ora	ora	RG	ora
,	,	Fc	,
pa	para	SPS00	para
o	o	DA0MS0	o
dizer	dizer	VMN0000	dizer
assim	assim	RG	assim
	,	Fc	,
ds	Deus	NP00000	deus
queira	queira	VMSP0S0	querer
tentar	tentar	VMN0000	tentar
ja	já	RG	já
isso	isso	PD0NN000	isso
;	,	Fc	,
porq	porque	CS	porque
o	o	DA0MS0	o
Soberano	soberano	NCMS000	soberano
Congreço	congresso	NCMS000	congresso
tem	tem	VMIP3S0	ter
mto	muito	RQ	muito
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
,	,	Fc	,
e	e	CC	e
mmo	mesmo	RG	mesmo
tem	tem	VMIP3S0	ter
em	em	SPS00	em
vista	vista	NCFS000	vista
essas	essas	DD0FP0	esse
coizas	coisas	NCFP000	coisa
,	.	Fp	.
se	Se	CS	se
o	o	DA0MS0	o
Sr	Senhor	NP00000	senhor
Dor	doutor	NCMS000	doutor
Paullo	Paulo	NP00000	paulo
não	não	RN	não
quizer	quiser	VMSF0S0	querer
continuar	continuar	VMN0000	continuar
com	com	SPS00	com
a	a	DA0FS0	o
demanda	demanda	NCFS000	demanda
,	,	Fc	,
sinto	sinto	VMIP1S0	sentir
bem	bem	RG	bem
,	.	Fp	.
mas	Mas	CC	mas
isso	isso	PD0NN000	isso
bem	,	Fc	,
bem	bem	RG	bem
sabe	sabe	VMIP3S0	saber
	,	Fc	,
elle	ele	PP3MS000	ele
podia	podia	VMII0S0	poder
morrer	morrer	VMN0000	morrer
e	e	CC	e
nem	nem	CCN	nem
por	por	SPS00	por
isso	isso	PD0NN000	isso
a	a	DA0FS0	o
demanda	demanda	NCFS000	demanda
avia	havia	VMII0S0	haver
de	de	SPS00	de
parar	parar	VMN0000	parar
,	.	Fp	.
eu	Eu	PP1CSN00	eu
escrevi	escrevi	VMIS1S0	escrever
daqui	daqui	SPS00+RG	de+aqui
a	a	SPS00	a
22	22	Z	22
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
ao	ao	SPS00+DA0MS0	a+o
Sr	Senhor	NP00000	senhor
Juis	juiz	NCMS000	juiz
de	de	SPS00	de
Fora	fora	RG	fora
dessa	dessa	SPS00+DD0FS0	de+esse
Villa	vila	NCFS000	vila
sobre	sobre	SPS00	sobre
a	a	DA0FS0	o
facada	facada	NCFS000	facada
,	,	Fc	,
não	não	RN	não
tenho	tenho	VMIP1S0	ter
ainda	ainda	RG	ainda
tido	tido	VMP0000	ter
resposta	resposta	NCFS000	resposta
,	.	Fp	.
Ca	Cá	RG	cá
verei	verei	VMIF1S0	ver
,	.	Fp	.
estimo	Estimo	VMIP1S0	estimar
mto	muito	RQ	muito
tenha	tenha	VMSP0S0	ter
saude	saúde	NCFS000	saúde
e	e	CC	e
qto	quanto	PA000000	quanto
lhe	lhe	PP3CSD00	lhe
pertence	pertence	VMIP3S0	pertencer
,	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
Sr	Senhor	NP00000	senhor
seu	seu	DP3MS0	seu
sobro	sobrinho	NCMS000	sobrinho
,	,	Fc	,
a	a	SPS00	a
qm	quem	PR0CN000	quem
peco	peço	VMIP1S0	pedir
me	me	PP1CS000	me
recomende	recomende	VMSP0S0	recomendar
e	e	CC	e
a	a	SPS00	a
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
meos	meus	DP1MPS	meu
freguezes	fregueses	NCMP000	freguês
,	,	Fc	,
a	a	SPS00	a
qm	quem	PR0CN000	quem
offereço	ofereço	VMIP1S0	oferecer
meos	meus	DP1MPS	meu
serviços	serviços	NCMP000	serviço
,	,	Fc	,
sem	sem	SPS00	sem
excepcão	exceção	NCFS000	exceção
de	de	SPS00	de
pessoa	pessoa	NCFS000	pessoa
,	,	Fc	,
e	e	CC	e
desde	desde	SPS00	desde
o	o	DA0MS0	o
maior	maior	AQ0CS0	maior
athe	até	SPS00	até
ao	ao	SPS00+DA0MS0	a+o
menor	menor	AQ0CS0	menor
,	,	Fc	,
e	e	CC	e
peço	peço	VMIP1S0	pedir
me	me	PP1CS000	me
encomende	encomende	VMSP0S0	encomendar
a	a	SPS00	a
Ds	Deus	NP00000	deus
nas	nas	SPS00+DA0FP0	em+o
suas	suas	DP3FP0	seu
oraçoes	orações	NCFP000	oração
,	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
sempre	sempre	RG	sempre
faço	faço	VMIP1S0	fazer
,	.	Fp	.
mas	Mas	CC	mas
como	como	CS	como
mto	muito	RQ	muito
mais	mais	RC	mais
não	não	RN	não
posso	posso	VMIP1S0	poder
ser	ser	VSN0000	ser
ouvido	ouvido	VMP00SM	ouvir
	,	Fc	,
não	não	RN	não
esqueça	esqueça	VMSP0S0	esquecer
a	a	SPS00	a
respto	respeito	NCMS000	respeito
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
pedi	pedi	VMIS1S0	pedir
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
22	22	Z	22
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
	,	Fc	,
de	de	SPS00	de
exortar	exortar	VMN0000	exortar
meos	meus	DP1MPS	meu
freguezes	fregueses	NCMP000	freguês
da	da	SPS00+DA0FS0	de+o
ma	minha	DP1FSS	meu
e	e	CC	e
