Recebi	Recebi	VMIS1S0	receber
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
estimadas	estimadas	VMP00PF	estimar
Letras	letras	NCFP000	letra
e	e	CC	e
nellas	nelas	SPS00+PP3FP000	em+ele
Veijo	vejo	VMIP1S0	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
diz	diz	VMIP3S0	dizer
a	a	SPS00	a
Respeito	respeito	NCMS000	respeito
de	de	SPS00	de
amizade	amizade	NCFS000	amizade
	.	Fp	.
eu	Eu	PP1CSN00	eu
tambem	também	RG	também
sou	sou	VSIP1S0	ser
firme	firme	AQ0CS0	firme
	,	Fc	,
pois	pois	CS	pois
o	o	DA0MS0	o
q	que	PR0CN000	que
pormeto	prometo	VMIP1S0	prometer
não	não	RN	não
falto	falto	VMIP1S0	faltar
	,	Fc	,
pois	pois	CS	pois
primeiro	primeiro	RG	primeiro
Deixara	deixará	VMIF3S0	deixar
o	o	DA0MS0	o
Sol	Sol	NP00000	sol
alumiar	alumiar	VMN0000	alumiar
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
o	o	DA0MS0	o
q	que	PR0CN000	que
pormeto	prometo	VMIP1S0	prometer
faltar	faltar	VMN0000	faltar
;	.	Fp	.
Faltarão	Faltarão	VMIF3P0	faltar
as	as	DA0FP0	o
estrelas	estrelas	NCFP000	o
no	no	SPS00+DA0MS0	em+o
ar	ar	NCMS000	ar
	,	Fc	,
mas	mas	CC	mas
o	o	DA0MS0	o
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
pormeter	prometer	VMN0000	prometer
não	não	RN	não
hei	hei	VMIP1S0	haver
de	de	SPS00	de
faltar	faltar	VMN0000	faltar
	.	Fp	.
Tenha	Tenha	VMSP0S0	ter
por	por	SPS00	por
certo	certo	AQ0MS0	certo
que	que	CS	que
em	em	SPS00	em
as	as	DA0FP0	o
déz	dez	Z	dez
da	da	SPS00+DA0FS0	de+o
noite	noite	NCFS000	noite
dando	dando	VMG0000	dar
	,	Fc	,
podes	podes	VMIP2S0	poder
querer	crer	VMN0000	crer
q	que	CS	que
estou	estou	VMIP1S0	estar
esperando	esperando	VMG0000	esperar
Pellos	pelos	SPS00+DA0MP0	por+o
Céos	Céus	NP00000	céus
	.	Fp	.
espero	Espero	VMIP1S0	esperar
firmeza	firmeza	NCFS000	firmeza
	.	Fp	.
Tira	Tira	VMM02S0	.
teu	teu	DP2MSS	teu
Coração	coração	NCMS000	coração
de	de	SPS00	de
tamanha	tamanha	AQ0FS0	tamanho
dureza	dureza	NCFS000	dureza
	.	Fp	.
Destte	Deste	Fp	.
teu	teu	Fp	.
Coração	coração	Fp	.
q	que	Fp	.
espera	espera	Fp	.
alivio	alívio	Fp	.
da	da	Fp	.
tua	tua	Fp	.
mão	mão	Fp	.
	.	Fp	.
eu	Eu	Fp	.
fico	fico	Fp	.
nesta	nesta	Fp	.
triste	triste	Fp	.
afelição	aflição	Fp	.
	.	Fp	.
