Esta	Esta	PD0FS000	este
serve	serve	VMIP3S0	servir
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
pedir	pedir	VMN0000	pedir
hum	um	DI0MS0	um
grande	grande	AQ0CS0	grande
favor	favor	NCMS000	favor
,	,	Fc	,
que	que	PR0CN000	que
he	é	VSIP3S0	ser
de	de	SPS00	de
nos	nos	PP1CP000	nos
emprestar	emprestar	VMN0000	emprestar
30	30	Z	30
moedas	moedas	NCFP000	moeda
e	e	CC	e
de	de	SPS00	de
as	as	PP3FPA00	o
mandar	mandar	VMN0000	mandar
entregar	entregar	VMN0000	entregar
no	no	SPS00+DA0MS0	em+o
limoeiro	Limoeiro	NP00000	limoeiro
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Prizão	Prisão	NP00000	prisão
da	da	SPS00+DA0FS0	de+o
salla	Sala	NP00000	sala
fechada	Fechada	NP00000	fechada
da	da	SPS00+DA0FS0	de+o
Cidade	Cidade	NP00000	cidade
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
prêzo	preso	NCMS000	preso
Joze	José	NP00000	josé
Joaquim	Joaquim	NP00000	joaquim
de	de	SPS00	de
Moraes	Morais	NP00000	morais
,	,	Fc	,
desta	desta	SPS00+DD0FS0	de+este
forma	forma	NCFS000	forma
-	:	Fd	:
Chegando	chegando	VMG0000	chegar
á	à	SPS00+DA0FS0	a+o
grade	grade	NCFS000	grade
	,	Fc	,
e	e	CC	e
pruguntando	perguntando	VMG0000	perguntar
por	por	SPS00	por
este	este	DD0MS0	este
nome	nome	NCMS000	nome
	,	Fc	,
e	e	CC	e
entregarlhe	entregar-lhe	VMN0000+PP3CSD00	entregar+lhe
este	este	DD0MS0	este
dinheiro	dinheiro	NCMS000	dinheiro
embrolhado	embrulhado	VMP00SM	embrulhar
em	em	SPS00	em
huma	uma	DI0FS0	um
coisa	coisa	NCFS000	coisa
q	que	PR0CN000	que
paressa	pareça	VMSP0S0	parecer
huma	uma	DI0FS0	um
emcomenda	encomenda	NCFS000	encomenda
	,	Fc	,
e	e	CC	e
q	que	PR0CN000	que
seja	seja	VSSP0S0	ser
em	em	VSSP0S0	ser
Ouro	ouro	VSSP0S0	ser
ou	ou	VSSP0S0	ser
em	em	VSSP0S0	ser
Papel	papel	VSSP0S0	ser
,	,	VSSP0S0	ser
por	por	VSSP0S0	ser
via	via	VSSP0S0	ser
q	que	CS	que
os	os	DA0MP0	o
mais	mais	DA0MP0	o
prezos	presos	DA0MP0	o
não	não	DA0MP0	o
persebam	percebam	DA0MP0	o
o	o	DA0MS0	o
que	que	PR0CN000	que
he	é	PR0CN000	que
,	.	PR0CN000	que
e	E	PR0CN000	que
	,	PR0CN000	que
antes	antes	PR0CN000	que
disto	disto	SPS00+PD0NN000	que
	,	SPS00+PD0NN000	que
que	que	CS	que
lhe	lhe	CS	que
prugunte	pergunte	CS	que
ao	ao	SPS00+DA0MS0	a+o
Prezo	preso	SPS00+DA0MS0	a+o
	,	SPS00+DA0MS0	a+o
entregando	entregando	SPS00+DA0MS0	a+o
desta	desta	SPS00+DD0FS0	a+o
forma	forma	SPS00+DD0FS0	a+o
	,	SPS00+DD0FS0	a+o
que	que	CS	que
tempo	tempo	CS	que
ha	há	CS	que
que	que	CS	que
elle	ele	CS	que
escreveu	escreveu	CS	que
a	a	SPS00	a
seu	seu	DP3MS0	seu
Irmão	irmão	NCMS000	irmão
	.	NCMS000	irmão
elle	Ele	NCMS000	irmão
ha	há	NCMS000	irmão
de	de	NCMS000	irmão
responder	responder	NCMS000	irmão
á	há	NCMS000	irmão
mez	mês	NCMS000	irmão
e	e	NCMS000	irmão
meio	meio	NCMS000	irmão
e	e	NCMS000	irmão
	,	NCMS000	irmão
respondendo	respondendo	NCMS000	irmão
isto	isto	NCMS000	irmão
	,	NCMS000	irmão
que	que	CS	que
lhe	lhe	CS	que
entregue	entregue	CS	que
,	,	CS	que
e	e	CS	que
menos	menos	CS	que
disto	disto	CS	que
que	que	CS	que
não	não	CS	que
entregue	entregue	CS	que
,	,	CS	que
que	que	CS	que
isto	isto	CS	que
he	é	CS	que
para	para	CS	que
que	que	CS	que
não	não	CS	que
haja	haja	CS	que
engano	engano	CS	que
com	com	CS	que
outro	outro	CS	que
prêzo	preso	CS	que
	!	CS	que
adevirto	Advirto	CS	que
que	que	CS	que
dinheiro	dinheiro	CS	que
he	é	CS	que
pa	para	CS	que
este	este	CS	que
nosso	nosso	DP1MSP	nosso
amigo	amigo	DP1MSP	nosso
e	e	DP1MSP	nosso
camarada	camarada	DP1MSP	nosso
sahir	sair	DP1MSP	nosso
	.	DP1MSP	nosso
logo	Logo	DP1MSP	nosso
q	que	CS	que
o	o	PP3MSA00	o
receba	receba	VMSP0S0	receber
	,	VMSP0S0	receber
sai	sai	VMIP3S0	sair
sôlto	solto	AQ0MSP	solto
,	.	AQ0MSP	solto
adevirto	Advirto	AQ0MSP	solto
que	que	CS	que
este	este	CS	que
dinheiro	dinheiro	NCMS000	dinheiro
ha	há	NCMS000	dinheiro
de	de	NCMS000	dinheiro
pagar	pagar	NCMS000	dinheiro
dia	dia	NCMS000	dinheiro
30	30	NCMS000	dinheiro
do	do	SPS00+DA0MS0	de+o
Mez	mês	SPS00+DA0MS0	de+o
de	de	SPS00+DA0MS0	de+o
S	São	SPS00+DA0MS0	de+o
João	João	SPS00+DA0MS0	de+o
,	.	SPS00+DA0MS0	de+o
adevirto	Advirto	SPS00+DA0MS0	de+o
que	que	CS	que
haja	haja	CS	que
falta	falta	CS	que
a	a	SPS00	a
esta	esta	SPS00	a
entrega	entrega	NCFS000	a
athe	até	NCFS000	a
dia	dia	NCFS000	a
25	25	NCFS000	a
deste	deste	SPS00+DD0MS0	de+este
Mez	mês	SPS00+DD0MS0	de+este
e	e	SPS00+DD0MS0	de+este
não	não	SPS00+DD0MS0	de+este
já	já	SPS00+DD0MS0	de+este
pode	pode	SPS00+DD0MS0	de+este
saber	saber	SPS00+DD0MS0	de+este
que	que	CS	que
temos	temos	CS	que
mt	muito	CS	que
donde	onde	PA000000	onde
lhe	lhe	PA000000	onde
fazermos	fazermos	PA000000	onde
mt	muito	PA000000	onde
e	e	PA000000	onde
conte	conte	PA000000	onde
q	que	CS	que
não	não	CS	que
sahirá	sairá	CS	que
mais	mais	CS	que
vezes	vezes	CS	que
nem	nem	CCN	nem
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
famillia	família	DP3FS0	seu
em	em	DP3FS0	seu
carruagem	carruagem	DP3FS0	seu
nem	nem	CCN	nem
em	em	CCN	nem
Traquitana	traquitana	CCN	nem
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
Pallacio	palácio	DP3MS0	seu
	,	DP3MS0	seu
que	que	CS	que
nos	nós	CS	que
lhe	lhe	CS	que
seguiremos	seguiremos	CS	que
os	os	DA0MP0	o
paços	passos	NCMP000	passo
	.	NCMP000	passo
ou	Ao	SPS00+DA0MS0	a+o
encontro	encontro	SPS00+DA0MS0	a+o
	,	SPS00+DA0MS0	a+o
porem	porém	RG	porém
	,	RG	porém
nós	nós	RG	porém
esperamos	esperamos	RG	porém
que	que	CS	que
não	não	CS	que
haja	haja	CS	que
falta	falta	CS	que
	,	CS	que
quando	quando	CS	que
não	não	CS	que
,	,	CS	que
não	não	CS	que
se	se	P00CN000	se
queixe	queixe	P00CN000	se
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
lhe	lhe	PR0CN000	que
acontecer	acontecer	VMSF0S0	que
	.	VMSF0S0	que
Nós	Nós	VMSF0S0	que
não	não	VMSF0S0	que
entreganus	entregamos	VMSF0S0	que
este	este	VMSF0S0	que
propriamte	propriamente	VMSF0S0	que
porque	porque	CS	porque
sômos	somos	CS	porque
conhecidos	conhecidos	CS	porque
	.	CS	porque
o	O	DA0MS0	o
q	que	PR0CN000	que
crêmos	queremos	PR0CN000	que
he	é	PR0CN000	que
segredo	segredo	PR0CN000	que
e	e	PR0CN000	que
q	que	CS	que
não	não	CS	que
seja	seja	VSSP0S0	ser
precizo	preciso	VSSP0S0	ser
outro	outro	VSSP0S0	ser
avizo	aviso	VSSP0S0	ser
	!	VSSP0S0	ser
e	E	VSSP0S0	ser
	,	VSSP0S0	ser
qdo	quando	VSSP0S0	ser
não	não	VSSP0S0	ser
	,	VSSP0S0	ser
o	o	DA0MS0	o
Diábo	Diabo	DA0MS0	o
tomará	tomará	DA0MS0	o
toda	toda	DA0MS0	o
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
fama	família	DP3FS0	seu
e	e	DP3FS0	seu
quanto	quanto	PA000000	quanto
lhe	lhe	PA000000	quanto
pertence	pertence	PA000000	quanto
á	à	SPS00+DA0FS0	a+o
sua	sua	PX3FS000	seu
e	e	PX3FS000	seu
nossa	nossa	DP1FSP	nosso
conta	conta	DP1FSP	nosso
	.	DP1FSP	nosso
e	E	DP1FSP	nosso
conte	conte	DP1FSP	nosso
q	que	CS	que
lhe	lhe	CS	que
deitaremos	deitaremos	CS	que
fôgo	fogo	CS	que
a	a	SPS00	a
tudo	tudo	SPS00	a
e	e	SPS00	a
á	à	SPS00+DA0FS0	a+o
propria	própria	SPS00+DA0FS0	a+o
Vida	vida	SPS00+DA0FS0	a+o
	.	SPS00+DA0FS0	a+o
e	E	SPS00+DA0FS0	a+o
assim	assim	SPS00+DA0FS0	a+o
he	é	SPS00+DA0FS0	a+o
que	que	CS	que
não	não	CS	que
ficara	ficará	CS	que
Satesfeito	satisfeito	CS	que
,	,	CS	que
pois	pois	CS	que
nós	nós	CS	que
temos	temos	CS	que
o	o	DA0MS0	o
Adajudatorio	ajudatório	NCMS000	ajudatório
que	que	PR0CN000	que
nos	nos	PR0CN000	que
he	é	PR0CN000	que
precizo	preciso	PR0CN000	que
	.	PR0CN000	que
e	E	PR0CN000	que
assim	assim	PR0CN000	que
não	não	PR0CN000	que
queira	queira	PR0CN000	que
que	que	CS	que
nós	nós	CS	que
rompamos	rompamos	CS	que
n'este	neste	SPS00+DD0MS0	em+este
exceço	excesso	NCMS000	excesso
	,	NCMS000	excesso
que	que	CS	que
athe	até	CS	que
ao	ao	SPS00+DA0MS0	a+o
prezente	presente	SPS00+DA0MS0	a+o
temos	temos	SPS00+DA0MS0	a+o
guardado	guardado	SPS00+DA0MS0	a+o
todo	todo	SPS00+DA0MS0	a+o
respeito	respeito	SPS00+DA0MS0	a+o
	.	SPS00+DA0MS0	a+o
porem	Porém	RG	porém
	,	RG	porém
avendo	havendo	RG	porém
falta	falta	RG	porém
	,	RG	porém
fica	fica	RG	porém
o	o	DA0MS0	o
respeito	respeito	NCMS000	respeito
perdido	perdido	NCMS000	respeito
	.	NCMS000	respeito
e	E	NCMS000	respeito
q	que	CS	que
seja	seja	VSSP0S0	ser
entregue	entregue	VSSP0S0	ser
n'este	neste	SPS00+DD0MS0	em+este
dia	dia	SPS00+DD0MS0	em+este
	.	SPS00+DD0MS0	em+este
fica	Fica	SPS00+DD0MS0	em+este
ditto	dito	SPS00+DD0MS0	em+este
	.	SPS00+DD0MS0	em+este
não	Não	SPS00+DD0MS0	em+este
preciza	precisa	SPS00+DD0MS0	em+este
mais	mais	SPS00+DD0MS0	em+este
declaração	declaração	SPS00+DD0MS0	em+este
,	,	SPS00+DD0MS0	em+este
pois	pois	SPS00+DD0MS0	em+este
nós	nós	SPS00+DD0MS0	em+este
não	não	SPS00+DD0MS0	em+este
faltamos	faltamos	SPS00+DD0MS0	em+este
a	à	SPS00+DA0FS0	a+o
nóssa	nossa	DP1FSP	nosso
palávra	palavra	DP1FSP	nosso
	,	DP1FSP	nosso
tanto	tanto	DP1FSP	nosso
no	no	SPS00+DA0MS0	em+o
que	que	PR0CN000	que
he	é	PR0CN000	que
bem	bem	PR0CN000	que
como	como	PR0CN000	que
no	no	SPS00+DA0MS0	em+o
que	que	PR0CN000	que
he	é	PR0CN000	que
mál	mal	PR0CN000	que
,	,	PR0CN000	que
ou	ou	PR0CN000	que
ainda	ainda	PR0CN000	que
mais	mais	PR0CN000	que
alguma	alguma	PR0CN000	que
coisa	coisa	PR0CN000	que
,	.	PR0CN000	que
e	E	PR0CN000	que
com	com	PR0CN000	que
isto	isto	PR0CN000	que
athe	até	PR0CN000	que
dia	dia	PR0CN000	que
25	25	PR0CN000	que
do	do	SPS00+DA0MS0	de+o
Mez	mês	SPS00+DA0MS0	de+o
	.	SPS00+DA0MS0	de+o
de	De	SPS00+DA0MS0	de+o
S	São	SPS00+DA0MS0	de+o
João	João	SPS00+DA0MS0	de+o
da	da	SPS00+DA0FS0	de+o
Pedreira	Pedreira	SPS00+DA0FS0	de+o
	.	SPS00+DA0FS0	de+o
22	22	SPS00+DA0FS0	de+o
de	de	SPS00+DA0FS0	de+o
Maio	maio	SPS00+DA0FS0	de+o
de	de	SPS00+DA0FS0	de+o
1822	1822	SPS00+DA0FS0	de+o
Eu	Eu	SPS00+DA0FS0	de+o
e	e	SPS00+DA0FS0	de+o
meus	meus	SPS00+DA0FS0	de+o
companheiros	companheiros	SPS00+DA0FS0	de+o
	,	SPS00+DA0FS0	de+o
Pedro	Pedro	SPS00+DA0FS0	de+o
lial	Leal	SPS00+DA0FS0	de+o
	.	SPS00+DA0FS0	de+o
Com	Com	SPS00+DA0FS0	de+o
isto	isto	SPS00+DA0FS0	de+o
bem	bem	SPS00+DA0FS0	de+o
pode	pode	SPS00+DA0FS0	de+o
V	Vossa	DP2FSP	vosso
entender	entender	DP2FSP	vosso
	.	DP2FSP	vosso
