Serenisso	Sereníssimo	AQSMS0	sereno
Senhor	Senhor	NP00000	senhor
Tenho	Tenho	VMIP1S0	ter
a	a	DA0FS0	o
honra	honra	NCFS000	honra
de	de	SPS00	de
participar	participar	VMN0000	participar
a	a	SPS00	a
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
q	que	CS	que
	,	Fc	,
não	não	RN	não
me	me	PP1CS000	me
tendo	tendo	VMG0000	ter
apparecido	aparecido	VMP0000	aparecer
Candido	Cândido	NP00000	cândido
d'	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Sandoval	Sandoval	NP00000	sandoval
em	em	SPS00	em
as	as	DA0FP0	o
noutes	noites	NCFP000	noite
dos	dos	SPS00+DA0MP0	de+o
dias	dias	NCMP000	dia
oito	oito	Z	oito
e	e	CC	e
nove	nove	Z	nove
do	do	SPS00+DA0MS0	de+o
corrente	corrente	NCMS000	corrente
mez	mês	NCMS000	mês
,	,	Fc	,
como	como	CS	como
tinha	tinha	VMII0S0	ter
justo	justo	NCMS000	justo
comigo	comigo	SPS00+PP1CSO00	com+mim
(	(	Fc	(
em	em	SPS00	em
observancia	observância	NCFS000	observância
das	das	SPS00+DA0FP0	de+o
Reaes	reais	AQ0CP0	real
Ordens	ordens	NCFP000	ordem
de	de	SPS00	de
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
)	)	Fbt	)
,	,	Fc	,
o	o	PP3MSA00	o
fui	fui	VMIS1S0	ir
procurar	procurar	VMN0000	procurar
a	a	SPS00	a
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
;	.	Fp	.
apenas	Apenas	RG	apenas
chego	chego	VMIP1S0	chegar
e	e	CC	e
nos	nos	SPS00+DA0MP0	em+o
saudámos	saudámos	VMIS1P0	saudar
,	,	Fc	,
me	me	PP1CS000	me
diz	diz	VMIP3S0	dizer
Sandoval	Sandoval	NP00000	sandoval
:	:	Fp	:
«	«	Fra	«
Ora	Ora	RG	ora
mui«to	muito	RQ	muito
estimo	estimo	VMIP1S0	estimar
q	que	CS	que
me	me	PP1CS000	me
vizitasse	visitasse	VMSI0S0	visitar
hoje	hoje	RG	hoje
porq	porque	CS	porque
tenho	tenho	VMIP1S0	ter
cousas	coisas	NCFP000	coisa
grandes	grandes	AQ0CP0	grande
a	a	SPS00	a
partecipar-lhe	participar-lhe	VMN0000+PP3CSD00	participar+lhe
!	!	Fp	!
e	E	CC	e
continúa	continua	VMIP3S0	continuar
:	:	Fp	:
Eu	Eu	PP1CSN00	eu
hontem	ontem	RG	ontem
á	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
estive	estive	VMIS1S0	estar
com	com	SPS00	com
hum	um	DI0MS0	um
Figurão	figurão	NCMS000	figurão
q	que	PR0CN000	que
me	me	PP1CS000	me
asseverou	asseverou	VMIS3S0	asseverar
termos	termos	NCMP000	termo
tropas	tropas	NCFP000	tropa
á	à	SPS00+DA0FS0	a+o
nos«sa	nossa	DP1FSP	nosso
disposição	disposição	NCFS000	disposição
e	e	CC	e
até	até	SPS00	até
creio	creio	VMIP1S0	crer
q	que	CS	que
alguns	alguns	DI0MP0	algum
Chefes	chefes	NCMP000	chefe
,	.	Fp	.
e	E	CC	e
visto	visto	VMP00SM	ver
que	que	CS	que
temos	temos	VMIP1P0	ter
a	a	DA0FS0	o
vantagem	vantagem	NCFS000	vantagem
da	da	SPS00+DA0FS0	de+o
imprensa	imprensa	NCFS000	imprensa
,	,	Fc	,
tudo	tudo	PI0NN000	tudo
está	está	VMIP3S0	estar
feito	feito	NCMS000	feito
;	.	Fp	.
porêm	Porém	RG	porém
	,	Fc	,
o	o	DA0MS0	o
Plano	plano	NCMS000	plano
dos	dos	SPS00+DA0MP0	de+o
nossos	nossos	DP1MPP	nosso
Amigos	amigos	NCMP000	amigo
he	é	VSIP3S0	ser
de	de	SPS00	de
se	se	CS	se
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
Revo«lução	revolução	NCFS000	revolução
em	em	SPS00	em
Lisboa	Lisboa	NP00000	lisboa
,	,	Fc	,
visto	visto	VMP00SM	ver
o	o	DA0MS0	o
grande	grande	AQ0CS0	grande
partido	partido	NCMS000	partido
q	que	PR0CN000	que
aqui	aqui	RG	aqui
temos	temos	VMIP1P0	ter
;	,	Fc	,
e	e	CC	e
por	por	SPS00	por
isso	isso	PD0NN000	isso
não	não	RN	não
convêm	convém	VMIP3S0	convir
q	que	CS	que
se	se	P00CN000	se
imprima	imprima	VMSP0S0	imprimir
por	por	SPS00	por
ora	ora	RG	ora
a	a	DA0FS0	o
Pro«clamação	proclamação	NCFS000	proclamação
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dei	dei	VMIS1S0	dar
em	em	SPS00	em
q	que	PR0CN000	que
se	se	P00CN000	se
desacredita	desacredita	VMIP3S0	desacreditar
El Rei	El-Rei	NP00000	el-rei
,	,	Fc	,
porq	porque	CS	porque
em	em	SPS00	em
Nome	nome	NCMS000	nome
d'	de	SPS00	de
El Rei	El-Rei	NP00000	el-rei
he	é	VSIP3S0	ser
q	que	CS	que
se	se	P00CN000	se
hade	há-de	VMIP3S0+SPS00	haver+de
fazer	fazer	VMN0000	fazer
tudo	tudo	PI0NN000	tudo
;	.	Fp	.
El Rei	El-Rei	NP00000	el-rei
hade	há-de	VMIP3S0+SPS00	haver+de
ser	ser	NCMS000	ser
a	a	SPS00	a
nossa	nossa	DP1FSP	nosso
capa	capa	NCFS000	capa
;	,	Fc	,
mas	mas	CC	mais
quem	quem	PR0CN000	quem
devemos	devemos	VMIP1P0	dever
segurar	segurar	VMN0000	segurar
lo«go	logo	RG	logo
he	é	VSIP3S0	ser
o	o	DA0MS0	o
Infante	Infante	NP00000	infante
.	.	Fp	.
Eu	Eu	PP1CSN00	eu
já	já	RG	já
fiz	fiz	VMIS1S0	fazer
outra	outra	DI0FS0	outro
Proclamação	proclamação	NCFS000	proclamação
,	,	Fc	,
continúa	continua	VMIP3S0	continuar
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
e	e	CC	e
hum	um	DI0MS0	um
Decreto	decreto	NCMS000	decreto
q	que	PR0CN000	que
não	não	RN	não
tenho	tenho	VMIP1S0	ter
agora	agora	RG	agora
em	em	SPS00	em
casa	casa	NCFS000	casa
e	e	CC	e
por	por	SPS00	por
esse	esse	DD0MS0	esse
motivo	motivo	NCMS000	motivo
lho	lho	PP3CSD00+PP3MSA00	lhe+o
não	não	RN	não
mostro	mostro	VMIP1S0	mostrar
;	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
sexta feira	sexta-feira	NCFS000	sexta-feira
á	à	SPS00+DA0FS0	a+o
noi«te	noite	NCFS000	noite
vou	vou	VMIP1S0	ir
a	a	SPS00	a
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
,	,	Fc	,
e	e	CC	e
então	então	RG	então
os	os	PP3MSA00	o
verá	verá	VMIF3S0	ver
.	.	Fp	.
Para	Para	SPS00	para
conseguir«mos	conseguirmos	VMN01P0	conseguir
os	os	DA0MP0	o
nossos	nossos	DP1MPP	nosso
fins	fins	NCMP000	fim
	,	Fc	,
até	até	SPS00	até
em	em	SPS00	em
Lisboa	Lisboa	NP00000	lisboa
temos	temos	VMIP1P0	ter
ouro	ouro	NCMS000	ouro
hespanhol	espanhol	AQ0MS0	espanhol
,	.	Fp	.
nada	Nada	PI0NN00N	nada
nos	nos	SPS00+DA0MP0	em+o
hade	há-de	VMIP3S0+SPS00	haver+de
faltar	faltar	VMN0000	faltar
.	.	Fp	.
»	»	Frt	»
Ponderei	Ponderei	VMIS1S0	ponderar
a	a	SPS00	a
Sandoval	Sandoval	NP00000	sandoval
a	a	DA0FS0	o
difficuldade	dificuldade	NCFS000	dificuldade
que	que	PR0CN000	que
havia	havia	VMII0S0	haver
em	em	SPS00	em
se	se	CS	se
effectuar	efetuar	VMN0000	efetuar
semelhante	semelhante	AQ0CS0	semelhante
Plano	plano	NCMS000	plano
aqui	aqui	RG	aqui
na	na	SPS00+DA0FS0	em+o
Capital	capital	NCFS000	capital
porq	porque	CS	porque
o	o	DA0MS0	o
Governo	governo	NCMS000	governo
era	era	VSII0S0	ser
muito	muito	RQ	muito
activo	ativo	AQ0MS0	ativo
e	e	CC	e
vigilante	vigilante	AQ0MS0	vigilante
.	.	Fp	.
«	«	Fra	«
