Serenissimo	Sereníssimo	AQSMS0	sereno
Senhor	Senhor	NP00000	senhor
Tenho	Tenho	VMIP1S0	ter
a	a	DA0FS0	o
mui	muito	RQ	muito
destincta	distinta	AQ0FS0	distinto
honra	honra	NCFS000	honra
de	de	SPS00	de
participar	participar	VMN0000	participar
a	a	SPS00	a
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
q	que	CS	que
	,	Fc	,
tendo	tendo	VMG0000	ter
ficado	ficado	VMP0000	ficar
Candido	Cândido	NP00000	cândido
d'	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Sandoval	Sandoval	NP00000	sandoval
de	de	SPS00	de
vir	vir	VMN0000	vir
á	à	SPS00+DA0FS0	a+o
casa	casa	NCFS000	casa
de	de	SPS00	de
minha	minha	DP1FSS	meu
habitação	habitação	NCFS000	habitação
em	em	SPS00	em
a	a	DA0FS0	o
noute	noite	NCFS000	noite
do	do	SPS00+DA0MS0	de+o
dia	dia	NCMS000	dia
doze	doze	Z	doze
pelas	pelas	SPS00+DA0FP0	por+o
nove	nove	Z	nove
horas	horas	NCFP000	hora
e	e	CC	e
meia	meia	NCFS000	meia
para	para	SPS00	para
me	me	PP1CS000	me
trazer	trazer	VMN0000	trazer
os	os	DA0MP0	o
Originaes	originais	NCMP000	o
de	de	SPS00	de
huma	uma	DI0FS0	um
Proclamação	proclamação	NCFS000	proclamação
contra	contra	SPS00	contra
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
,	,	Fc	,
hum	um	DI0MS0	um
Decreto	decreto	NCMS000	decreto
e	e	CC	e
huma	uma	DI0FS0	um
Circular	circular	NCFS000	circular
,	,	Fc	,
não	não	RN	não
appareceo	apareceu	VMIS3S0	aparecer
;	.	Fp	.
espereio	Esperei-o	VMIS1S0+PP3MSA00	esperar+o
na	na	SPS00+DA0FS0	em+o
seguinte	seguinte	AQ0CS0	seguinte
noite	noite	NCFS000	noite
,	,	Fc	,
faltou	faltou	VMIS3S0	faltar
tambem	também	RG	também
;	.	Fp	.
e	E	CC	e
temendo	temendo	VMG0000	temer
eu	eu	PP1CSN00	eu
q	que	CS	que
Sandoval	Sandoval	NP00000	sandoval
tivesse	tivesse	VMSI0S0	ter
algum	algum	DI0MS0	algum
receio	receio	NCMS000	receio
e	e	CC	e
por	por	SPS00	por
isso	isso	PD0NN000	isso
não	não	RN	não
voltasse	voltasse	VMSI0S0	voltar
mais	mais	RC	mais
a	a	SPS00	a
minha	minha	DP1FSS	meu
casa	casa	NCFS000	casa
,	,	Fc	,
procureio	procurei-o	VMIS1S0+PP3MSA00	procurar+o
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
quatorze	catorze	Z	catorze
ás	às	SPS00+DA0FP0	a+o
oito	oito	Z	oito
horas	horas	NCFP000	hora
,	.	Fp	.
acheio	Achei-o	VMIS1S0+PP3MSA00	achar+o
em	em	SPS00	em
casa	casa	NCFS000	casa
e	e	CC	e
	,	Fc	,
perguntando-lhe	perguntando-lhe	VMG0000+PP3CSD00	perguntar+lhe
por	por	SPS00	por
q	que	PR0CN000	que
motivo	motivo	NCMS000	motivo
não	não	RN	não
tinha	tinha	VAII0S0	ter
fallado	falado	VMP0000	falar
,	,	Fc	,
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
respondeo	respondeu	VMIS3S0	responder
q	que	CS	que
nos	nos	SPS00+DA0MP0	em+o
dias	dias	NCMP000	dia
antecedentes	antecedentes	NCMP000	antecedente
tinha	tinha	VAIP3S0	ter
tido	tido	VMP0000	ter
Conferencias	conferências	NCFP000	conferência
com	com	SPS00	com
huns	uns	DI0MP0	um
sugeitos	sujeitos	NCMP000	sujeito
q	que	PR0CN000	que
o	o	DA0MS0	o
tinhão	tinham	VAII3P0	ter
demorado	demorado	VMP0000	demorar
até	até	SPS00	até
depois	depois	RG	depois
de	de	SPS00	de
meia noute	meia-noite	NCFS000	meia-noite
e	e	CC	e
q	que	CS	que
por	por	SPS00	por
isso	isso	PD0NN000	isso
me	me	PP1CS000	me
não	não	RN	não
procurára	procurara	VMIM0S0	procurar
;	,	Fc	,
alêm	além	RG	além
de	de	SPS00	de
q	que	PR0CN000	que
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
Projecto	projeto	NCMS000	projeto
tinha	tinha	VAII0S0	ter
sido	sido	VSP0000	ser
reprovado	reprovado	VMP00SM	reprovar
,	,	Fc	,
portanto	portanto	CC	portanto
q	que	CS	que
já	já	RG	já
não	não	RN	não
erão	eram	VSII3P0	ser
precisos	precisos	AQ0MP0	preciso
os	os	DA0MP0	o
impressos	impressos	NCMP000	impresso
porq	porque	CS	porque
havia	havia	VMII0S0	haver
hum	um	DI0MS0	um
partido	partido	NCMS000	partido
constitucional	constitucional	NCMS000	constitucional
tão	tão	RC	tão
grande	grande	AQ0CS0	grande
q	que	CS	que
não	não	RN	não
era	era	VSII0S0	ser
preciso	preciso	AQ0MS0	preciso
já	já	RG	já
o	o	DA0MS0	o
engano	engano	NCMS000	engano
para	para	SPS00	para
ficarem	ficarem	VMN03P0	ficar
bem	bem	RG	bem
.	.	Fp	.
Continuou	Continuou	VMIS3S0	continuar
Sandoval	Sandoval	NP00000	sandoval
dizendo-me	dizendo-me	VMG0000+PP1CS000	dizer+me
q	que	CS	que
á	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
	,	Fc	,
depois	depois	RG	depois
das	das	SPS00+DA0FP0	de+o
nove	nove	Z	nove
horas	horas	NCFP000	hora
	,	Fc	,
o	o	DA0MS0	o
esperasse	esperasse	VMSI0S0	esperar
debaixo	debaixo	RG	debaixo
da	da	SPS00+DA0FS0	de+o
arcada	arcada	NCFS000	arcada
no	no	SPS00+DA0MS0	em+o
fim	fim	NCMS000	fim
da	da	SPS00+DA0FS0	de+o
rua	rua	NP00000	rua
Prata	Prata	NP00000	prata
porq	porque	CS	porque
elle	ele	PP3MS000	ele
esta	esta	DD0FS0	este
noute	noite	NCFS000	noite
teria	teria	VMIC0S0	ter
huma	uma	DI0FS0	um
Conferencia	conferência	NCFS000	conferência
com	com	SPS00	com
huns	uns	DI0MP0	um
Amigos	amigos	NCMP000	amigo
e	e	CC	e
talvez	talvez	RG	talvez
precisasse	precisasse	VMSI0S0	precisar
dizer-me	dizer-me	VMN0000+PP1CS000	dizer+me
alguma	alguma	DI0FS0	algum
cousa	coisa	NCFS000	coisa
.	.	Fp	.
Fui	Fui	VMIS1S0	ir
ás	às	SPS00+DA0FP0	a+o
nove	nove	Z	nove
horas	horas	NCFP000	hora
ao	ao	SPS00+DA0MS0	a+o
sitio	sítio	NCMS000	sítio
indicado	indicado	VMP00SM	indicar
,	,	Fc	,
esperei	esperei	VMIS1S0	,
,	,	Fc	,
mas	mas	CC	mais
Sandoval	Sandoval	NP00000	sandoval
não	não	RN	não
appareceo	apareceu	VMIS3S0	aparecer
.	.	Fp	.
Volto	Volto	VMP00SM	voltar
novamente	novamente	RG	novamente
a	a	SPS00	a
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
quinze	quinze	Z	quinze
ás	às	SPS00+DA0FP0	a+o
oito	oito	Z	oito
horas	horas	NCFP000	hora
da	da	SPS00+DA0FS0	de+o
manhã	manhã	NCFS000	manhã
e	e	CC	e
sube	soube	VMIS1S0	saber
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
q	que	CS	que
não	não	RN	não
tinha	tinha	VAII0S0	ter
hido	ido	VMP00SM	ir
a	a	SPS00	a
Lisboa	Lisboa	NP00000	lisboa
ter	ter	VMN0000	ter
com	com	SPS00	com
seus	seus	DP3MP0	seu
Amigos	amigos	NCMP000	amigo
á	à	SPS00+DA0FS0	a+o
rua	rua	NCFS000	rua
do	do	SPS00+DA0MS0	de+o
Arco	Arco	NP00000	arco
do	do	SPS00+DA0MS0	de+o
Bandeira	Bandeira	NP00000	bandeira
como	como	CS	como
me	me	PP1CS000	me
tinha	tinha	VAII0S0	ter
dito	dito	VMP00SM	dizer
porq	porque	CS	porque
hum	um	DI0MS0	um
seu	seu	DP3MS0	seu
Amigo	amigo	NCMS000	amigo
o	o	PP3MSA00	o
tinha	tinha	VAII0S0	ter
mandado	mandado	NCMS000	mandado
avisar	avisar	VMN0000	avisar
pelo	pelo	SPS00+DA0MS0	por+o
