Exmo	Excelentíssimo	AQSMS0	excelente
Sr	Senhor	NP00000	senhor
D	Dom	NP00000	dom
João	João	NP00000	joão
de	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Felizmte	Felizmente	RG	felizmente
Joze	José	NP00000	josé
Anto	António	NP00000	antónio
Branco	Branco	NP00000	branco
não	não	RN	não
esteve	esteve	VMIS3S0	estar
na	na	SPS00+DA0FS0	em+o
cide	cidade	NCFS000	cidade
esta	esta	DD0FS0	este
semana	semana	NCFS000	semana
	,	Fc	,
aliás	aliás	RG	aliás
teria	teria	VMIC0S0	ter
	,	Fc	,
com	com	SPS00	com
as insinuasoens	insinuações	NCFP000	insinuação
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
ultima	última	NCFS000	último
carta	carta	NCFS000	carta
	,	Fc	,
procedido	procedido	NCMS000	procedido
mais	mais	CC	mais
longe	longe	RG	longe
;	.	Fp	.
mas	Mas	CC	mas
agora	agora	RG	agora
ficarão	ficaram	VMIS3P0	ficar
as	as	DA0FP0	o
coizas	coisas	NCFP000	coisa
como	como	CS	como
VExa	VExa	NP00000	VExa
determina	determina	VMIP3S0	determinar
.	.	Fp	.
Não	Não	RN	não
estar	estar	VMN0000	estar
o	o	DA0MS0	o
Branco	Branco	NP00000	branco
em	em	SPS00	em
Pariz	Paris	NP00000	paris
e	e	CC	e
eu	eu	PP1CSN00	eu
esperallo	esperá-lo	PP1CSN00	eu
	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
trabalho	trabalho	NCMS000	trabalho
de	de	SPS00	de
hua	uma	DI0FS0	um
memoria	Memória	NCFS000	memória
q	que	PR0CN000	que
deve	deve	VMIP3S0	dever
ser	ser	VSN0000	ser
lida	lida	NCFS000	lida
na	na	SPS00+DA0FS0	em+o
Academia	Academia	NP00000	academia
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
da	da	SPS00+DA0FS0	de+o
recepção	receção	NCFS000	receção
de	de	SPS00	de
qualquer	qualquer	DI0CS0	qualquer
socio	sócio	NCMS000	sócio
forão	foram	VMIS3P0	ir
os	os	DA0MP0	o
motivos	motivos	NCMP000	motivo
pelos	pelos	SPS00+DA0MP0	por+o
quais	quais	PR0CP000	qual
espero	espero	VMIP1S0	esperar
de	de	SPS00	de
VExa	VExa	VMIP3S0	vexar
a	a	DA0FS0	o
escusa	escusa	NCFS000	escusa
da	da	SPS00+DA0FS0	de+o
ma	minha	DP1FSS	meu
remissão	remissão	NCFS000	remissão
em	em	SPS00	em
responder	responder	VMN0000	responder
a	à	SPS00+DA0FS0	a+o
carta	carta	NCFS000	carta
de	de	SPS00	de
VExa	VExa	NP00000	VExa
.	.	Fp	.
Aqui	Aqui	RG	aqui
sahio	saiu	VMIS3S0	sair
hum	um	DI0MS0	um
jornal	jornal	NCMS000	jornal
no	no	SPS00+DA0MS0	em+o
qual	qual	PR0CN000	qual
Mr	Mr	NP00000	mr
Mentel	Mentel	NP00000	Mentel
apparecia	aparecia	VMII0S0	aparecer
expondo	expondo	VMG0000	expor
o	o	DA0MS0	o
plano	plano	NCMS000	plano
de	de	SPS00	de
hua	uma	DI0FS0	um
geografia	Geografia	NP00000	geografia
